NDF v9.6h 11Sep15 rev 12Mar16 run 02/05/2026 20:23:36 Filename: 67010114.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671119.spc                                                                    
str 671119s.str                                                                   
file 671119R1.odf                                                                  
geo 671119g.geo                                                                   
element Br   
 depth(at/cm2) element>0 element depth(nm)
-0.812673E+04 -0.113791E-01  0.000000E+00 -0.169331E+04
-0.779801E+04 -0.168929E-01  0.000000E+00 -0.162482E+04
-0.746930E+04  0.437275E-01  0.437275E-01 -0.155633E+04
-0.714059E+04 -0.512101E-01  0.000000E+00 -0.148784E+04
-0.681188E+04  0.147723E-02  0.147723E-02 -0.141935E+04
-0.648318E+04 -0.800377E-02  0.000000E+00 -0.135086E+04
-0.615447E+04 -0.213752E-01  0.000000E+00 -0.128237E+04
-0.582576E+04  0.763628E-02  0.763628E-02 -0.121388E+04
-0.549704E+04  0.517227E-01  0.517227E-01 -0.114538E+04
-0.516833E+04  0.491409E-01  0.491409E-01 -0.107689E+04
-0.483962E+04  0.228764E-01  0.228764E-01 -0.100840E+04
-0.451091E+04  0.751142E-02  0.751142E-02 -0.939910E+03
-0.418220E+04  0.300073E-01  0.300073E-01 -0.871419E+03
-0.385349E+04  0.940964E-01  0.940964E-01 -0.802927E+03
-0.352478E+04  0.476823E-02  0.476823E-02 -0.734435E+03
-0.319608E+04  0.107725E-01  0.107725E-01 -0.665946E+03
-0.286736E+04 -0.249986E-01  0.000000E+00 -0.597455E+03
-0.253865E+04  0.460377E-01  0.460377E-01 -0.528963E+03
-0.220994E+04  0.488818E-01  0.488818E-01 -0.460472E+03
-0.188123E+04  0.654106E-02  0.654106E-02 -0.391980E+03
-0.155252E+04  0.628068E-01  0.628068E-01 -0.323488E+03
-0.122381E+04  0.657437E-01  0.657437E-01 -0.254997E+03
-0.895095E+03  0.112678E+00  0.112678E+00 -0.186505E+03
-0.566384E+03  0.111503E+00  0.111503E+00 -0.118014E+03
-0.237672E+03  0.710144E-01  0.710144E-01 -0.495223E+02
 0.910394E+02  0.985381E-01  0.985381E-01  0.189693E+02
 0.419532E+03  0.171188E+00  0.171188E+00  0.874152E+02
 0.747558E+03  0.166569E+00  0.166569E+00  0.155764E+03
 0.107514E+04  0.180969E+00  0.180969E+00  0.224020E+03
 0.140232E+04  0.196162E+00  0.196162E+00  0.292192E+03
 0.172903E+04  0.308699E-01  0.308699E-01  0.360267E+03
 0.205546E+04  0.816169E-01  0.816169E-01  0.428283E+03
 0.238138E+04  0.157405E+00  0.157405E+00  0.496194E+03
 0.270687E+04  0.179431E+00  0.179431E+00  0.564014E+03
 0.303203E+04  0.297846E+00  0.297846E+00  0.631766E+03
 0.335658E+04  0.487810E+00  0.487810E+00  0.699389E+03
 0.368082E+04  0.307107E+00  0.307107E+00  0.766950E+03
 0.400462E+04  0.431340E+00  0.431340E+00  0.834418E+03
 0.432804E+04  0.140262E-01  0.140262E-01  0.901806E+03
 0.465104E+04  0.290070E+00  0.290070E+00  0.969108E+03
 0.497353E+04  0.119423E+00  0.119423E+00  0.103630E+04
 0.529560E+04  0.292645E+00  0.292645E+00  0.110341E+04
 0.561736E+04  0.172900E+00  0.172900E+00  0.117045E+04
 0.593869E+04  0.366265E+00  0.366265E+00  0.123741E+04
 0.625948E+04 -0.109634E-01  0.000000E+00  0.130425E+04
 0.657981E+04  0.224352E+00  0.224352E+00  0.137099E+04
 0.689990E+04 -0.162436E+00  0.000000E+00  0.143769E+04
 0.721948E+04  0.975864E-02  0.975864E-02  0.150428E+04
 0.753864E+04  0.188562E+00  0.188562E+00  0.157078E+04
 0.785729E+04  0.528048E-01  0.528048E-01  0.163718E+04
 0.817556E+04 -0.173894E+00  0.000000E+00  0.170349E+04
 0.849347E+04 -0.529541E+00  0.000000E+00  0.176973E+04
 0.881102E+04  0.133333E+00  0.133333E+00  0.183590E+04
 0.912795E+04 -0.295527E+00  0.000000E+00  0.190193E+04
 0.944448E+04 -0.320494E+00  0.000000E+00  0.196789E+04
 0.976069E+04 -0.357700E+00  0.000000E+00  0.203377E+04
 0.100764E+05 -0.265792E+00  0.000000E+00  0.209956E+04
 0.103920E+05  0.248176E-02  0.248176E-02  0.216531E+04
 0.107067E+05 -0.336868E+00  0.000000E+00  0.223089E+04
 0.110209E+05 -0.331444E+00  0.000000E+00  0.229636E+04
 0.113353E+05 -0.462481E+00  0.000000E+00  0.236186E+04
 0.116488E+05 -0.366804E+00  0.000000E+00  0.242719E+04
 0.119620E+05 -0.263055E+00  0.000000E+00  0.249246E+04
 0.122748E+05 -0.300400E+00  0.000000E+00  0.255763E+04
 0.125872E+05 -0.422368E+00  0.000000E+00  0.262272E+04
 0.128990E+05 -0.296469E+00  0.000000E+00  0.268768E+04
 0.132106E+05 -0.676863E+00  0.000000E+00  0.275260E+04
 0.135215E+05 -0.672643E+00  0.000000E+00  0.281740E+04
 0.138324E+05 -0.732388E+00  0.000000E+00  0.288216E+04
 0.141425E+05 -0.906374E+00  0.000000E+00  0.294678E+04
 0.144522E+05 -0.700769E+00  0.000000E+00  0.301130E+04
 0.147615E+05 -0.965149E+00  0.000000E+00  0.307577E+04
 0.150705E+05 -0.619165E+00  0.000000E+00  0.314014E+04
 0.153790E+05 -0.427076E+00  0.000000E+00  0.320443E+04
