NDF v9.6h 11Sep15 rev 12Mar16 run 02/05/2026 20:23:36 Filename: 67010116.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671119.spc                                                                    
str 671119s.str                                                                   
file 671119R1.odf                                                                  
geo 671119g.geo                                                                   
element Y    
 depth(at/cm2) element>0 element depth(nm)
-0.798828E+04  0.289664E-02  0.289664E-02 -0.166447E+04
-0.765964E+04 -0.172476E-01  0.000000E+00 -0.159599E+04
-0.733099E+04 -0.913640E-02  0.000000E+00 -0.152751E+04
-0.700235E+04 -0.135635E-01  0.000000E+00 -0.145904E+04
-0.667371E+04  0.351092E-01  0.351092E-01 -0.139056E+04
-0.634506E+04 -0.411170E-01  0.000000E+00 -0.132208E+04
-0.601642E+04  0.118607E-02  0.118607E-02 -0.125360E+04
-0.568779E+04 -0.642625E-02  0.000000E+00 -0.118513E+04
-0.535914E+04 -0.171621E-01  0.000000E+00 -0.111665E+04
-0.503050E+04  0.613117E-02  0.613117E-02 -0.104817E+04
-0.470185E+04  0.415281E-01  0.415281E-01 -0.979696E+03
-0.437321E+04  0.394551E-01  0.394551E-01 -0.911219E+03
-0.404457E+04  0.183679E-01  0.183679E-01 -0.842741E+03
-0.371592E+04  0.603226E-02  0.603226E-02 -0.774264E+03
-0.338728E+04  0.240957E-01  0.240957E-01 -0.705786E+03
-0.305864E+04  0.755551E-01  0.755551E-01 -0.637309E+03
-0.272999E+04  0.384071E-02  0.384071E-02 -0.568831E+03
-0.240136E+04  0.867064E-02  0.867064E-02 -0.500356E+03
-0.207272E+04 -0.200364E-01  0.000000E+00 -0.431879E+03
-0.174407E+04  0.370127E-01  0.370127E-01 -0.363401E+03
-0.141543E+04  0.393114E-01  0.393114E-01 -0.294924E+03
-0.108678E+04  0.532622E-02  0.532622E-02 -0.226446E+03
-0.758140E+03  0.504957E-01  0.504957E-01 -0.157969E+03
-0.429497E+03  0.528268E-01  0.528268E-01 -0.894915E+02
-0.100853E+03  0.904535E-01  0.904535E-01 -0.210140E+02
 0.227791E+03  0.893342E-01  0.893342E-01  0.474634E+02
 0.556054E+03  0.568151E-01  0.568151E-01  0.115861E+03
 0.883896E+03  0.789699E-01  0.789699E-01  0.184172E+03
 0.121129E+04  0.137404E+00  0.137404E+00  0.252389E+03
 0.153823E+04  0.133555E+00  0.133555E+00  0.320512E+03
 0.186488E+04  0.144984E+00  0.144984E+00  0.388572E+03
 0.219099E+04  0.157192E+00  0.157192E+00  0.456523E+03
 0.251665E+04  0.240193E-01  0.240193E-01  0.524378E+03
 0.284210E+04  0.648313E-01  0.648313E-01  0.592191E+03
 0.316704E+04  0.125827E+00  0.125827E+00  0.659896E+03
 0.349139E+04  0.143620E+00  0.143620E+00  0.727478E+03
 0.381549E+04  0.238940E+00  0.238940E+00  0.795009E+03
 0.413907E+04  0.391798E+00  0.391798E+00  0.862432E+03
 0.446240E+04  0.246287E+00  0.246287E+00  0.929801E+03
 0.478508E+04  0.346505E+00  0.346505E+00  0.997036E+03
 0.510737E+04  0.103672E-01  0.103672E-01  0.106419E+04
 0.542951E+04  0.232537E+00  0.232537E+00  0.113131E+04
 0.575101E+04  0.952272E-01  0.952272E-01  0.119830E+04
 0.607204E+04  0.234732E+00  0.234732E+00  0.126519E+04
 0.639264E+04  0.138362E+00  0.138362E+00  0.133199E+04
 0.671306E+04  0.293901E+00  0.293901E+00  0.139876E+04
 0.703279E+04 -0.976078E-02  0.000000E+00  0.146538E+04
