NDF v9.6h 11Sep15 rev 12Mar16 run 19/07/2026 19:14:01 Filename: 67010114.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671120.spc                                                                    
str 671120s.str                                                                   
file 671120R1.odf                                                                  
geo 671120g.geo                                                                   
element Pr   
 depth(at/cm2) element>0 element depth(nm)
-0.881954E+04 -0.802603E-02  0.000000E+00 -0.171231E+04
-0.845683E+04 -0.114960E-01  0.000000E+00 -0.164189E+04
-0.809412E+04  0.135666E-01  0.135666E-01 -0.157147E+04
-0.773141E+04  0.374585E-02  0.374585E-02 -0.150105E+04
-0.736871E+04 -0.923945E-02  0.000000E+00 -0.143063E+04
-0.700601E+04 -0.644697E-02  0.000000E+00 -0.136022E+04
-0.664330E+04 -0.131121E-01  0.000000E+00 -0.128980E+04
-0.628059E+04 -0.166120E-01  0.000000E+00 -0.121938E+04
-0.591788E+04 -0.439953E-02  0.000000E+00 -0.114896E+04
-0.555518E+04  0.171824E-01  0.171824E-01 -0.107854E+04
-0.519247E+04  0.739207E-02  0.739207E-02 -0.100812E+04
-0.482976E+04 -0.179974E-01  0.000000E+00 -0.937698E+03
-0.446705E+04 -0.900180E-02  0.000000E+00 -0.867278E+03
-0.410434E+04 -0.317400E-02  0.000000E+00 -0.796858E+03
-0.374164E+04 -0.358760E-02  0.000000E+00 -0.726439E+03
-0.337894E+04 -0.226419E-01  0.000000E+00 -0.656021E+03
-0.301623E+04 -0.229610E-01  0.000000E+00 -0.585602E+03
-0.265352E+04  0.155937E-02  0.155937E-02 -0.515182E+03
-0.229082E+04  0.136298E-01  0.136298E-01 -0.444762E+03
-0.192811E+04  0.163932E-01  0.163932E-01 -0.374342E+03
-0.156540E+04 -0.871239E-02  0.000000E+00 -0.303922E+03
-0.120269E+04  0.923549E-02  0.923549E-02 -0.233502E+03
-0.839983E+03  0.148219E-01  0.148219E-01 -0.163083E+03
-0.477275E+03 -0.103100E-01  0.000000E+00 -0.926629E+02
-0.114567E+03 -0.780049E-02  0.000000E+00 -0.222431E+02
 0.248129E+03 -0.175374E-01  0.000000E+00  0.481743E+02
 0.610507E+03 -0.899643E-02  0.000000E+00  0.118530E+03
 0.972395E+03 -0.310731E-01  0.000000E+00  0.188791E+03
 0.133381E+04 -0.104923E-01  0.000000E+00  0.258960E+03
 0.169472E+04  0.190740E-01  0.190740E-01  0.329030E+03
 0.205526E+04  0.147546E-01  0.147546E-01  0.399029E+03
 0.241529E+04 -0.113907E-01  0.000000E+00  0.468928E+03
 0.277488E+04  0.736385E-02  0.736385E-02  0.538743E+03
 0.313397E+04  0.354378E-02  0.354378E-02  0.608460E+03
 0.349264E+04 -0.140494E-01  0.000000E+00  0.678095E+03
 0.385078E+04 -0.276033E-01  0.000000E+00  0.747629E+03
 0.420855E+04 -0.159372E-01  0.000000E+00  0.817091E+03
 0.456570E+04 -0.341080E-01  0.000000E+00  0.886430E+03
 0.492252E+04  0.305777E-02  0.305777E-02  0.955707E+03
 0.527875E+04 -0.758272E-02  0.000000E+00  0.102487E+04
 0.563463E+04  0.442550E-01  0.442550E-01  0.109396E+04
