NDF v9.6h 11Sep15 rev 12Mar16 run 19/07/2026 19:14:01 Filename: 671f0102.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671120.spc                                                                    
str 671120s.str                                                                   
file 671120_stats.txt                                                              
geo pixe_h.geo                                                                    
element  data        error          fit
S  K:  0.241790E+04  0.962141E+03  0.258680E+04
Cl K:  0.736000E+04  0.736000E+03  0.721774E+04
Ca K:  0.997100E+07  0.997100E+06  0.167846E+08
Ti K:  0.208820E+04  0.208820E+03  0.228510E+04
Mn K:  0.370180E+04  0.370180E+03  0.383225E+04
Fe K:  0.465550E+05  0.465550E+04  0.138666E+06
Ni K:  0.129300E+04  0.396743E+03  0.901412E+03
Cu K:  0.179300E+03  0.557226E+02  0.157721E+03
Sr K:  0.230800E+03  0.237978E+02  0.365080E+03
Sr L:  0.509220E+04  0.166639E+04  0.206008E+03
Zn K:  0.375000E+02  0.181464E+02  0.115015E+06
Ce L:  0.199300E+03  0.130546E+03  0.201919E+03
Pr L:  0.243000E+03  0.115423E+03  0.202841E+03
