NDF v9.6h 11Sep15 rev 12Mar16 run 03/07/2026 20:47:53 Filename: 67010101.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671121.spc                                                                    
str 671121s.str                                                                   
file 671121R1.odf                                                                  
geo 671121g.geo                                                                   
element Si   
 depth(at/cm2) element>0 element depth(nm)
-0.834399E+04  0.619191E+01  0.619191E+01 -0.167966E+04
-0.800908E+04 -0.137969E+00  0.000000E+00 -0.161224E+04
-0.767418E+04  0.249073E+01  0.249073E+01 -0.154483E+04
-0.733928E+04 -0.286180E+01  0.000000E+00 -0.147741E+04
-0.700439E+04  0.359086E+00  0.359086E+00 -0.141000E+04
-0.666949E+04 -0.909756E+00  0.000000E+00 -0.134258E+04
-0.633459E+04 -0.194222E+01  0.000000E+00 -0.127517E+04
-0.599969E+04  0.228550E+00  0.228550E+00 -0.120775E+04
-0.566478E+04 -0.182545E+01  0.000000E+00 -0.114033E+04
-0.532988E+04 -0.669023E+01  0.000000E+00 -0.107292E+04
-0.499498E+04 -0.654438E+01  0.000000E+00 -0.100550E+04
-0.466008E+04 -0.865126E+01  0.000000E+00 -0.938083E+03
-0.432518E+04 -0.684266E+01  0.000000E+00 -0.870667E+03
-0.399028E+04 -0.820233E+01  0.000000E+00 -0.803250E+03
-0.365538E+04 -0.221231E+01  0.000000E+00 -0.735836E+03
-0.332048E+04  0.761725E+00  0.761725E+00 -0.668420E+03
-0.298558E+04 -0.169168E+01  0.000000E+00 -0.601003E+03
-0.265068E+04 -0.259945E+01  0.000000E+00 -0.533587E+03
-0.231578E+04  0.416191E+00  0.416191E+00 -0.466171E+03
-0.198088E+04 -0.355343E+01  0.000000E+00 -0.398754E+03
-0.164597E+04 -0.411178E+01  0.000000E+00 -0.331338E+03
-0.131107E+04 -0.228442E+01  0.000000E+00 -0.263921E+03
-0.976170E+03 -0.132653E+01  0.000000E+00 -0.196505E+03
-0.641268E+03 -0.245725E+01  0.000000E+00 -0.129089E+03
-0.306367E+03  0.945671E-01  0.945671E-01 -0.616722E+02
