NDF v9.6h 11Sep15 rev 12Mar16 run 03/07/2026 20:47:53 Filename: 67010107.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671121.spc                                                                    
str 671121s.str                                                                   
file 671121R1.odf                                                                  
geo 671121g.geo                                                                   
element Mn   
 depth(at/cm2) element>0 element depth(nm)
-0.819289E+04  0.582663E-01  0.582663E-01 -0.164925E+04
-0.785760E+04  0.624353E-02  0.624353E-02 -0.158175E+04
-0.752230E+04 -0.316265E-02  0.000000E+00 -0.151425E+04
-0.718700E+04  0.288821E-01  0.288821E-01 -0.144676E+04
-0.685172E+04  0.267994E+00  0.267994E+00 -0.137926E+04
-0.651642E+04  0.175423E+00  0.175423E+00 -0.131177E+04
-0.618113E+04 -0.123524E+00  0.000000E+00 -0.124427E+04
-0.584583E+04  0.114971E+00  0.114971E+00 -0.117678E+04
-0.551054E+04 -0.225166E+00  0.000000E+00 -0.110928E+04
-0.517524E+04  0.175887E+00  0.175887E+00 -0.104179E+04
-0.483994E+04 -0.834388E-01  0.000000E+00 -0.974290E+03
-0.450465E+04 -0.974540E-01  0.000000E+00 -0.906795E+03
-0.416935E+04  0.376800E+00  0.376800E+00 -0.839299E+03
-0.383406E+04  0.637694E+00  0.637694E+00 -0.771803E+03
-0.349876E+04  0.640395E+00  0.640395E+00 -0.704307E+03
-0.316348E+04  0.422780E+00  0.422780E+00 -0.636814E+03
-0.282818E+04  0.994545E+00  0.994545E+00 -0.569318E+03
-0.249288E+04  0.508028E+00  0.508028E+00 -0.501822E+03
-0.215759E+04  0.139335E+01  0.139335E+01 -0.434327E+03
-0.182229E+04  0.311967E+01  0.311967E+01 -0.366831E+03
-0.148700E+04  0.345433E+01  0.345433E+01 -0.299335E+03
-0.115170E+04  0.365162E+01  0.365162E+01 -0.231839E+03
-0.816403E+03  0.582518E+01  0.582518E+01 -0.164344E+03
-0.481107E+03  0.672851E+01  0.672851E+01 -0.968478E+02
-0.145811E+03  0.743901E+01  0.743901E+01 -0.293521E+02
 0.189473E+03  0.861154E+01  0.861154E+01  0.381413E+02
 0.524365E+03  0.936555E+01  0.936555E+01  0.105556E+03
 0.858821E+03  0.125711E+02  0.125711E+02  0.172882E+03
 0.119274E+04  0.102457E+02  0.102457E+02  0.240102E+03
 0.152636E+04  0.113962E+02  0.113962E+02  0.307260E+03
 0.185960E+04  0.117603E+02  0.117603E+02  0.374342E+03
 0.219234E+04  0.128726E+02  0.128726E+02  0.441323E+03
 0.252454E+04  0.111429E+02  0.111429E+02  0.508194E+03
 0.285620E+04  0.120046E+02  0.120046E+02  0.574960E+03
 0.318765E+04  0.104332E+02  0.104332E+02  0.641680E+03
 0.351865E+04  0.114172E+02  0.114172E+02  0.708311E+03
 0.384909E+04  0.110458E+02  0.110458E+02  0.774829E+03
 0.417909E+04  0.107342E+02  0.107342E+02  0.841259E+03
 0.450884E+04  0.113885E+02  0.113885E+02  0.907638E+03
 0.483802E+04  0.107642E+02  0.107642E+02  0.973903E+03
 0.516677E+04  0.926339E+01  0.926339E+01  0.104008E+04
 0.549505E+04  0.930284E+01  0.930284E+01  0.110616E+04
 0.582285E+04  0.864015E+01  0.864015E+01  0.117215E+04
 0.615027E+04  0.919251E+01  0.919251E+01  0.123806E+04
 0.647723E+04  0.875726E+01  0.875726E+01  0.130388E+04
 0.680372E+04  0.106282E+02  0.106282E+02  0.136960E+04
 0.712975E+04  0.115615E+02  0.115615E+02  0.143523E+04
 0.745534E+04  0.107833E+02  0.107833E+02  0.150077E+04
 0.778056E+04  0.104849E+02  0.104849E+02  0.156624E+04
 0.810541E+04  0.114313E+02  0.114313E+02  0.163163E+04
 0.842960E+04  0.101556E+02  0.101556E+02  0.169689E+04
 0.875341E+04  0.995066E+01  0.995066E+01  0.176208E+04
 0.907687E+04  0.105022E+02  0.105022E+02  0.182719E+04
 0.939984E+04  0.107753E+02  0.107753E+02  0.189221E+04
 0.972246E+04  0.103618E+02  0.103618E+02  0.195715E+04
 0.100446E+05  0.111427E+02  0.111427E+02  0.202200E+04
 0.103661E+05  0.104929E+02  0.104929E+02  0.208672E+04
 0.106874E+05  0.935304E+01  0.935304E+01  0.215139E+04
 0.110081E+05  0.104180E+02  0.104180E+02  0.221595E+04
 0.113285E+05  0.112923E+02  0.112923E+02  0.228044E+04
 0.116483E+05  0.106723E+02  0.106723E+02  0.234482E+04
 0.119677E+05  0.125627E+02  0.125627E+02  0.240912E+04
 0.122868E+05  0.110732E+02  0.110732E+02  0.247335E+04
 0.126052E+05  0.109857E+02  0.109857E+02  0.253745E+04
 0.129232E+05  0.137931E+02  0.137931E+02  0.260147E+04
 0.132409E+05  0.121017E+02  0.121017E+02  0.266542E+04
 0.135582E+05  0.117659E+02  0.117659E+02  0.272928E+04
 0.138749E+05  0.113977E+02  0.113977E+02  0.279304E+04
