NDF v9.6h 11Sep15 rev 12Mar16 run 03/07/2026 20:47:53 Filename: 67010113.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671121.spc                                                                    
str 671121s.str                                                                   
file 671121R1.odf                                                                  
geo 671121g.geo                                                                   
element 12C  
 depth(at/cm2) element>0 element depth(nm)
-0.795252E+04 -0.897883E+01  0.000000E+00 -0.160086E+04
-0.762260E+04 -0.944419E+00  0.000000E+00 -0.153445E+04
-0.729268E+04 -0.161986E+01  0.000000E+00 -0.146803E+04
-0.696276E+04 -0.117192E+01  0.000000E+00 -0.140162E+04
-0.663284E+04  0.473089E+00  0.473089E+00 -0.133520E+04
-0.630293E+04 -0.519193E+00  0.000000E+00 -0.126879E+04
-0.597301E+04 -0.659327E+01  0.000000E+00 -0.120238E+04
-0.564309E+04 -0.456452E+01  0.000000E+00 -0.113596E+04
-0.531318E+04  0.238636E+01  0.238636E+01 -0.106955E+04
-0.498326E+04 -0.787253E+00  0.000000E+00 -0.100314E+04
-0.465334E+04  0.906404E+00  0.906404E+00 -0.936727E+03
-0.432342E+04 -0.203219E+01  0.000000E+00 -0.870314E+03
-0.399350E+04 -0.310169E+01  0.000000E+00 -0.803901E+03
-0.366359E+04 -0.139904E+01  0.000000E+00 -0.737487E+03
-0.333367E+04 -0.624384E+00  0.000000E+00 -0.671074E+03
-0.300375E+04 -0.612012E+01  0.000000E+00 -0.604660E+03
-0.267383E+04 -0.756179E+01  0.000000E+00 -0.538247E+03
-0.234391E+04 -0.108505E+01  0.000000E+00 -0.471834E+03
-0.201400E+04 -0.776872E+00  0.000000E+00 -0.405423E+03
-0.168408E+04  0.535575E+01  0.535575E+01 -0.339009E+03
-0.135416E+04  0.274194E+01  0.274194E+01 -0.272596E+03
-0.102425E+04  0.103998E+02  0.103998E+02 -0.206183E+03
-0.694326E+03 -0.133210E+00  0.000000E+00 -0.139769E+03
-0.364407E+03  0.217492E+01  0.217492E+01 -0.733559E+02
