NDF v9.6h 11Sep15 rev 12Mar16 run 03/07/2026 20:47:53 Filename: 67010114.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671121.spc                                                                    
str 671121s.str                                                                   
file 671121R1.odf                                                                  
geo 671121g.geo                                                                   
element V    
 depth(at/cm2) element>0 element depth(nm)
-0.807411E+04  0.342725E-01  0.342725E-01 -0.162533E+04
-0.773896E+04  0.318011E+00  0.318011E+00 -0.155787E+04
-0.740381E+04  0.208163E+00  0.208163E+00 -0.149040E+04
-0.706865E+04 -0.146584E+00  0.000000E+00 -0.142293E+04
-0.673349E+04  0.136405E+00  0.136405E+00 -0.135547E+04
-0.639834E+04 -0.267293E+00  0.000000E+00 -0.128800E+04
-0.606318E+04  0.208370E+00  0.208370E+00 -0.122053E+04
-0.572802E+04 -0.100100E+00  0.000000E+00 -0.115306E+04
-0.539286E+04 -0.118792E+00  0.000000E+00 -0.108559E+04
-0.505771E+04  0.438650E+00  0.438650E+00 -0.101813E+04
-0.472255E+04  0.735413E+00  0.735413E+00 -0.950659E+03
-0.438739E+04  0.709980E+00  0.709980E+00 -0.883191E+03
-0.405225E+04  0.392437E+00  0.392437E+00 -0.815725E+03
-0.371709E+04  0.956968E+00  0.956968E+00 -0.748258E+03
-0.338193E+04  0.176305E+00  0.176305E+00 -0.680790E+03
-0.304678E+04  0.890246E+00  0.890246E+00 -0.613322E+03
-0.271162E+04  0.242141E+01  0.242141E+01 -0.545854E+03
-0.237646E+04  0.208039E+01  0.208039E+01 -0.478386E+03
-0.204130E+04  0.133707E+01  0.133707E+01 -0.410918E+03
-0.170615E+04  0.271506E+01  0.271506E+01 -0.343451E+03
-0.137099E+04  0.241654E+01  0.241654E+01 -0.275983E+03
-0.103583E+04  0.180869E+01  0.180869E+01 -0.208515E+03
-0.700686E+03  0.178464E+01  0.178464E+01 -0.141049E+03
-0.365529E+03  0.136775E+01  0.136775E+01 -0.735817E+02
-0.303716E+02  0.405323E+01  0.405323E+01 -0.611385E+01
 0.304786E+03  0.417497E+00  0.417497E+00  0.613540E+02
 0.639508E+03  0.114308E+01  0.114308E+01  0.128734E+03
 0.973858E+03  0.114136E+01  0.114136E+01  0.196039E+03
 0.130772E+04  0.218013E+01  0.218013E+01  0.263247E+03
 0.164108E+04 -0.297030E-01  0.000000E+00  0.330353E+03
 0.197409E+04  0.897539E+00  0.897539E+00  0.397388E+03
 0.230653E+04 -0.995298E+00  0.000000E+00  0.464308E+03
 0.263880E+04  0.147527E+00  0.147527E+00  0.531196E+03
 0.297034E+04 -0.305538E+00  0.000000E+00  0.597936E+03
 0.330153E+04 -0.677052E+00  0.000000E+00  0.664605E+03
 0.363245E+04  0.102459E+00  0.102459E+00  0.731219E+03
 0.396259E+04 -0.641190E+00  0.000000E+00  0.797678E+03
 0.429259E+04 -0.241360E+01  0.000000E+00  0.864106E+03
 0.462202E+04 -0.236872E+01  0.000000E+00  0.930422E+03
 0.495098E+04 -0.315337E+01  0.000000E+00  0.996641E+03
 0.527956E+04 -0.249732E+01  0.000000E+00  0.106279E+04
 0.560755E+04 -0.301386E+01  0.000000E+00  0.112881E+04
 0.593526E+04 -0.801927E+00  0.000000E+00  0.119478E+04
 0.626254E+04  0.299921E+00  0.299921E+00  0.126066E+04
 0.658920E+04 -0.619720E+00  0.000000E+00  0.132642E+04
 0.691569E+04 -0.968928E+00  0.000000E+00  0.139214E+04
 0.724134E+04  0.151804E+00  0.151804E+00  0.145770E+04
 0.756699E+04 -0.136372E+01  0.000000E+00  0.152325E+04
 0.789192E+04 -0.160481E+01  0.000000E+00  0.158866E+04
 0.821641E+04 -0.949282E+00  0.000000E+00  0.165398E+04
 0.854044E+04 -0.628476E+00  0.000000E+00  0.171921E+04
 0.886417E+04 -0.111364E+01  0.000000E+00  0.178438E+04
 0.918739E+04 -0.191547E+00  0.000000E+00  0.184944E+04
 0.951015E+04 -0.969127E+00  0.000000E+00  0.191441E+04
 0.983245E+04 -0.230941E+01  0.000000E+00  0.197929E+04
 0.101544E+05 -0.105255E+01  0.000000E+00  0.204410E+04
 0.104757E+05 -0.166573E-01  0.000000E+00  0.210877E+04
 0.107968E+05 -0.753449E+00  0.000000E+00  0.217341E+04
 0.111173E+05  0.148431E+01  0.148431E+01  0.223793E+04
 0.114373E+05 -0.272374E+00  0.000000E+00  0.230236E+04
 0.117570E+05 -0.383005E+00  0.000000E+00  0.236670E+04
 0.120761E+05  0.293806E+01  0.293806E+01  0.243095E+04
 0.123950E+05  0.942808E+00  0.942808E+00  0.249514E+04
 0.127131E+05  0.550095E+00  0.550095E+00  0.255917E+04
 0.130309E+05  0.110492E+00  0.110492E+00  0.262314E+04
 0.133486E+05  0.108195E+01  0.108195E+01  0.268709E+04
 0.136654E+05  0.785438E+00  0.785438E+00  0.275087E+04
 0.139818E+05  0.166295E+01  0.166295E+01  0.281456E+04
 0.142980E+05  0.234716E+00  0.234716E+00  0.287822E+04
 0.146137E+05  0.452233E+00  0.452233E+00  0.294177E+04
 0.149287E+05  0.128144E+01  0.128144E+01  0.300518E+04
 0.152434E+05 -0.193329E+00  0.000000E+00  0.306854E+04
 0.155578E+05  0.260843E+00  0.260843E+00  0.313181E+04
 0.158715E+05  0.189187E+01  0.189187E+01  0.319497E+04
 0.161850E+05  0.327570E+00  0.327570E+00  0.325807E+04
 0.164978E+05  0.167770E+01  0.167770E+01  0.332104E+04
 0.168105E+05  0.675689E+00  0.675689E+00  0.338398E+04
 0.171223E+05  0.178747E+01  0.178747E+01  0.344676E+04
 0.174340E+05  0.101870E+01  0.101870E+01  0.350949E+04
 0.177452E+05  0.251651E+00  0.251651E+00  0.357214E+04
 0.180557E+05  0.211297E+01  0.211297E+01  0.363465E+04
 0.183660E+05 -0.665114E-01  0.000000E+00  0.369712E+04
 0.186757E+05 -0.238587E+01  0.000000E+00  0.375945E+04
