NDF v9.6h 11Sep15 rev 12Mar16 run 03/07/2026 20:47:53 Filename: 67010117.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671121.spc                                                                    
str 671121s.str                                                                   
file 671121R1.odf                                                                  
geo 671121g.geo                                                                   
element Pb   
 depth(at/cm2) element>0 element depth(nm)
-0.834145E+04  0.446187E-03  0.446187E-03 -0.167915E+04
-0.800638E+04 -0.767033E-02  0.000000E+00 -0.161170E+04
-0.767131E+04 -0.118366E-01  0.000000E+00 -0.154425E+04
-0.733624E+04  0.347242E-02  0.347242E-02 -0.147680E+04
-0.700117E+04 -0.698014E-03  0.000000E+00 -0.140935E+04
-0.666611E+04  0.106114E-01  0.106114E-01 -0.134190E+04
-0.633104E+04  0.633189E-02  0.633189E-02 -0.127445E+04
-0.599597E+04  0.206538E-02  0.206538E-02 -0.120700E+04
-0.566090E+04  0.940074E-02  0.940074E-02 -0.113955E+04
-0.532584E+04  0.896788E-02  0.896788E-02 -0.107210E+04
-0.499078E+04 -0.107516E-01  0.000000E+00 -0.100465E+04
-0.465571E+04  0.157334E-01  0.157334E-01 -0.937204E+03
-0.432064E+04 -0.777525E-02  0.000000E+00 -0.869754E+03
-0.398558E+04 -0.158652E-01  0.000000E+00 -0.802305E+03
-0.365051E+04 -0.951965E-03  0.000000E+00 -0.734855E+03
-0.331544E+04 -0.137150E-02  0.000000E+00 -0.667405E+03
-0.298037E+04 -0.560572E-02  0.000000E+00 -0.599955E+03
-0.264531E+04  0.130132E-01  0.130132E-01 -0.532505E+03
-0.231024E+04  0.492529E-02  0.492529E-02 -0.465056E+03
-0.197517E+04 -0.313793E-02  0.000000E+00 -0.397606E+03
-0.164011E+04  0.778643E-02  0.778643E-02 -0.330158E+03
-0.130505E+04 -0.405867E-02  0.000000E+00 -0.262708E+03
-0.969979E+03  0.181454E-01  0.181454E-01 -0.195259E+03
-0.634911E+03  0.176306E-01  0.176306E-01 -0.127809E+03
-0.299843E+03 -0.926753E-02  0.000000E+00 -0.603591E+02
 0.352244E+02  0.155369E-02  0.155369E-02  0.709074E+01
 0.370049E+03  0.858798E-02  0.858798E-02  0.744916E+02
 0.704495E+03  0.434927E-02  0.434927E-02  0.141816E+03
 0.103847E+04  0.386252E-02  0.386252E-02  0.209046E+03
 0.137203E+04  0.702894E-02  0.702894E-02  0.276193E+03
 0.170523E+04  0.288431E-01  0.288431E-01  0.343266E+03
 0.203791E+04  0.206222E-01  0.206222E-01  0.410236E+03
 0.237046E+04 -0.638641E-02  0.000000E+00  0.477178E+03
 0.270216E+04  0.152940E-01  0.152940E-01  0.543951E+03
 0.303370E+04 -0.155982E-01  0.000000E+00  0.610691E+03
 0.336479E+04  0.208603E-01  0.208603E-01  0.677339E+03
 0.369534E+04 -0.280028E-02  0.000000E+00  0.743880E+03
 0.402570E+04 -0.424289E-02  0.000000E+00  0.810381E+03
 0.435527E+04  0.386826E-01  0.386826E-01  0.876724E+03
 0.468490E+04  0.615253E-01  0.615253E-01  0.943079E+03
 0.501359E+04  0.597289E-01  0.597289E-01  0.100925E+04
 0.534210E+04  0.352142E-01  0.352142E-01  0.107538E+04
 0.567012E+04  0.789493E-01  0.789493E-01  0.114141E+04
 0.599809E+04  0.185246E-01  0.185246E-01  0.120743E+04
 0.632509E+04  0.739904E-01  0.739904E-01  0.127325E+04
 0.665198E+04  0.192903E+00  0.192903E+00  0.133906E+04
 0.697848E+04  0.166578E+00  0.166578E+00  0.140478E+04
 0.730444E+04  0.108920E+00  0.108920E+00  0.147040E+04
 0.763024E+04  0.216265E+00  0.216265E+00  0.153598E+04
 0.795460E+04  0.193758E+00  0.193758E+00  0.160128E+04
 0.827999E+04  0.145593E+00  0.145593E+00  0.166678E+04
 0.860402E+04  0.144163E+00  0.144163E+00  0.173201E+04
 0.892809E+04  0.111318E+00  0.111318E+00  0.179724E+04
