NDF v9.6h 11Sep15 rev 12Mar16 run 03/05/2026 14:37:07 Filename: 67010109.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671124.spc                                                                    
str 671124s.str                                                                   
file 671124R1.odf                                                                  
geo 671124g.geo                                                                   
element Co   
 depth(at/cm2) element>0 element depth(nm)
-0.878654E+04 -0.142264E+00  0.000000E+00 -0.166685E+04
-0.842240E+04  0.241976E-01  0.241976E-01 -0.159777E+04
-0.805825E+04  0.133410E-02  0.133410E-02 -0.152869E+04
-0.769410E+04  0.167411E+00  0.167411E+00 -0.145961E+04
-0.732995E+04  0.144340E+00  0.144340E+00 -0.139053E+04
-0.696580E+04  0.350362E+00  0.350362E+00 -0.132145E+04
-0.660166E+04 -0.951008E-02  0.000000E+00 -0.125237E+04
-0.623752E+04  0.236428E+00  0.236428E+00 -0.118329E+04
-0.587337E+04  0.438610E-01  0.438610E-01 -0.111421E+04
-0.550922E+04 -0.447623E-01  0.000000E+00 -0.104513E+04
-0.514507E+04  0.318819E-01  0.318819E-01 -0.976045E+03
-0.478092E+04  0.189177E+00  0.189177E+00 -0.906964E+03
-0.441677E+04  0.317826E-01  0.317826E-01 -0.837883E+03
-0.405262E+04 -0.896937E-01  0.000000E+00 -0.768802E+03
-0.368848E+04 -0.352645E-01  0.000000E+00 -0.699722E+03
-0.332433E+04 -0.182880E-01  0.000000E+00 -0.630641E+03
-0.296018E+04  0.572099E-01  0.572099E-01 -0.561560E+03
-0.259604E+04  0.123836E+00  0.123836E+00 -0.492482E+03
-0.223189E+04  0.121469E-01  0.121469E-01 -0.423401E+03
-0.186775E+04  0.170140E+00  0.170140E+00 -0.354320E+03
-0.150360E+04  0.887183E-01  0.887183E-01 -0.285240E+03
-0.113945E+04 -0.221913E+00  0.000000E+00 -0.216159E+03
-0.775299E+03  0.271211E+00  0.271211E+00 -0.147078E+03
-0.411151E+03 -0.900078E-02  0.000000E+00 -0.779973E+02
-0.470020E+02  0.112711E+00  0.112711E+00 -0.891651E+01
 0.317147E+03  0.352411E-01  0.352411E-01  0.601642E+02
 0.680904E+03 -0.113720E+00  0.000000E+00  0.129171E+03
 0.104406E+04  0.102615E-01  0.102615E-01  0.198064E+03
 0.140683E+04  0.280037E+00  0.280037E+00  0.266882E+03
 0.176910E+04  0.278091E+00  0.278091E+00  0.335608E+03
 0.213090E+04 -0.315359E-01  0.000000E+00  0.404243E+03
 0.249218E+04 -0.324142E+00  0.000000E+00  0.472778E+03
 0.285297E+04 -0.545343E+00  0.000000E+00  0.541223E+03
 0.321330E+04 -0.311375E-01  0.000000E+00  0.609579E+03
 0.357319E+04 -0.379820E-02  0.000000E+00  0.677851E+03
 0.393251E+04  0.137590E+00  0.137590E+00  0.746015E+03
 0.429131E+04 -0.420234E+00  0.000000E+00  0.814082E+03
 0.464965E+04 -0.282112E+00  0.000000E+00  0.882060E+03
 0.500772E+04 -0.540590E+00  0.000000E+00  0.949989E+03
 0.536511E+04 -0.638254E+00  0.000000E+00  0.101779E+04
 0.572201E+04 -0.796477E+00  0.000000E+00  0.108549E+04
 0.607851E+04 -0.602877E+00  0.000000E+00  0.115312E+04
 0.643454E+04 -0.113461E+01  0.000000E+00  0.122066E+04
 0.679000E+04 -0.120587E+01  0.000000E+00  0.128810E+04
 0.714504E+04 -0.143056E+01  0.000000E+00  0.135545E+04
 0.749951E+04 -0.603833E+00  0.000000E+00  0.142269E+04
 0.785359E+04 -0.135544E+01  0.000000E+00  0.148986E+04
 0.820720E+04 -0.146893E+01  0.000000E+00  0.155694E+04
 0.856034E+04 -0.319985E+00  0.000000E+00  0.162394E+04
 0.891285E+04 -0.113082E+01  0.000000E+00  0.169081E+04
 0.926496E+04 -0.110664E+01  0.000000E+00  0.175761E+04
 0.961658E+04 -0.637490E+00  0.000000E+00  0.182431E+04
 0.996777E+04 -0.251164E+00  0.000000E+00  0.189093E+04
 0.103185E+05 -0.132130E+00  0.000000E+00  0.195747E+04
 0.106686E+05 -0.159192E+01  0.000000E+00  0.202388E+04
 0.110182E+05 -0.100239E+01  0.000000E+00  0.209020E+04
 0.113675E+05 -0.767001E-01  0.000000E+00  0.215647E+04
 0.117161E+05 -0.503827E+00  0.000000E+00  0.222261E+04
 0.120645E+05 -0.346631E+00  0.000000E+00  0.228869E+04
 0.124120E+05  0.456632E+00  0.456632E+00  0.235461E+04
 0.127593E+05  0.579269E+00  0.579269E+00  0.242051E+04
 0.131062E+05 -0.102214E+01  0.000000E+00  0.248631E+04
 0.134525E+05 -0.162121E+00  0.000000E+00  0.255200E+04
 0.137983E+05  0.563893E+00  0.563893E+00  0.261760E+04
 0.141435E+05  0.209277E+00  0.209277E+00  0.268310E+04
 0.144882E+05 -0.262385E+00  0.000000E+00  0.274848E+04
 0.148326E+05  0.616004E+00  0.616004E+00  0.281382E+04
 0.151767E+05  0.108728E+00  0.108728E+00  0.287909E+04
 0.155198E+05  0.547913E+00  0.547913E+00  0.294418E+04
 0.158626E+05  0.601773E+00  0.601773E+00  0.300922E+04
 0.162050E+05  0.572396E+00  0.572396E+00  0.307417E+04
 0.165470E+05 -0.180332E+00  0.000000E+00  0.313905E+04
 0.168885E+05  0.114831E-01  0.114831E-01  0.320383E+04
 0.172295E+05 -0.398570E+00  0.000000E+00  0.326852E+04
 0.175696E+05 -0.644452E-01  0.000000E+00  0.333304E+04
 0.179098E+05 -0.372691E+00  0.000000E+00  0.339757E+04
 0.182493E+05 -0.942156E+00  0.000000E+00  0.346198E+04
 0.185878E+05 -0.224124E+00  0.000000E+00  0.352621E+04
 0.189269E+05 -0.125596E+00  0.000000E+00  0.359053E+04
 0.192646E+05 -0.128206E+00  0.000000E+00  0.365459E+04
 0.196021E+05  0.251252E+00  0.251252E+00  0.371861E+04
 0.199393E+05  0.652843E-01  0.652843E-01  0.378258E+04
 0.202751E+05 -0.244557E+00  0.000000E+00  0.384629E+04
 0.206117E+05 -0.515953E-01  0.000000E+00  0.391013E+04
 0.209475E+05 -0.400906E+00  0.000000E+00  0.397385E+04
