NDF v9.6h 11Sep15 rev 12Mar16 run 03/05/2026 14:37:07 Filename: 67010110.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671124.spc                                                                    
str 671124s.str                                                                   
file 671124R1.odf                                                                  
geo 671124g.geo                                                                   
element Ni   
 depth(at/cm2) element>0 element depth(nm)
-0.883448E+04 -0.132316E+00  0.000000E+00 -0.167594E+04
-0.847031E+04  0.225053E-01  0.225053E-01 -0.160686E+04
-0.810613E+04  0.124080E-02  0.124080E-02 -0.153777E+04
-0.774196E+04  0.155703E+00  0.155703E+00 -0.146869E+04
-0.737778E+04  0.134245E+00  0.134245E+00 -0.139960E+04
-0.701361E+04  0.325860E+00  0.325860E+00 -0.133052E+04
-0.664945E+04 -0.884499E-02  0.000000E+00 -0.126143E+04
-0.628527E+04  0.219893E+00  0.219893E+00 -0.119235E+04
-0.592110E+04  0.407937E-01  0.407937E-01 -0.112326E+04
-0.555692E+04 -0.416316E-01  0.000000E+00 -0.105417E+04
-0.519275E+04  0.296532E-01  0.296532E-01 -0.985089E+03
-0.482857E+04  0.175949E+00  0.175949E+00 -0.916003E+03
-0.446440E+04  0.295660E-01  0.295660E-01 -0.846918E+03
-0.410022E+04 -0.834066E-01  0.000000E+00 -0.777832E+03
-0.373605E+04 -0.327662E-01  0.000000E+00 -0.708746E+03
-0.337187E+04 -0.169418E-01  0.000000E+00 -0.639661E+03
-0.300770E+04  0.533414E-01  0.533414E-01 -0.570575E+03
-0.264354E+04  0.115421E+00  0.115421E+00 -0.501492E+03
-0.227936E+04  0.117220E-01  0.117220E-01 -0.432406E+03
-0.191519E+04  0.158936E+00  0.158936E+00 -0.363320E+03
-0.155101E+04  0.835846E-01  0.835846E-01 -0.294235E+03
-0.118684E+04 -0.204835E+00  0.000000E+00 -0.225149E+03
-0.822663E+03  0.254396E+00  0.254396E+00 -0.156063E+03
-0.458489E+03 -0.555275E-02  0.000000E+00 -0.869775E+02
-0.943141E+02  0.108347E+00  0.108347E+00 -0.178918E+02
 0.269861E+03  0.369737E-01  0.369737E-01  0.511939E+02
 0.633617E+03 -0.100954E+00  0.000000E+00  0.120200E+03
 0.996873E+03  0.148942E-01  0.148942E-01  0.189112E+03
 0.135973E+04  0.266178E+00  0.266178E+00  0.257947E+03
 0.172206E+04  0.264699E+00  0.264699E+00  0.326682E+03
 0.208390E+04 -0.230445E-01  0.000000E+00  0.395326E+03
 0.244527E+04 -0.295004E+00  0.000000E+00  0.463879E+03
 0.280613E+04 -0.500656E+00  0.000000E+00  0.532336E+03
 0.316646E+04 -0.224239E-01  0.000000E+00  0.600692E+03
 0.352642E+04  0.302568E-02  0.302568E-02  0.668980E+03
 0.388584E+04  0.134512E+00  0.134512E+00  0.737162E+03
 0.424483E+04 -0.384101E+00  0.000000E+00  0.805264E+03
 0.460318E+04 -0.255815E+00  0.000000E+00  0.873245E+03
 0.496134E+04 -0.496135E+00  0.000000E+00  0.941189E+03
 0.531868E+04 -0.587159E+00  0.000000E+00  0.100898E+04
 0.567568E+04 -0.734040E+00  0.000000E+00  0.107670E+04
 0.603222E+04 -0.554120E+00  0.000000E+00  0.114434E+04
 0.638824E+04 -0.104880E+01  0.000000E+00  0.121188E+04
 0.674378E+04 -0.111479E+01  0.000000E+00  0.127933E+04
 0.709894E+04 -0.132364E+01  0.000000E+00  0.134670E+04
 0.745344E+04 -0.555007E+00  0.000000E+00  0.141395E+04
 0.780766E+04 -0.125369E+01  0.000000E+00  0.148115E+04
 0.816130E+04 -0.135958E+01  0.000000E+00  0.154824E+04
 0.851438E+04 -0.291112E+00  0.000000E+00  0.161522E+04
 0.886705E+04 -0.104475E+01  0.000000E+00  0.168212E+04
 0.921914E+04 -0.102279E+01  0.000000E+00  0.174892E+04
 0.957089E+04 -0.586169E+00  0.000000E+00  0.181564E+04
 0.992206E+04 -0.227059E+00  0.000000E+00  0.188226E+04
 0.102729E+05 -0.116297E+00  0.000000E+00  0.194881E+04
 0.106228E+05 -0.147461E+01  0.000000E+00  0.201520E+04
 0.109728E+05 -0.924796E+00  0.000000E+00  0.208159E+04
 0.113220E+05 -0.647879E-01  0.000000E+00  0.214784E+04
 0.116707E+05 -0.461961E+00  0.000000E+00  0.221399E+04
 0.120190E+05 -0.315855E+00  0.000000E+00  0.228007E+04
 0.123669E+05  0.430913E+00  0.430913E+00  0.234605E+04
 0.127141E+05  0.545575E+00  0.545575E+00  0.241193E+04
