NDF v9.6h 11Sep15 rev 12Mar16 run 03/05/2026 14:37:07 Filename: 67010112.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671124.spc                                                                    
str 671124s.str                                                                   
file 671124R1.odf                                                                  
geo 671124g.geo                                                                   
element 16O  
 depth(at/cm2) element>0 element depth(nm)
-0.903224E+04 -0.434448E+00  0.000000E+00 -0.171346E+04
-0.867089E+04 -0.442168E+00  0.000000E+00 -0.164491E+04
-0.830953E+04  0.853675E+00  0.853675E+00 -0.157636E+04
-0.794817E+04  0.218696E+00  0.218696E+00 -0.150781E+04
-0.758682E+04 -0.837568E+00  0.000000E+00 -0.143926E+04
-0.722546E+04 -0.180819E+00  0.000000E+00 -0.137070E+04
-0.686410E+04 -0.137340E+01  0.000000E+00 -0.130215E+04
-0.650275E+04 -0.290148E+01  0.000000E+00 -0.123360E+04
-0.614139E+04 -0.403272E-01  0.000000E+00 -0.116505E+04
-0.578003E+04 -0.807384E+00  0.000000E+00 -0.109650E+04
-0.541869E+04 -0.129949E+01  0.000000E+00 -0.102795E+04
-0.505733E+04  0.185651E+00  0.185651E+00 -0.959400E+03
-0.469597E+04  0.412398E+01  0.412398E+01 -0.890849E+03
-0.433462E+04  0.307645E+01  0.307645E+01 -0.822298E+03
-0.397326E+04  0.731180E+00  0.731180E+00 -0.753746E+03
-0.361190E+04 -0.837705E+00  0.000000E+00 -0.685195E+03
-0.325054E+04  0.382498E+01  0.382498E+01 -0.616644E+03
-0.288919E+04  0.166674E+01  0.166674E+01 -0.548093E+03
-0.252783E+04  0.101408E+02  0.101408E+02 -0.479542E+03
-0.216647E+04  0.121872E+02  0.121872E+02 -0.410991E+03
-0.180512E+04  0.151532E+02  0.151532E+02 -0.342439E+03
-0.144377E+04  0.205805E+02  0.205805E+02 -0.273891E+03
-0.108242E+04  0.299327E+02  0.299327E+02 -0.205339E+03
-0.721059E+03  0.283447E+02  0.283447E+02 -0.136788E+03
-0.359702E+03  0.414219E+02  0.414219E+02 -0.682371E+02
 0.165547E+01  0.408684E+02  0.408684E+02  0.314056E+00
 0.362859E+03  0.436297E+02  0.436297E+02  0.688361E+02
 0.723463E+03  0.526814E+02  0.526814E+02  0.137244E+03
 0.108346E+04  0.566287E+02  0.566287E+02  0.205537E+03
 0.144290E+04  0.610542E+02  0.610542E+02  0.273725E+03
 0.180193E+04  0.580965E+02  0.580965E+02  0.341835E+03
 0.216035E+04  0.558213E+02  0.558213E+02  0.409830E+03
 0.251814E+04  0.624785E+02  0.624785E+02  0.477702E+03
 0.287543E+04  0.569382E+02  0.569382E+02  0.545483E+03
 0.323212E+04  0.608651E+02  0.608651E+02  0.613149E+03
 0.358819E+04  0.661688E+02  0.661688E+02  0.680698E+03
 0.394404E+04  0.644651E+02  0.644651E+02  0.748204E+03
 0.429908E+04  0.687550E+02  0.687550E+02  0.815557E+03
 0.465353E+04  0.676693E+02  0.676693E+02  0.882797E+03
 0.500752E+04  0.630374E+02  0.630374E+02  0.949951E+03
 0.536088E+04  0.567033E+02  0.567033E+02  0.101698E+04
 0.571372E+04  0.617314E+02  0.617314E+02  0.108392E+04
 0.606608E+04  0.628215E+02  0.628215E+02  0.115076E+04
 0.641790E+04  0.583822E+02  0.583822E+02  0.121751E+04
 0.676916E+04  0.657878E+02  0.657878E+02  0.128414E+04
 0.711977E+04  0.638490E+02  0.638490E+02  0.135066E+04
 0.746986E+04  0.661098E+02  0.661098E+02  0.141707E+04
 0.781940E+04  0.619542E+02  0.619542E+02  0.148338E+04
 0.816840E+04  0.623405E+02  0.623405E+02  0.154958E+04
 0.851679E+04  0.641304E+02  0.641304E+02  0.161568E+04
 0.886476E+04  0.647901E+02  0.647901E+02  0.168169E+04
 0.921186E+04  0.651426E+02  0.651426E+02  0.174753E+04
 0.955851E+04  0.623768E+02  0.623768E+02  0.181329E+04
 0.990487E+04  0.720355E+02  0.720355E+02  0.187900E+04
 0.102505E+05  0.711309E+02  0.711309E+02  0.194456E+04
 0.105955E+05  0.650049E+02  0.650049E+02  0.201002E+04
 0.109402E+05  0.635157E+02  0.635157E+02  0.207541E+04
 0.112841E+05  0.642898E+02  0.642898E+02  0.214065E+04
 0.116275E+05  0.653550E+02  0.653550E+02  0.220580E+04
 0.119702E+05  0.687275E+02  0.687275E+02  0.227081E+04
 0.123125E+05  0.617147E+02  0.617147E+02  0.233573E+04
 0.126544E+05  0.691958E+02  0.691958E+02  0.240060E+04
 0.129955E+05  0.635628E+02  0.635628E+02  0.246531E+04
 0.133359E+05  0.583920E+02  0.583920E+02  0.252989E+04
 0.136763E+05  0.627349E+02  0.627349E+02  0.259445E+04
 0.140158E+05  0.615130E+02  0.615130E+02  0.265886E+04
 0.143543E+05  0.559043E+02  0.559043E+02  0.272309E+04
 0.146931E+05  0.628965E+02  0.628965E+02  0.278736E+04
