NDF v9.6h 11Sep15 rev 12Mar16 run 12/03/2026 19:43:56 Filename: 67010116.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671124.spc                                                                    
str 671124s.str                                                                   
file 671124R1.odf                                                                  
geo 671124g.geo                                                                   
element Ge   
 depth(at/cm2) element>0 element depth(nm)
-0.857750E+04  0.328613E-01  0.328613E-01 -0.170118E+04
-0.822173E+04  0.143443E-01  0.143443E-01 -0.163062E+04
-0.786597E+04  0.281615E-01  0.281615E-01 -0.156006E+04
-0.751019E+04 -0.706855E-01  0.000000E+00 -0.148950E+04
-0.715442E+04 -0.242482E-01  0.000000E+00 -0.141894E+04
-0.679865E+04  0.118431E+00  0.118431E+00 -0.134838E+04
-0.644287E+04 -0.108270E+00  0.000000E+00 -0.127782E+04
-0.608710E+04  0.183057E-01  0.183057E-01 -0.120726E+04
-0.573132E+04  0.746463E-03  0.746463E-03 -0.113670E+04
-0.537555E+04  0.126698E+00  0.126698E+00 -0.106614E+04
-0.501978E+04  0.108273E+00  0.108273E+00 -0.995577E+03
-0.466400E+04  0.263197E+00  0.263197E+00 -0.925016E+03
-0.430824E+04 -0.140584E-01  0.000000E+00 -0.854457E+03
-0.395247E+04  0.166804E+00  0.166804E+00 -0.783897E+03
-0.359669E+04  0.993689E-02  0.993689E-02 -0.713336E+03
-0.324092E+04 -0.734923E-01  0.000000E+00 -0.642775E+03
-0.288515E+04 -0.380414E-01  0.000000E+00 -0.572214E+03
-0.252937E+04  0.515988E-01  0.515988E-01 -0.501653E+03
-0.217360E+04 -0.104055E+00  0.000000E+00 -0.431092E+03
-0.181783E+04 -0.234863E+00  0.000000E+00 -0.360531E+03
-0.146205E+04 -0.228529E+00  0.000000E+00 -0.289970E+03
-0.110628E+04 -0.239525E+00  0.000000E+00 -0.219409E+03
-0.750504E+03 -0.186042E+00  0.000000E+00 -0.148848E+03
-0.394743E+03 -0.111256E+00  0.000000E+00 -0.782897E+02
-0.389693E+02 -0.138595E+00  0.000000E+00 -0.772881E+01
 0.316804E+03  0.737070E-01  0.737070E-01  0.628321E+02
 0.672129E+03  0.134478E+00  0.134478E+00  0.133304E+03
 0.102694E+04  0.421959E-01  0.421959E-01  0.203675E+03
 0.138141E+04  0.571863E+00  0.571863E+00  0.273976E+03
 0.173529E+04  0.508713E+00  0.508713E+00  0.344162E+03
 0.208875E+04  0.737701E+00  0.737701E+00  0.414263E+03
 0.244178E+04  0.792413E+00  0.792413E+00  0.484280E+03
 0.279432E+04  0.767096E+00  0.767096E+00  0.554200E+03
 0.314633E+04  0.926587E+00  0.926587E+00  0.624015E+03
 0.349798E+04  0.117567E+01  0.117567E+01  0.693757E+03
 0.384906E+04  0.119901E+01  0.119901E+01  0.763387E+03
 0.419976E+04  0.970845E+00  0.970845E+00  0.832942E+03
 0.454994E+04  0.742976E+00  0.742976E+00  0.902393E+03
 0.489972E+04  0.556292E+00  0.556292E+00  0.971766E+03
 0.524885E+04  0.919254E+00  0.919254E+00  0.104101E+04
 0.559763E+04  0.891262E+00  0.891262E+00  0.111018E+04
 0.594600E+04  0.932254E+00  0.932254E+00  0.117928E+04
 0.629384E+04  0.418948E+00  0.418948E+00  0.124826E+04
 0.664134E+04  0.422902E+00  0.422902E+00  0.131718E+04
 0.698825E+04  0.112499E+00  0.112499E+00  0.138599E+04
 0.733456E+04 -0.770849E-01  0.000000E+00  0.145467E+04
 0.768048E+04 -0.307887E+00  0.000000E+00  0.152328E+04
 0.802606E+04 -0.256439E+00  0.000000E+00  0.159181E+04
 0.837111E+04 -0.744114E+00  0.000000E+00  0.166025E+04
 0.871569E+04 -0.859895E+00  0.000000E+00  0.172859E+04
 0.905986E+04 -0.107605E+01  0.000000E+00  0.179685E+04
 0.940341E+04 -0.471751E+00  0.000000E+00  0.186499E+04
 0.974653E+04 -0.106690E+01  0.000000E+00  0.193304E+04
 0.100893E+05 -0.116486E+01  0.000000E+00  0.200102E+04
 0.104316E+05 -0.291065E+00  0.000000E+00  0.206890E+04
 0.107731E+05 -0.917663E+00  0.000000E+00  0.213664E+04
 0.111145E+05 -0.901932E+00  0.000000E+00  0.220435E+04
 0.114553E+05 -0.545550E+00  0.000000E+00  0.227194E+04
 0.117957E+05 -0.252183E+00  0.000000E+00  0.233945E+04
 0.121356E+05 -0.163652E+00  0.000000E+00  0.240687E+04
 0.124750E+05 -0.128521E+01  0.000000E+00  0.247418E+04
 0.128139E+05 -0.835502E+00  0.000000E+00  0.254140E+04
 0.131525E+05 -0.127559E+00  0.000000E+00  0.260854E+04
 0.134904E+05 -0.456432E+00  0.000000E+00  0.267556E+04
 0.138279E+05 -0.337074E+00  0.000000E+00  0.274250E+04
 0.141650E+05  0.277550E+00  0.277550E+00  0.280936E+04
 0.145016E+05  0.370647E+00  0.370647E+00  0.287611E+04
 0.148376E+05 -0.859475E+00  0.000000E+00  0.294276E+04
 0.151735E+05 -0.201764E+00  0.000000E+00  0.300937E+04
 0.155085E+05  0.352187E+00  0.352187E+00  0.307581E+04
 0.158432E+05  0.768376E-01  0.768376E-01  0.314220E+04
 0.161775E+05 -0.288249E+00  0.000000E+00  0.320850E+04
 0.165110E+05  0.381651E+00  0.381651E+00  0.327464E+04
 0.168445E+05 -0.116333E-01  0.000000E+00  0.334078E+04
 0.171771E+05  0.320998E+00  0.320998E+00  0.340675E+04
 0.175097E+05  0.358021E+00  0.358021E+00  0.347272E+04
 0.178414E+05  0.332139E+00  0.332139E+00  0.353851E+04
 0.181728E+05 -0.249167E+00  0.000000E+00  0.360423E+04
 0.185036E+05 -0.106034E+00  0.000000E+00  0.366984E+04
 0.188345E+05 -0.423987E+00  0.000000E+00  0.373546E+04
 0.191640E+05 -0.172735E+00  0.000000E+00  0.380081E+04
 0.194936E+05 -0.413254E+00  0.000000E+00  0.386619E+04
 0.198229E+05 -0.853878E+00  0.000000E+00  0.393150E+04
 0.201516E+05 -0.308169E+00  0.000000E+00  0.399668E+04
 0.204794E+05 -0.237921E+00  0.000000E+00  0.406169E+04
 0.208066E+05 -0.244230E+00  0.000000E+00  0.412660E+04
