NDF v9.6h 11Sep15 rev 12Mar16 run 03/05/2026 15:34:26 Filename: 67010114.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671126.spc                                                                    
str 671126s.str                                                                   
file 671126R1.odf                                                                  
geo 671126g.geo                                                                   
element Sr   
 depth(at/cm2) element>0 element depth(nm)
-0.127443E+05  0.245074E-01  0.245074E-01 -0.112146E+04
-0.122267E+05  0.781642E-02  0.781642E-02 -0.107591E+04
-0.117091E+05 -0.127685E-01  0.000000E+00 -0.103037E+04
-0.111915E+05  0.471421E-01  0.471421E-01 -0.984819E+03
-0.106739E+05  0.299409E-02  0.299409E-02 -0.939272E+03
-0.101563E+05  0.433249E-02  0.433249E-02 -0.893726E+03
-0.963871E+04  0.125240E-01  0.125240E-01 -0.848179E+03
-0.912113E+04 -0.223300E-01  0.000000E+00 -0.802634E+03
-0.860354E+04 -0.163424E-01  0.000000E+00 -0.757088E+03
-0.808595E+04  0.111997E-01  0.111997E-01 -0.711541E+03
-0.756836E+04  0.108624E-01  0.108624E-01 -0.665995E+03
-0.705077E+04  0.965373E-02  0.965373E-02 -0.620448E+03
-0.653318E+04 -0.333377E-02  0.000000E+00 -0.574901E+03
-0.601559E+04  0.103419E-01  0.103419E-01 -0.529355E+03
-0.549800E+04  0.247192E-01  0.247192E-01 -0.483808E+03
-0.498041E+04  0.477027E-01  0.477027E-01 -0.438262E+03
-0.446282E+04  0.339899E-01  0.339899E-01 -0.392715E+03
-0.394524E+04 -0.878529E-02  0.000000E+00 -0.347170E+03
-0.342765E+04  0.358753E-01  0.358753E-01 -0.301624E+03
-0.291006E+04 -0.125129E-01  0.000000E+00 -0.256077E+03
-0.239247E+04  0.368986E-01  0.368986E-01 -0.210531E+03
-0.187488E+04  0.228268E-01  0.228268E-01 -0.164984E+03
-0.135729E+04  0.423349E-01  0.423349E-01 -0.119438E+03
-0.839700E+03  0.949967E-01  0.949967E-01 -0.738912E+02
-0.322109E+03  0.462512E-01  0.462512E-01 -0.283447E+02
 0.195482E+03  0.848671E-01  0.848671E-01  0.709696E+02
 0.519208E+03  0.853115E-01  0.853115E-01  0.133086E+03
 0.842517E+03  0.213638E+00  0.213638E+00  0.195121E+03
 0.116549E+04  0.152404E+00  0.152404E+00  0.257093E+03
 0.148795E+04  0.283313E+00  0.283313E+00  0.318965E+03
 0.181009E+04  0.405220E+00  0.405220E+00  0.380777E+03
 0.213167E+04  0.297105E+00  0.297105E+00  0.442482E+03
