NDF v9.6h 11Sep15 rev 12Mar16 run 03/05/2026 15:34:26 Filename: 67010117.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671126.spc                                                                    
str 671126s.str                                                                   
file 671126R1.odf                                                                  
geo 671126g.geo                                                                   
element Zn   
 depth(at/cm2) element>0 element depth(nm)
-0.131432E+05 -0.356197E-01  0.000000E+00 -0.115656E+04
-0.126171E+05 -0.260690E-01  0.000000E+00 -0.111027E+04
-0.120910E+05  0.178652E-01  0.178652E-01 -0.106397E+04
-0.115649E+05  0.173265E-01  0.173265E-01 -0.101768E+04
-0.110388E+05  0.153964E-01  0.153964E-01 -0.971379E+03
-0.105126E+05 -0.532735E-02  0.000000E+00 -0.925083E+03
-0.998653E+04  0.164737E-01  0.164737E-01 -0.878787E+03
-0.946042E+04  0.393749E-01  0.393749E-01 -0.832490E+03
-0.893431E+04  0.759657E-01  0.759657E-01 -0.786194E+03
-0.840820E+04  0.539418E-01  0.539418E-01 -0.739898E+03
-0.788211E+04 -0.145733E-01  0.000000E+00 -0.693604E+03
-0.735600E+04  0.561979E-01  0.561979E-01 -0.647307E+03
-0.682989E+04 -0.217575E-01  0.000000E+00 -0.601011E+03
-0.630378E+04  0.559433E-01  0.559433E-01 -0.554715E+03
-0.577767E+04  0.319493E-01  0.319493E-01 -0.508419E+03
-0.525156E+04  0.611164E-01  0.611164E-01 -0.462123E+03
-0.472546E+04  0.142854E+00  0.142854E+00 -0.415827E+03
-0.419935E+04  0.626620E-01  0.626620E-01 -0.369531E+03
-0.367324E+04  0.122080E+00  0.122080E+00 -0.323234E+03
-0.314713E+04  0.698007E-01  0.698007E-01 -0.276938E+03
-0.262102E+04  0.196366E+00  0.196366E+00 -0.230642E+03
-0.209493E+04  0.134570E+00  0.134570E+00 -0.184348E+03
-0.156882E+04  0.264864E+00  0.264864E+00 -0.138051E+03
-0.104271E+04  0.386835E+00  0.386835E+00 -0.917552E+02
-0.516596E+03  0.280553E+00  0.280553E+00 -0.454590E+02
 0.951317E+01  0.486251E+00  0.486251E+00  0.837132E+00
 0.402873E+03  0.708311E+00  0.708311E+00  0.763142E+02
 0.726446E+03  0.107813E+01  0.107813E+01  0.138401E+03
 0.104959E+04  0.116385E+01  0.116385E+01  0.200404E+03
 0.137221E+04  0.774094E+00  0.774094E+00  0.262308E+03
 0.169458E+04  0.456941E+00  0.456941E+00  0.324164E+03
 0.201641E+04  0.955532E+00  0.955532E+00  0.385917E+03
 0.233785E+04  0.194879E+00  0.194879E+00  0.447594E+03
 0.265895E+04  0.351577E+00  0.351577E+00  0.509205E+03
 0.297947E+04 -0.916261E+00  0.000000E+00  0.570706E+03
 0.329968E+04 -0.115802E+01  0.000000E+00  0.632147E+03
 0.361944E+04 -0.358069E+00  0.000000E+00  0.693503E+03
