NDF v9.6h 11Sep15 rev 12Mar16 run 03/05/2026 15:34:26 Filename: 67010118.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671126.spc                                                                    
str 671126s.str                                                                   
file 671126R1.odf                                                                  
geo 671126g.geo                                                                   
element Mo   
 depth(at/cm2) element>0 element depth(nm)
-0.130083E+05  0.154025E-01  0.154025E-01 -0.114469E+04
-0.124822E+05  0.268780E-01  0.268780E-01 -0.109840E+04
-0.119562E+05  0.196905E-01  0.196905E-01 -0.105211E+04
-0.114302E+05  0.628011E-02  0.628011E-02 -0.100582E+04
-0.109041E+05 -0.102588E-01  0.000000E+00 -0.959531E+03
-0.103781E+05  0.378763E-01  0.378763E-01 -0.913241E+03
-0.985203E+04  0.240560E-02  0.240560E-02 -0.866951E+03
-0.932599E+04  0.348092E-02  0.348092E-02 -0.820661E+03
-0.879995E+04  0.100624E-01  0.100624E-01 -0.774371E+03
-0.827392E+04 -0.179409E-01  0.000000E+00 -0.728082E+03
-0.774788E+04 -0.131301E-01  0.000000E+00 -0.681792E+03
-0.722184E+04  0.899858E-02  0.899858E-02 -0.635502E+03
-0.669580E+04  0.872790E-02  0.872790E-02 -0.589211E+03
-0.616975E+04  0.775764E-02  0.775764E-02 -0.542921E+03
-0.564371E+04 -0.267561E-02  0.000000E+00 -0.496631E+03
-0.511767E+04  0.831393E-02  0.831393E-02 -0.450341E+03
-0.459163E+04  0.198666E-01  0.198666E-01 -0.404050E+03
-0.406559E+04  0.383297E-01  0.383297E-01 -0.357760E+03
-0.353954E+04  0.272973E-01  0.272973E-01 -0.311470E+03
-0.301352E+04 -0.711291E-02  0.000000E+00 -0.265181E+03
-0.248748E+04  0.286712E-01  0.286712E-01 -0.218891E+03
-0.196144E+04 -0.103929E-01  0.000000E+00 -0.172601E+03
-0.143539E+04  0.289868E-01  0.289868E-01 -0.126311E+03
-0.909350E+03  0.171938E-01  0.171938E-01 -0.800203E+02
-0.383308E+03  0.321909E-01  0.321909E-01 -0.337300E+02
 0.142734E+03  0.735689E-01  0.735689E-01  0.125602E+02
 0.484715E+03  0.514539E-01  0.514539E-01  0.781788E+02
 0.808180E+03  0.103186E+00  0.103186E+00  0.140245E+03
 0.113113E+04  0.604106E-01  0.604106E-01  0.202212E+03
 0.145364E+04  0.163896E+00  0.163896E+00  0.264094E+03
 0.177570E+04  0.112504E+00  0.112504E+00  0.325889E+03
 0.209747E+04  0.218515E+00  0.218515E+00  0.387631E+03
 0.241867E+04  0.317787E+00  0.317787E+00  0.449262E+03
 0.273969E+04  0.228491E+00  0.228491E+00  0.510859E+03
 0.305996E+04  0.397397E+00  0.397397E+00  0.572312E+03
 0.338021E+04  0.431302E+00  0.431302E+00  0.633761E+03
 0.369973E+04  0.541173E+00  0.541173E+00  0.695069E+03
 0.401903E+04  0.582958E+00  0.582958E+00  0.756335E+03
 0.433785E+04  0.383085E+00  0.383085E+00  0.817511E+03
 0.465630E+04  0.220704E+00  0.220704E+00  0.878615E+03
 0.497423E+04  0.474212E+00  0.474212E+00  0.939619E+03
 0.529184E+04  0.861116E-01  0.861116E-01  0.100056E+04
 0.560896E+04  0.165815E+00  0.165815E+00  0.106141E+04
 0.592588E+04 -0.480121E+00  0.000000E+00  0.112222E+04
 0.624207E+04 -0.604083E+00  0.000000E+00  0.118289E+04
 0.655808E+04 -0.196063E+00  0.000000E+00  0.124352E+04
 0.687354E+04 -0.497322E+00  0.000000E+00  0.130405E+04
 0.718874E+04 -0.360050E+00  0.000000E+00  0.136453E+04
 0.750324E+04  0.639262E-01  0.639262E-01  0.142488E+04
 0.781756E+04 -0.205027E+00  0.000000E+00  0.148519E+04
 0.813139E+04 -0.517195E+00  0.000000E+00  0.154541E+04
 0.844480E+04 -0.496101E+00  0.000000E+00  0.160554E+04
 0.875794E+04 -0.218099E+00  0.000000E+00  0.166563E+04
 0.907061E+04 -0.417652E+00  0.000000E+00  0.172562E+04
 0.938262E+04 -0.292089E+00  0.000000E+00  0.178549E+04
 0.969448E+04 -0.323924E+00  0.000000E+00  0.184533E+04
 0.100058E+05 -0.228320E+00  0.000000E+00  0.190506E+04
 0.103167E+05 -0.109780E+00  0.000000E+00  0.196472E+04
 0.106274E+05 -0.367431E+00  0.000000E+00  0.202433E+04
 0.109375E+05 -0.338488E+00  0.000000E+00  0.208383E+04
 0.112471E+05 -0.340651E+00  0.000000E+00  0.214324E+04
 0.115563E+05  0.255053E+00  0.255053E+00  0.220257E+04
 0.118652E+05 -0.250283E+00  0.000000E+00  0.226183E+04
 0.121738E+05  0.788767E-01  0.788767E-01  0.232105E+04
 0.124818E+05  0.146489E+00  0.146489E+00  0.238015E+04
 0.127894E+05 -0.217814E+00  0.000000E+00  0.243918E+04
 0.130965E+05 -0.247582E+00  0.000000E+00  0.249810E+04
 0.134032E+05 -0.238037E+00  0.000000E+00  0.255695E+04
 0.137099E+05 -0.263769E+00  0.000000E+00  0.261580E+04
 0.140156E+05 -0.148199E-01  0.000000E+00  0.267445E+04
 0.143212E+05  0.154331E+00  0.154331E+00  0.273309E+04
 0.146262E+05 -0.519544E-01  0.000000E+00  0.279162E+04
 0.149311E+05  0.108789E+00  0.108789E+00  0.285012E+04
 0.152353E+05 -0.400210E+00  0.000000E+00  0.290850E+04
 0.155390E+05 -0.442588E+00  0.000000E+00  0.296677E+04
 0.158426E+05 -0.302709E+00  0.000000E+00  0.302502E+04
