NDF v9.6h 11Sep15 rev 12Mar16 run 03/05/2026 15:34:26 Filename: 671p01.dat   Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671126.spc                                                                    
str 671126s.str                                                                   
molecules 20
  4.977 Si                                                                                                                                  
  3.885 S                                                                                                                                   
  3.220 Cl                                                                                                                                  
  1.329 K                                                                                                                                   
  2.014 Ca                                                                                                                                  
  5.682 Ti                                                                                                                                  
  8.150 Mn                                                                                                                                  
  8.483 Fe                                                                                                                                  
  8.989 Co                                                                                                                                  
  9.125 Ni                                                                                                                                  
  8.483 Cu                                                                                                                                  
  4.302 16O                                                                                                                                 
 11.364 12C                                                                                                                                 
  1.787 Sr                                                                                                                                  
  3.291 Pb                                                                                                                                  
  7.213 V                                                                                                                                   
  6.546 Zn                                                                                                                                  
  6.407 Mo                                                                                                                                  
  6.023 Al                                                                                                                                  
  4.597 As                                                                                                                                  
total_thick(1e15at/cm2) ...molecules... total_thick(nm) r(1e22at/cm3) total_thick(ug/cm2)
 0.000000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1136E+02  0.0000E+00
 0.100000E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1136E+02  0.0000E+00
 0.190300E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1675E+02  0.1136E+02  0.3792E+01
 0.190302E+03  0.3288E+01  0.3826E+00  0.1698E+01  0.2687E+00  0.2899E+01  0.3296E+00  0.6937E+01  0.1082E+02  0.1933E+00  0.1457E+00  0.4378E-01  0.6772E+02  0.2814E+01  0.2505E-01  0.2505E-01  0.5160E-01  0.3723E-01  0.5286E-02  0.2298E+01  0.1954E-01  0.1675E+02  0.5212E+01  0.3792E+01
 0.100000E+11  0.3288E+01  0.3826E+00  0.1698E+01  0.2687E+00  0.2899E+01  0.3296E+00  0.6937E+01  0.1082E+02  0.1933E+00  0.1457E+00  0.4378E-01  0.6772E+02  0.2814E+01  0.2505E-01  0.2505E-01  0.5160E-01  0.3723E-01  0.5286E-02  0.2298E+01  0.1954E-01  0.1919E+10  0.5212E+01  0.4166E+09
