NDF v9.6h 11Sep15 rev 12Mar16 run 05/07/2026 19:53:38 Filename: 67010110.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671129.spc                                                                    
str 671129s.str                                                                   
file 671129R1.odf                                                                  
geo 671129g.geo                                                                   
element Cr   
 depth(at/cm2) element>0 element depth(nm)
-0.700685E+04 -0.102340E+00  0.000000E+00 -0.140785E+04
-0.671911E+04  0.122944E+00  0.122944E+00 -0.135003E+04
-0.643139E+04  0.944035E-01  0.944035E-01 -0.129222E+04
-0.614365E+04  0.903634E-01  0.903634E-01 -0.123441E+04
-0.585591E+04  0.110248E+00  0.110248E+00 -0.117660E+04
-0.556818E+04  0.178283E+00  0.178283E+00 -0.111878E+04
-0.528044E+04  0.674643E-01  0.674643E-01 -0.106097E+04
-0.499271E+04  0.545308E-01  0.545308E-01 -0.100316E+04
-0.470497E+04  0.136316E-01  0.136316E-01 -0.945343E+03
-0.441724E+04  0.145101E+00  0.145101E+00 -0.887530E+03
-0.412950E+04  0.149084E+00  0.149084E+00 -0.829717E+03
-0.384177E+04 -0.122289E+00  0.000000E+00 -0.771904E+03
-0.355403E+04  0.304212E-01  0.304212E-01 -0.714091E+03
-0.326630E+04 -0.655470E-01  0.000000E+00 -0.656280E+03
-0.297857E+04  0.868894E-01  0.868894E-01 -0.598467E+03
-0.269083E+04  0.137404E+00  0.137404E+00 -0.540653E+03
-0.240310E+04  0.132885E+00  0.132885E+00 -0.482840E+03
-0.211536E+04  0.205963E-01  0.205963E-01 -0.425027E+03
-0.182763E+04  0.682178E-01  0.682178E-01 -0.367214E+03
-0.153989E+04  0.271099E+00  0.271099E+00 -0.309401E+03
-0.125215E+04  0.257952E+00  0.257952E+00 -0.251588E+03
-0.964418E+03  0.398907E+00  0.398907E+00 -0.193775E+03
-0.676683E+03  0.451856E+00  0.451856E+00 -0.135962E+03
-0.388957E+03  0.668070E+00  0.668070E+00 -0.781509E+02
-0.101221E+03  0.245412E+00  0.245412E+00 -0.203378E+02
 0.186514E+03  0.424964E-01  0.424964E-01  0.374753E+02
 0.488849E+03  0.260434E+00  0.260434E+00  0.953288E+02
 0.848822E+03 -0.154611E+00  0.000000E+00  0.164212E+03
 0.120834E+04 -0.152272E+00  0.000000E+00  0.233008E+03
 0.156740E+04 -0.325495E+00  0.000000E+00  0.301717E+03
 0.192602E+04 -0.398642E+00  0.000000E+00  0.370341E+03
 0.228412E+04 -0.721084E+00  0.000000E+00  0.438865E+03
 0.264158E+04 -0.565876E+00  0.000000E+00  0.507267E+03
 0.299866E+04 -0.854476E+00  0.000000E+00  0.575597E+03
 0.335541E+04 -0.112864E+01  0.000000E+00  0.643863E+03
 0.371158E+04 -0.131354E+01  0.000000E+00  0.712019E+03
 0.406722E+04 -0.178987E+01  0.000000E+00  0.780072E+03
 0.442233E+04 -0.145226E+01  0.000000E+00  0.848025E+03
 0.477711E+04 -0.160334E+01  0.000000E+00  0.915915E+03
 0.513135E+04 -0.191879E+01  0.000000E+00  0.983699E+03
 0.548502E+04 -0.196332E+01  0.000000E+00  0.105138E+04
 0.583828E+04 -0.125467E+01  0.000000E+00  0.111898E+04
 0.619103E+04 -0.102043E+01  0.000000E+00  0.118648E+04
 0.654334E+04 -0.122122E+01  0.000000E+00  0.125389E+04
 0.689524E+04 -0.336960E+00  0.000000E+00  0.132123E+04
 0.724647E+04 -0.317428E+00  0.000000E+00  0.138844E+04
 0.759736E+04 -0.205210E+00  0.000000E+00  0.145559E+04
 0.794779E+04  0.651130E+00  0.651130E+00  0.152264E+04
 0.829761E+04 -0.685606E+00  0.000000E+00  0.158958E+04
 0.864696E+04 -0.121073E+01  0.000000E+00  0.165643E+04
 0.899597E+04 -0.461442E+00  0.000000E+00  0.172322E+04
 0.934431E+04 -0.101266E+01  0.000000E+00  0.178988E+04
 0.969226E+04 -0.255861E+01  0.000000E+00  0.185646E+04
 0.100398E+05 -0.201357E+01  0.000000E+00  0.192296E+04
 0.103866E+05 -0.116011E+01  0.000000E+00  0.198932E+04
 0.107330E+05 -0.114216E+01  0.000000E+00  0.205561E+04
 0.110792E+05  0.158962E+00  0.158962E+00  0.212187E+04
 0.114244E+05 -0.589962E+00  0.000000E+00  0.218792E+04
 0.117693E+05  0.103754E+01  0.103754E+01  0.225391E+04
 0.121143E+05 -0.119990E+00  0.000000E+00  0.231993E+04
 0.124583E+05 -0.474326E-01  0.000000E+00  0.238575E+04
 0.128016E+05  0.785288E+00  0.785288E+00  0.245145E+04
 0.131451E+05  0.120375E+01  0.120375E+01  0.251718E+04
 0.134877E+05  0.180384E+01  0.180384E+01  0.258275E+04
 0.138293E+05  0.444636E+00  0.444636E+00  0.264811E+04
 0.141715E+05  0.663470E+00  0.663470E+00  0.271359E+04
 0.145120E+05  0.135281E+01  0.135281E+01  0.277874E+04
 0.148527E+05  0.319640E+00  0.319640E+00  0.284394E+04
 0.151937E+05 -0.211235E-02  0.000000E+00  0.290919E+04
 0.155317E+05  0.647077E+00  0.647077E+00  0.297388E+04
 0.158721E+05 -0.783038E+00  0.000000E+00  0.303901E+04
 0.162106E+05  0.880598E-01  0.880598E-01  0.310379E+04
 0.165482E+05 -0.523840E-01  0.000000E+00  0.316839E+04
 0.168868E+05 -0.108686E-01  0.000000E+00  0.323319E+04
 0.172238E+05 -0.213521E+00  0.000000E+00  0.329767E+04
 0.175602E+05  0.167277E+00  0.167277E+00  0.336203E+04
 0.178971E+05  0.104976E+01  0.104976E+01  0.342650E+04
 0.182321E+05  0.125603E+00  0.125603E+00  0.349061E+04
 0.185674E+05  0.181897E+00  0.181897E+00  0.355478E+04
 0.189030E+05  0.272230E-01  0.272230E-01  0.361900E+04
 0.192360E+05  0.839876E+00  0.839876E+00  0.368271E+04
 0.195707E+05 -0.608364E+00  0.000000E+00  0.374676E+04
 0.199042E+05  0.542872E+00  0.542872E+00  0.381059E+04
 0.202363E+05 -0.140932E+01  0.000000E+00  0.387412E+04
 0.205690E+05 -0.349878E+00  0.000000E+00  0.393779E+04
 0.209013E+05 -0.277142E+00  0.000000E+00  0.400138E+04
 0.212318E+05  0.834504E-01  0.834504E-01  0.406462E+04
 0.215634E+05  0.343562E+00  0.343562E+00  0.412808E+04
 0.218930E+05  0.599041E-01  0.599041E-01  0.419114E+04
 0.222232E+05 -0.601535E+00  0.000000E+00  0.425433E+04
 0.225528E+05 -0.109557E+01  0.000000E+00  0.431739E+04
 0.228809E+05  0.516237E+00  0.516237E+00  0.438019E+04
 0.232100E+05  0.137896E+01  0.137896E+01  0.444315E+04
 0.235379E+05  0.102864E+01  0.102864E+01  0.450592E+04
 0.238649E+05  0.331097E+00  0.331097E+00  0.456847E+04
 0.241921E+05  0.124575E+01  0.124575E+01  0.463109E+04
 0.245186E+05  0.176921E+01  0.176921E+01  0.469357E+04
 0.248445E+05  0.176057E+01  0.176057E+01  0.475592E+04
 0.251699E+05  0.314788E+01  0.314788E+01  0.481820E+04
 0.254944E+05  0.135437E+01  0.135437E+01  0.488030E+04
 0.258194E+05  0.284200E+01  0.284200E+01  0.494250E+04
 0.261428E+05  0.144331E+01  0.144331E+01  0.500437E+04
 0.264664E+05  0.122125E+01  0.122125E+01  0.506630E+04
 0.267898E+05  0.219942E+00  0.219942E+00  0.512817E+04
 0.271117E+05 -0.567654E-01  0.000000E+00  0.518977E+04
 0.274341E+05 -0.141733E+01  0.000000E+00  0.525146E+04
 0.277554E+05 -0.125505E+01  0.000000E+00  0.531295E+04
 0.280762E+05 -0.197612E+01  0.000000E+00  0.537435E+04
 0.283969E+05  0.288919E+00  0.288919E+00  0.543571E+04
 0.287168E+05 -0.113223E+01  0.000000E+00  0.549693E+04
 0.290364E+05 -0.241968E+01  0.000000E+00  0.555808E+04
 0.293550E+05 -0.817524E+00  0.000000E+00  0.561905E+04
 0.296739E+05 -0.365529E+00  0.000000E+00  0.568007E+04
 0.299916E+05 -0.657743E+00  0.000000E+00  0.574086E+04
 0.303092E+05 -0.248482E+01  0.000000E+00  0.580163E+04
 0.306264E+05 -0.163558E+01  0.000000E+00  0.586233E+04
 0.309427E+05 -0.182831E+01  0.000000E+00  0.592287E+04
 0.312586E+05  0.443571E+00  0.443571E+00  0.598332E+04
 0.315745E+05  0.170030E+00  0.170030E+00  0.604376E+04
 0.318891E+05 -0.284171E+01  0.000000E+00  0.610396E+04
 0.322039E+05 -0.687004E+00  0.000000E+00  0.616420E+04
 0.325176E+05 -0.404693E+00  0.000000E+00  0.622424E+04
 0.328315E+05 -0.189413E+01  0.000000E+00  0.628429E+04
 0.331445E+05 -0.338405E+00  0.000000E+00  0.634420E+04
 0.334567E+05 -0.109710E+01  0.000000E+00  0.640393E+04
 0.337688E+05  0.170691E+00  0.170691E+00  0.646365E+04
 0.340802E+05  0.745695E+00  0.745695E+00  0.652324E+04
 0.343914E+05  0.208886E+01  0.208886E+01  0.658279E+04
 0.347019E+05  0.120275E+00  0.120275E+00  0.664220E+04
 0.350120E+05 -0.665538E+00  0.000000E+00  0.670154E+04
 0.353213E+05  0.106695E+01  0.106695E+01  0.676074E+04
 0.356303E+05 -0.186841E+01  0.000000E+00  0.681986E+04
 0.359390E+05  0.744412E+00  0.744412E+00  0.687894E+04
 0.362469E+05 -0.416658E+00  0.000000E+00  0.693785E+04
 0.365544E+05  0.592731E+00  0.592731E+00  0.699669E+04
 0.368613E+05 -0.351256E+00  0.000000E+00  0.705542E+04
 0.371679E+05 -0.434543E+00  0.000000E+00  0.711410E+04
 0.374740E+05 -0.134836E+01  0.000000E+00  0.717267E+04
 0.377795E+05 -0.576027E-01  0.000000E+00  0.723112E+04
 0.380844E+05  0.506918E+00  0.506918E+00  0.728947E+04
 0.383889E+05  0.168048E+00  0.168048E+00  0.734774E+04
 0.386930E+05 -0.901126E+00  0.000000E+00  0.740592E+04
 0.389963E+05 -0.343333E+00  0.000000E+00  0.746398E+04
 0.392993E+05 -0.732388E+00  0.000000E+00  0.752195E+04
 0.396018E+05  0.116734E+01  0.116734E+01  0.757983E+04
 0.399038E+05  0.139520E+00  0.139520E+00  0.763763E+04
 0.402053E+05 -0.555665E+00  0.000000E+00  0.769531E+04
 0.405060E+05 -0.107336E+01  0.000000E+00  0.775286E+04
 0.408066E+05  0.152361E+00  0.152361E+00  0.781038E+04
 0.411066E+05  0.147021E+00  0.147021E+00  0.786779E+04
 0.414061E+05 -0.162109E+00  0.000000E+00  0.792509E+04
 0.417049E+05  0.293389E+01  0.293389E+01  0.798228E+04
 0.420040E+05  0.831089E+00  0.831089E+00  0.804364E+04
 0.423041E+05 -0.194747E+01  0.000000E+00  0.810519E+04
