NDF v9.6h 11Sep15 rev 12Mar16 run 05/07/2026 19:53:38 Filename: 67010115.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671129.spc                                                                    
str 671129s.str                                                                   
file 671129R1.odf                                                                  
geo 671129g.geo                                                                   
element Na   
 depth(at/cm2) element>0 element depth(nm)
-0.706176E+04 -0.764014E+01  0.000000E+00 -0.141888E+04
-0.677436E+04 -0.210845E+01  0.000000E+00 -0.136113E+04
-0.648696E+04 -0.198272E+01  0.000000E+00 -0.130339E+04
-0.619956E+04 -0.128194E+01  0.000000E+00 -0.124564E+04
-0.591216E+04  0.404625E+01  0.404625E+01 -0.118790E+04
-0.562476E+04 -0.426103E+01  0.000000E+00 -0.113015E+04
-0.533736E+04 -0.751185E+01  0.000000E+00 -0.107241E+04
-0.504996E+04 -0.286262E+01  0.000000E+00 -0.101466E+04
-0.476256E+04 -0.626572E+01  0.000000E+00 -0.956914E+03
-0.447516E+04 -0.158075E+02  0.000000E+00 -0.899169E+03
-0.418776E+04 -0.124258E+02  0.000000E+00 -0.841423E+03
-0.390037E+04 -0.714598E+01  0.000000E+00 -0.783680E+03
-0.361297E+04 -0.702787E+01  0.000000E+00 -0.725934E+03
-0.332557E+04  0.973829E+00  0.973829E+00 -0.668188E+03
-0.303817E+04 -0.361764E+01  0.000000E+00 -0.610443E+03
-0.275077E+04  0.635218E+01  0.635218E+01 -0.552697E+03
-0.246337E+04 -0.731679E+00  0.000000E+00 -0.494951E+03
-0.217597E+04 -0.278558E+00  0.000000E+00 -0.437206E+03
-0.188857E+04  0.481244E+01  0.481244E+01 -0.379460E+03
-0.160117E+04  0.739159E+01  0.739159E+01 -0.321714E+03
-0.131377E+04  0.110625E+02  0.110625E+02 -0.263969E+03
-0.102638E+04  0.284647E+01  0.284647E+01 -0.206225E+03
-0.738983E+03  0.426226E+01  0.426226E+01 -0.148480E+03
-0.451583E+03  0.851290E+01  0.851290E+01 -0.907340E+02
-0.164183E+03  0.239499E+01  0.239499E+01 -0.329883E+02
 0.123217E+03  0.586141E+00  0.586141E+00  0.247573E+02
 0.410402E+03  0.462383E+01  0.462383E+01  0.824598E+02
 0.768113E+03 -0.309354E+01  0.000000E+00  0.150910E+03
 0.112651E+04  0.122274E+01  0.122274E+01  0.219492E+03
