NDF v9.6h 11Sep15 rev 12Mar16 run 10/05/2026 19:45:08 Filename: 67010104.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671130.spc                                                                    
str 671130s.str                                                                   
file 671130R1.odf                                                                  
geo 671130g.geo                                                                   
element O    
 depth(at/cm2) element>0 element depth(nm)
-0.912861E+04  0.156655E+01  0.156655E+01 -0.164490E+04
-0.876299E+04 -0.104009E+01  0.000000E+00 -0.157902E+04
-0.839736E+04  0.585337E+01  0.585337E+01 -0.151314E+04
-0.803173E+04 -0.106336E+01  0.000000E+00 -0.144725E+04
-0.766611E+04  0.280655E+01  0.280655E+01 -0.138137E+04
-0.730048E+04  0.128532E+01  0.128532E+01 -0.131549E+04
-0.693486E+04  0.105673E+01  0.105673E+01 -0.124961E+04
-0.656923E+04 -0.466721E+00  0.000000E+00 -0.118372E+04
-0.620361E+04  0.489765E+01  0.489765E+01 -0.111784E+04
-0.583798E+04  0.229508E+01  0.229508E+01 -0.105196E+04
-0.547237E+04  0.119822E+01  0.119822E+01 -0.986077E+03
-0.510674E+04 -0.247779E+01  0.000000E+00 -0.920194E+03
-0.474112E+04  0.223598E+01  0.223598E+01 -0.854312E+03
-0.437549E+04  0.221806E+01  0.221806E+01 -0.788429E+03
-0.400987E+04 -0.252783E+01  0.000000E+00 -0.722546E+03
-0.364424E+04  0.465761E+00  0.465761E+00 -0.656663E+03
-0.327861E+04  0.646629E+01  0.646629E+01 -0.590780E+03
-0.291299E+04  0.323685E+01  0.323685E+01 -0.524897E+03
-0.254736E+04  0.729974E+01  0.729974E+01 -0.459015E+03
-0.218174E+04  0.451218E+01  0.451218E+01 -0.393132E+03
-0.181611E+04  0.944939E+01  0.944939E+01 -0.327249E+03
-0.145050E+04  0.817470E+01  0.817470E+01 -0.261368E+03
-0.108487E+04  0.120334E+02  0.120334E+02 -0.195485E+03
-0.719247E+03  0.201967E+02  0.201967E+02 -0.129603E+03
-0.353621E+03  0.285671E+02  0.285671E+02 -0.637198E+02
 0.120044E+02  0.313489E+02  0.313489E+02  0.216309E+01
 0.377577E+03  0.360806E+02  0.360806E+02  0.680363E+02
 0.742670E+03  0.393568E+02  0.393568E+02  0.133823E+03
 0.110715E+04  0.385827E+02  0.385827E+02  0.199500E+03
 0.147104E+04  0.502383E+02  0.502383E+02  0.265069E+03
 0.183443E+04  0.496736E+02  0.496736E+02  0.330549E+03
 0.219729E+04  0.521072E+02  0.521072E+02  0.395935E+03
 0.255957E+04  0.560502E+02  0.560502E+02  0.461214E+03
 0.292133E+04  0.515939E+02  0.515939E+02  0.526400E+03
 0.328241E+04  0.633200E+02  0.633200E+02  0.591465E+03
 0.364296E+04  0.622953E+02  0.622953E+02  0.656432E+03
 0.400305E+04  0.623119E+02  0.623119E+02  0.721318E+03
 0.436244E+04  0.595592E+02  0.595592E+02  0.786078E+03
 0.472127E+04  0.520094E+02  0.520094E+02  0.850735E+03
 0.507954E+04  0.468273E+02  0.468273E+02  0.915293E+03
 0.543727E+04  0.629138E+02  0.629138E+02  0.979753E+03
 0.579444E+04  0.564279E+02  0.564279E+02  0.104411E+04
 0.615115E+04  0.566541E+02  0.566541E+02  0.110839E+04
 0.650716E+04  0.495116E+02  0.495116E+02  0.117254E+04
 0.686270E+04  0.503884E+02  0.503884E+02  0.123660E+04
 0.721763E+04  0.495291E+02  0.495291E+02  0.130056E+04
 0.757185E+04  0.532562E+02  0.532562E+02  0.136439E+04
