NDF v9.6h 11Sep15 rev 12Mar16 run 10/05/2026 19:45:09 Filename: 67010106.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671130.spc                                                                    
str 671130s.str                                                                   
file 671130R1.odf                                                                  
geo 671130g.geo                                                                   
element S    
 depth(at/cm2) element>0 element depth(nm)
-0.887352E+04 -0.717083E-01  0.000000E+00 -0.159894E+04
-0.850534E+04 -0.461105E+00  0.000000E+00 -0.153260E+04
-0.813716E+04 -0.157956E+00  0.000000E+00 -0.146625E+04
-0.776897E+04  0.457322E+00  0.457322E+00 -0.139991E+04
-0.740078E+04 -0.432161E+00  0.000000E+00 -0.133356E+04
-0.703259E+04  0.146309E+00  0.146309E+00 -0.126722E+04
-0.666440E+04 -0.107841E+01  0.000000E+00 -0.120087E+04
-0.629622E+04  0.243742E+00  0.243742E+00 -0.113453E+04
-0.592803E+04 -0.221714E+00  0.000000E+00 -0.106818E+04
-0.555984E+04 -0.415502E+00  0.000000E+00 -0.100184E+04
-0.519165E+04 -0.403561E+01  0.000000E+00 -0.935495E+03
-0.482348E+04 -0.205901E+01  0.000000E+00 -0.869152E+03
-0.445529E+04 -0.278117E+01  0.000000E+00 -0.802808E+03
-0.408710E+04 -0.321616E+01  0.000000E+00 -0.736463E+03
-0.371891E+04 -0.595275E+01  0.000000E+00 -0.670119E+03
-0.335072E+04 -0.143542E+01  0.000000E+00 -0.603774E+03
-0.298254E+04 -0.552632E+01  0.000000E+00 -0.537429E+03
-0.261435E+04 -0.155599E+01  0.000000E+00 -0.471085E+03
-0.224616E+04 -0.201123E+01  0.000000E+00 -0.404740E+03
-0.187797E+04 -0.418798E+01  0.000000E+00 -0.338396E+03
-0.150978E+04 -0.165848E+01  0.000000E+00 -0.272051E+03
-0.114161E+04  0.858413E+00  0.858413E+00 -0.205709E+03
-0.773421E+03 -0.113189E+01  0.000000E+00 -0.139364E+03
-0.405233E+03 -0.203411E+01  0.000000E+00 -0.730198E+02
-0.370450E+02 -0.273435E+01  0.000000E+00 -0.667521E+01
 0.331143E+03 -0.881679E+00  0.000000E+00  0.596694E+02
 0.699019E+03  0.456390E+00  0.456390E+00  0.125958E+03
 0.106636E+04 -0.106710E+01  0.000000E+00  0.192149E+03
 0.143313E+04  0.311261E+01  0.311261E+01  0.258239E+03
 0.179941E+04 -0.597299E+00  0.000000E+00  0.324239E+03
 0.216521E+04  0.121433E+01  0.121433E+01  0.390153E+03
 0.253021E+04  0.234287E+01  0.234287E+01  0.455923E+03
 0.289494E+04  0.261856E+01  0.261856E+01  0.521645E+03
 0.325900E+04  0.321842E+01  0.321842E+01  0.587246E+03
 0.362259E+04  0.148331E+01  0.148331E+01  0.652763E+03
 0.398581E+04 -0.912195E+00  0.000000E+00  0.718212E+03
 0.434841E+04 -0.331692E+00  0.000000E+00  0.783549E+03
 0.471006E+04  0.106480E+01  0.106480E+01  0.848715E+03
 0.507162E+04  0.326711E+01  0.326711E+01  0.913866E+03
 0.543246E+04 -0.176409E+01  0.000000E+00  0.978887E+03
 0.579258E+04 -0.561012E+00  0.000000E+00  0.104378E+04
 0.615229E+04  0.955209E+00  0.955209E+00  0.110859E+04
 0.651128E+04 -0.127950E+01  0.000000E+00  0.117328E+04
 0.686998E+04 -0.106730E+01  0.000000E+00  0.123792E+04
 0.722829E+04  0.188484E+01  0.188484E+01  0.130248E+04
 0.758576E+04 -0.255099E+01  0.000000E+00  0.136689E+04
 0.794301E+04  0.152738E+01  0.152738E+01  0.143127E+04
 0.829948E+04 -0.452607E+00  0.000000E+00  0.149550E+04
 0.865520E+04  0.768205E+00  0.768205E+00  0.155960E+04
 0.901019E+04  0.136187E+01  0.136187E+01  0.162357E+04
 0.936441E+04  0.702939E+00  0.702939E+00  0.168739E+04
 0.971773E+04  0.682403E+00  0.682403E+00  0.175106E+04
 0.100704E+05  0.113302E+01  0.113302E+01  0.181461E+04
 0.104222E+05 -0.748183E+00  0.000000E+00  0.187799E+04
 0.107733E+05  0.418116E+01  0.418116E+01  0.194126E+04
 0.111238E+05 -0.753942E+00  0.000000E+00  0.200443E+04
 0.114743E+05  0.197228E+01  0.197228E+01  0.206758E+04
 0.118254E+05  0.891095E+00  0.891095E+00  0.213085E+04
 0.121777E+05  0.719960E+00  0.719960E+00  0.219432E+04
 0.125322E+05 -0.315635E+00  0.000000E+00  0.225820E+04
 0.128904E+05  0.318670E+01  0.318670E+01  0.232275E+04
 0.132530E+05  0.144431E+01  0.144431E+01  0.238809E+04
 0.136212E+05  0.718790E+00  0.718790E+00  0.245444E+04
 0.139951E+05 -0.148468E+01  0.000000E+00  0.252181E+04
 0.143742E+05  0.123821E+01  0.123821E+01  0.259011E+04
