NDF v9.6h 11Sep15 rev 12Mar16 run 10/05/2026 19:45:09 Filename: 67010111.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671130.spc                                                                    
str 671130s.str                                                                   
file 671130R1.odf                                                                  
geo 671130g.geo                                                                   
element Mg   
 depth(at/cm2) element>0 element depth(nm)
-0.903238E+04 -0.219595E+01  0.000000E+00 -0.162756E+04
-0.866429E+04 -0.287184E+01  0.000000E+00 -0.156124E+04
-0.829618E+04 -0.607816E+01  0.000000E+00 -0.149491E+04
-0.792808E+04 -0.241556E+01  0.000000E+00 -0.142858E+04
-0.756000E+04  0.125933E+01  0.125933E+01 -0.136225E+04
-0.719190E+04 -0.166657E+01  0.000000E+00 -0.129592E+04
-0.682379E+04 -0.301681E+01  0.000000E+00 -0.122959E+04
-0.645569E+04 -0.407048E+01  0.000000E+00 -0.116326E+04
-0.608759E+04 -0.132377E+01  0.000000E+00 -0.109694E+04
-0.571949E+04  0.686559E+00  0.686559E+00 -0.103061E+04
-0.535139E+04 -0.160545E+01  0.000000E+00 -0.964278E+03
-0.498329E+04  0.469020E+01  0.469020E+01 -0.897949E+03
-0.461519E+04 -0.896714E+00  0.000000E+00 -0.831621E+03
-0.424709E+04  0.184102E+01  0.184102E+01 -0.765292E+03
-0.387899E+04  0.355352E+01  0.355352E+01 -0.698963E+03
-0.351090E+04  0.398834E+01  0.398834E+01 -0.632636E+03
-0.314280E+04  0.492117E+01  0.492117E+01 -0.566308E+03
-0.277470E+04  0.232236E+01  0.232236E+01 -0.499979E+03
-0.240660E+04 -0.127705E+01  0.000000E+00 -0.433650E+03
-0.203850E+04 -0.340566E+00  0.000000E+00 -0.367321E+03
-0.167040E+04  0.185890E+01  0.185890E+01 -0.300992E+03
-0.130230E+04  0.531840E+01  0.531840E+01 -0.234664E+03
-0.934196E+03 -0.226052E+01  0.000000E+00 -0.168335E+03
-0.566095E+03 -0.294728E+00  0.000000E+00 -0.102006E+03
-0.197995E+03  0.217091E+01  0.217091E+01 -0.356771E+02
 0.170093E+03 -0.112966E+01  0.000000E+00  0.306494E+02
 0.537640E+03 -0.676849E+00  0.000000E+00  0.968785E+02
 0.904739E+03  0.403366E+01  0.403366E+01  0.163027E+03
 0.127128E+04 -0.278972E+01  0.000000E+00  0.229075E+03
 0.163734E+04  0.368195E+01  0.368195E+01  0.295036E+03
 0.200293E+04  0.622372E+00  0.622372E+00  0.360913E+03
 0.236801E+04  0.259491E+01  0.259491E+01  0.426697E+03
 0.273241E+04  0.357231E+01  0.357231E+01  0.492358E+03
 0.309628E+04  0.254139E+01  0.254139E+01  0.557926E+03
 0.345970E+04  0.252023E+01  0.252023E+01  0.623411E+03
 0.382246E+04  0.325985E+01  0.325985E+01  0.688777E+03
 0.418470E+04  0.214283E+00  0.214283E+00  0.754050E+03
 0.454657E+04  0.828623E+01  0.828623E+01  0.819256E+03
 0.490784E+04  0.185412E+00  0.185412E+00  0.884353E+03
 0.526843E+04  0.472693E+01  0.472693E+01  0.949329E+03
 0.562857E+04  0.293985E+01  0.293985E+01  0.101422E+04
 0.598826E+04  0.267044E+01  0.267044E+01  0.107904E+04
 0.634726E+04  0.877025E+00  0.877025E+00  0.114373E+04
 0.670578E+04  0.718870E+01  0.718870E+01  0.120833E+04
 0.706373E+04  0.411808E+01  0.411808E+01  0.127283E+04
 0.742128E+04  0.281554E+01  0.281554E+01  0.133725E+04
 0.777829E+04 -0.153651E+01  0.000000E+00  0.140159E+04
 0.813483E+04  0.399793E+01  0.399793E+01  0.146583E+04
 0.849076E+04  0.392783E+01  0.392783E+01  0.152997E+04
 0.884623E+04 -0.178054E+01  0.000000E+00  0.159402E+04
 0.920105E+04  0.156054E+01  0.156054E+01  0.165796E+04
 0.955527E+04  0.828177E+01  0.828177E+01  0.172178E+04
 0.990920E+04  0.373669E+01  0.373669E+01  0.178556E+04
 0.102625E+05  0.731567E+01  0.731567E+01  0.184921E+04
 0.106151E+05  0.199891E+01  0.199891E+01  0.191276E+04
 0.109676E+05  0.484364E+01  0.484364E+01  0.197627E+04
 0.113190E+05 -0.876993E+00  0.000000E+00  0.203959E+04
 0.116704E+05 -0.171813E+01  0.000000E+00  0.210291E+04
 0.120210E+05  0.147491E+01  0.147491E+01  0.216609E+04
 0.123711E+05  0.422270E+01  0.422270E+01  0.222918E+04
 0.127207E+05  0.129896E+00  0.129896E+00  0.229218E+04
 0.130697E+05 -0.132752E+01  0.000000E+00  0.235506E+04
 0.134181E+05 -0.374915E+01  0.000000E+00  0.241784E+04
 0.137661E+05 -0.988321E+01  0.000000E+00  0.248055E+04
 0.141135E+05  0.406311E-01  0.406311E-01  0.254314E+04
 0.144605E+05 -0.341793E+01  0.000000E+00  0.260566E+04
 0.148068E+05 -0.234299E+01  0.000000E+00  0.266806E+04
 0.151527E+05  0.123398E+01  0.123398E+01  0.273040E+04
 0.154979E+05 -0.467512E+01  0.000000E+00  0.279261E+04
 0.158427E+05  0.890522E+01  0.890522E+01  0.285472E+04
 0.161869E+05  0.753335E+01  0.753335E+01  0.291675E+04
 0.165306E+05  0.750204E+01  0.750204E+01  0.297867E+04
 0.168735E+05  0.418225E+01  0.418225E+01  0.304047E+04
 0.172162E+05 -0.476478E+01  0.000000E+00  0.310221E+04
 0.175582E+05 -0.108887E+02  0.000000E+00  0.316385E+04
 0.178998E+05  0.811987E+01  0.811987E+01  0.322540E+04
 0.182408E+05  0.462204E+00  0.462204E+00  0.328685E+04
 0.185811E+05  0.749684E+00  0.749684E+00  0.334817E+04
 0.189212E+05 -0.768772E+01  0.000000E+00  0.340944E+04
 0.192604E+05 -0.663648E+01  0.000000E+00  0.347057E+04
 0.195994E+05 -0.764097E+01  0.000000E+00  0.353166E+04
 0.199376E+05 -0.328156E+01  0.000000E+00  0.359259E+04
 0.202753E+05  0.310611E+01  0.310611E+01  0.365345E+04
 0.206126E+05  0.505361E+01  0.505361E+01  0.371423E+04
 0.209493E+05 -0.109451E+01  0.000000E+00  0.377489E+04
