NDF v9.6h 11Sep15 rev 12Mar16 run 06/07/2026 18:07:32 Filename: 67010101.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671131.spc                                                                    
str 671131s.str                                                                   
file 671131R1.odf                                                                  
geo 671131g.geo                                                                   
element Ca   
 depth(at/cm2) element>0 element depth(nm)
-0.123054E+05  0.882003E-01  0.882003E-01 -0.234085E+04
-0.119421E+05 -0.640614E-01  0.000000E+00 -0.227174E+04
-0.115788E+05  0.272836E-01  0.272836E-01 -0.220263E+04
-0.112155E+05 -0.270054E+00  0.000000E+00 -0.213352E+04
-0.108522E+05 -0.129863E+00  0.000000E+00 -0.206441E+04
-0.104889E+05 -0.134959E+00  0.000000E+00 -0.199530E+04
-0.101256E+05  0.246547E+00  0.246547E+00 -0.192619E+04
-0.976232E+04  0.289120E+00  0.289120E+00 -0.185708E+04
-0.939902E+04 -0.391115E+00  0.000000E+00 -0.178797E+04
-0.903572E+04 -0.444057E+00  0.000000E+00 -0.171886E+04
-0.867242E+04  0.314277E-01  0.314277E-01 -0.164975E+04
-0.830912E+04  0.217734E+00  0.217734E+00 -0.158064E+04
-0.794583E+04  0.198236E-01  0.198236E-01 -0.151153E+04
-0.758252E+04 -0.825219E-01  0.000000E+00 -0.144242E+04
-0.721922E+04  0.101783E+00  0.101783E+00 -0.137331E+04
-0.685592E+04  0.472614E-01  0.472614E-01 -0.130420E+04
-0.649262E+04  0.135065E+00  0.135065E+00 -0.123509E+04
-0.612932E+04 -0.629576E-01  0.000000E+00 -0.116597E+04
-0.576602E+04 -0.232542E-01  0.000000E+00 -0.109686E+04
-0.540271E+04 -0.310396E-01  0.000000E+00 -0.102775E+04
-0.503941E+04 -0.386424E-01  0.000000E+00 -0.958643E+03
-0.467611E+04  0.237137E+00  0.237137E+00 -0.889532E+03
-0.431282E+04 -0.634978E-02  0.000000E+00 -0.820424E+03
-0.394952E+04  0.503754E+00  0.503754E+00 -0.751313E+03
-0.358622E+04  0.401914E+00  0.401914E+00 -0.682203E+03
-0.322291E+04  0.441493E+00  0.441493E+00 -0.613092E+03
-0.285961E+04  0.761915E+00  0.761915E+00 -0.543981E+03
-0.249631E+04  0.847531E+00  0.847531E+00 -0.474871E+03
-0.213301E+04  0.150234E+01  0.150234E+01 -0.405760E+03
-0.176971E+04  0.141857E+01  0.141857E+01 -0.336650E+03
