NDF v9.6h 11Sep15 rev 12Mar16 run 13/05/2026 16:37:05 Filename: 671p01.dat   Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671132.spc                                                                    
str 671132s.str                                                                   
molecules 17
  2.014 Ca                                                                                                                                  
  4.302 O                                                                                                                                   
 11.364 C                                                                                                                                   
  2.541 Na                                                                                                                                  
  4.302 Mg                                                                                                                                  
  6.023 Al                                                                                                                                  
  8.483 Fe                                                                                                                                  
  1.787 Sr                                                                                                                                  
  4.977 Si                                                                                                                                  
  3.220 Cl                                                                                                                                  
  1.329 K                                                                                                                                   
  5.682 Ti                                                                                                                                  
  7.213 V                                                                                                                                   
  8.150 Mn                                                                                                                                  
  9.125 Ni                                                                                                                                  
  8.483 Cu                                                                                                                                  
  6.546 Zn                                                                                                                                  
total_thick(1e15at/cm2) ...molecules... total_thick(nm) r(1e22at/cm3) total_thick(ug/cm2)
 0.000000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.5672E+01  0.0000E+00
 0.100000E-05  0.1408E+02  0.5343E+02  0.2373E+02  0.2136E+01  0.3112E+01  0.3017E+01  0.1276E+00  0.2010E-01  0.1609E+00  0.9055E-01  0.9055E-01  0.3116E-02  0.3930E-03  0.5025E-03  0.9146E-02  0.1005E-02  0.1005E-02  0.0000E+00  0.5672E+01  0.0000E+00
 0.593394E+05  0.1408E+02  0.5343E+02  0.2373E+02  0.2136E+01  0.3112E+01  0.3017E+01  0.1276E+00  0.2010E-01  0.1609E+00  0.9055E-01  0.9055E-01  0.3116E-02  0.3930E-03  0.5025E-03  0.9146E-02  0.1005E-02  0.1005E-02  0.1046E+05  0.5672E+01  0.1903E+04
 0.593399E+05  0.2789E+02  0.3393E+02  0.3046E+02  0.0000E+00  0.0000E+00  0.7708E+01  0.0000E+00  0.0000E+00  0.9999E-03  0.9999E-03  0.9999E-03  0.9999E-03  0.9999E-03  0.0000E+00  0.9999E-03  0.9999E-03  0.9999E-03  0.1046E+05  0.5948E+01  0.1903E+04
 0.604946E+05  0.2789E+02  0.3393E+02  0.3046E+02  0.0000E+00  0.0000E+00  0.7708E+01  0.0000E+00  0.0000E+00  0.9999E-03  0.9999E-03  0.9999E-03  0.9999E-03  0.9999E-03  0.0000E+00  0.9999E-03  0.9999E-03  0.9999E-03  0.1066E+05  0.5948E+01  0.1946E+04
 0.604953E+05  0.2945E+02  0.2792E+02  0.2228E+01  0.1029E+01  0.3882E+02  0.5533E+00  0.0000E+00  0.0000E+00  0.9999E-03  0.9999E-03  0.9999E-03  0.9999E-03  0.9999E-03  0.0000E+00  0.9999E-03  0.9999E-03  0.9999E-03  0.1066E+05  0.3777E+01  0.1946E+04
 0.605153E+05  0.2945E+02  0.2792E+02  0.2228E+01  0.1029E+01  0.3882E+02  0.5533E+00  0.0000E+00  0.0000E+00  0.9999E-03  0.9999E-03  0.9999E-03  0.9999E-03  0.9999E-03  0.0000E+00  0.9999E-03  0.9999E-03  0.9999E-03  0.1066E+05  0.3777E+01  0.1947E+04
 0.605159E+05  0.2877E+02  0.2555E+02  0.1021E+02  0.8062E+01  0.2541E+02  0.1991E+01  0.0000E+00  0.0000E+00  0.9999E-03  0.9999E-03  0.9999E-03  0.9999E-03  0.9999E-03  0.0000E+00  0.0000E+00  0.9999E-03  0.9999E-03  0.1066E+05  0.4257E+01  0.1947E+04
 0.605625E+05  0.2877E+02  0.2555E+02  0.1021E+02  0.8062E+01  0.2541E+02  0.1991E+01  0.0000E+00  0.0000E+00  0.9999E-03  0.9999E-03  0.9999E-03  0.9999E-03  0.9999E-03  0.0000E+00  0.0000E+00  0.9999E-03  0.9999E-03  0.1067E+05  0.4257E+01  0.1949E+04
 0.605631E+05  0.3504E+00  0.4546E+02  0.3964E+02  0.4034E+00  0.1140E+00  0.1402E+02  0.0000E+00  0.0000E+00  0.9999E-03  0.9999E-03  0.9999E-03  0.9999E-03  0.9999E-03  0.0000E+00  0.0000E+00  0.9999E-03  0.9999E-03  0.1067E+05  0.7328E+01  0.1949E+04
