NDF v9.6h 11Sep15 rev 12Mar16 run 01/05/2026 16:04:02 Filename: 67010108.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671134.spc                                                                    
str 671134s.str                                                                   
file 671134R1.odf                                                                  
geo 671134g.geo                                                                   
element Ba   
 depth(at/cm2) element>0 element depth(nm)
-0.696540E+04  0.494104E-01  0.494104E-01 -0.172542E+04
-0.668311E+04 -0.882114E-02  0.000000E+00 -0.165549E+04
-0.640082E+04  0.148935E-01  0.148935E-01 -0.158556E+04
-0.611853E+04  0.137676E+00  0.137676E+00 -0.151563E+04
-0.583623E+04  0.380698E-01  0.380698E-01 -0.144571E+04
-0.555395E+04 -0.329079E-01  0.000000E+00 -0.137578E+04
-0.527166E+04  0.157564E+00  0.157564E+00 -0.130585E+04
-0.498936E+04 -0.119166E-01  0.000000E+00 -0.123593E+04
-0.470707E+04 -0.431763E-01  0.000000E+00 -0.116600E+04
-0.442478E+04 -0.293086E-01  0.000000E+00 -0.109607E+04
-0.414248E+04 -0.731954E-01  0.000000E+00 -0.102614E+04
-0.386019E+04 -0.536187E-01  0.000000E+00 -0.956217E+03
-0.357790E+04  0.552364E-01  0.552364E-01 -0.886289E+03
-0.329561E+04 -0.228416E-01  0.000000E+00 -0.816362E+03
-0.301331E+04  0.426403E+00  0.426403E+00 -0.746434E+03
-0.273103E+04  0.415311E+00  0.415311E+00 -0.676509E+03
-0.244874E+04  0.521488E+00  0.521488E+00 -0.606582E+03
-0.216644E+04  0.766241E+00  0.766241E+00 -0.536655E+03
-0.188415E+04  0.139382E+01  0.139382E+01 -0.466727E+03
-0.160186E+04  0.203120E+01  0.203120E+01 -0.396800E+03
-0.131956E+04  0.293605E+01  0.293605E+01 -0.326872E+03
-0.103727E+04  0.369818E+01  0.369818E+01 -0.256945E+03
-0.754979E+03  0.511975E+01  0.511975E+01 -0.187018E+03
-0.472686E+03  0.587592E+01  0.587592E+01 -0.117090E+03
-0.190393E+03  0.674284E+01  0.674284E+01 -0.471627E+02
 0.918900E+02  0.734359E+01  0.734359E+01  0.227623E+02
 0.374031E+03  0.760722E+01  0.760722E+01  0.926521E+02
 0.655833E+03  0.862869E+01  0.862869E+01  0.162458E+03
 0.937212E+03  0.908720E+01  0.908720E+01  0.232159E+03
 0.121829E+04  0.883007E+01  0.883007E+01  0.301786E+03
 0.149908E+04  0.963359E+01  0.963359E+01  0.371341E+03
 0.177942E+04  0.960226E+01  0.960226E+01  0.440783E+03
 0.205954E+04  0.922835E+01  0.922835E+01  0.510174E+03
 0.233925E+04  0.966570E+01  0.966570E+01  0.579461E+03
 0.261853E+04  0.963515E+01  0.963515E+01  0.648642E+03
 0.289747E+04  0.997399E+01  0.997399E+01  0.717739E+03
 0.317614E+04  0.102418E+02  0.102418E+02  0.786768E+03
 0.345437E+04  0.964402E+01  0.964402E+01  0.855689E+03
 0.373238E+04  0.102076E+02  0.102076E+02  0.924557E+03
 0.400994E+04  0.100873E+02  0.100873E+02  0.993312E+03
 0.428708E+04  0.100588E+02  0.100588E+02  0.106196E+04
 0.456403E+04  0.969644E+01  0.969644E+01  0.113057E+04
 0.484050E+04  0.976822E+01  0.976822E+01  0.119905E+04
 0.511666E+04  0.105343E+02  0.105343E+02  0.126746E+04
 0.539245E+04  0.943008E+01  0.943008E+01  0.133578E+04
 0.566798E+04  0.101124E+02  0.101124E+02  0.140403E+04
 0.594314E+04  0.101792E+02  0.101792E+02  0.147219E+04
 0.621793E+04  0.984554E+01  0.984554E+01  0.154026E+04
 0.649230E+04  0.979101E+01  0.979101E+01  0.160822E+04
 0.676629E+04  0.961587E+01  0.961587E+01  0.167609E+04
 0.704002E+04  0.972627E+01  0.972627E+01  0.174390E+04
 0.731336E+04  0.105055E+02  0.105055E+02  0.181161E+04
 0.758634E+04  0.101455E+02  0.101455E+02  0.187923E+04
 0.785891E+04  0.101569E+02  0.101569E+02  0.194675E+04
 0.813104E+04  0.106731E+02  0.106731E+02  0.201416E+04
 0.840311E+04  0.970875E+01  0.970875E+01  0.208155E+04
 0.867483E+04  0.995297E+01  0.995297E+01  0.214886E+04
 0.894599E+04  0.105208E+02  0.105208E+02  0.221603E+04
 0.921693E+04  0.100144E+02  0.100144E+02  0.228315E+04
