NDF v9.6h 11Sep15 rev 12Mar16 run 01/05/2026 16:04:02 Filename: 67010111.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671134.spc                                                                    
str 671134s.str                                                                   
file 671134R1.odf                                                                  
geo 671134g.geo                                                                   
element Ce   
 depth(at/cm2) element>0 element depth(nm)
-0.688762E+04  0.460434E-01  0.460434E-01 -0.170615E+04
-0.660527E+04 -0.822003E-02  0.000000E+00 -0.163621E+04
-0.632291E+04  0.138786E-01  0.138786E-01 -0.156626E+04
-0.604055E+04  0.128294E+00  0.128294E+00 -0.149632E+04
-0.575819E+04  0.354755E-01  0.354755E-01 -0.142638E+04
-0.547585E+04 -0.306654E-01  0.000000E+00 -0.135643E+04
-0.519349E+04  0.146824E+00  0.146824E+00 -0.128649E+04
-0.491113E+04 -0.111162E-01  0.000000E+00 -0.121655E+04
-0.462878E+04 -0.402843E-01  0.000000E+00 -0.114660E+04
-0.434642E+04 -0.274898E-01  0.000000E+00 -0.107666E+04
-0.406406E+04 -0.687728E-01  0.000000E+00 -0.100672E+04
-0.378170E+04 -0.516262E-01  0.000000E+00 -0.936774E+03
-0.349935E+04  0.469284E-01  0.469284E-01 -0.866831E+03
-0.321699E+04 -0.328664E-01  0.000000E+00 -0.796888E+03
-0.293463E+04  0.369824E+00  0.369824E+00 -0.726944E+03
-0.265228E+04  0.325963E+00  0.325963E+00 -0.657003E+03
-0.236993E+04  0.359450E+00  0.359450E+00 -0.587060E+03
-0.208757E+04  0.468854E+00  0.468854E+00 -0.517117E+03
-0.180521E+04  0.853942E+00  0.853942E+00 -0.447173E+03
-0.152286E+04  0.113579E+01  0.113579E+01 -0.377230E+03
-0.124050E+04  0.152624E+01  0.152624E+01 -0.307287E+03
-0.958141E+03  0.162668E+01  0.162668E+01 -0.237343E+03
-0.675784E+03  0.218903E+01  0.218903E+01 -0.167400E+03
-0.393426E+03  0.200891E+01  0.200891E+01 -0.974565E+02
-0.111069E+03  0.186368E+01  0.186368E+01 -0.275132E+02
 0.171278E+03  0.147592E+01  0.147592E+01  0.424277E+02
 0.453278E+03  0.836098E+00  0.836098E+00  0.112282E+03
 0.734937E+03  0.101966E+01  0.101966E+01  0.182053E+03
 0.101625E+04  0.828314E+00  0.828314E+00  0.251737E+03
 0.129723E+04  0.131232E+00  0.131232E+00  0.321339E+03
 0.157788E+04  0.565349E+00  0.565349E+00  0.390860E+03
 0.185827E+04  0.329700E+00  0.329700E+00  0.460315E+03
 0.213813E+04 -0.135151E+00  0.000000E+00  0.529640E+03
 0.241775E+04  0.203832E+00  0.203832E+00  0.598906E+03
 0.269691E+04  0.138845E+00  0.138845E+00  0.668057E+03
 0.297590E+04  0.438432E+00  0.438432E+00  0.737166E+03
 0.325432E+04  0.684149E+00  0.684149E+00  0.806134E+03
 0.353245E+04  0.120678E+00  0.120678E+00  0.875032E+03
 0.381033E+04  0.649489E+00  0.649489E+00  0.943865E+03
 0.408783E+04  0.533603E+00  0.533603E+00  0.101260E+04
 0.436505E+04  0.504432E+00  0.504432E+00  0.108128E+04
 0.464166E+04  0.172560E+00  0.172560E+00  0.114979E+04
 0.491815E+04  0.235084E+00  0.235084E+00  0.121829E+04
 0.519428E+04  0.950764E+00  0.950764E+00  0.128669E+04
 0.546995E+04 -0.792814E-01  0.000000E+00  0.135497E+04
 0.574527E+04  0.559995E+00  0.559995E+00  0.142317E+04
 0.602035E+04  0.621103E+00  0.621103E+00  0.149131E+04
 0.629502E+04  0.309113E+00  0.309113E+00  0.155935E+04
 0.656919E+04  0.256302E+00  0.256302E+00  0.162727E+04
 0.684320E+04  0.914641E-01  0.914641E-01  0.169514E+04
 0.711679E+04  0.197926E+00  0.197926E+00  0.176292E+04
 0.739014E+04  0.922787E+00  0.922787E+00  0.183063E+04
 0.766296E+04  0.587571E+00  0.587571E+00  0.189821E+04
 0.793545E+04  0.596287E+00  0.596287E+00  0.196571E+04
