NDF v9.6h 11Sep15 rev 12Mar16 run 01/05/2026 17:58:20 Filename: 67010110.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671135.spc                                                                    
str 671135s.str                                                                   
file 671135R1.odf                                                                  
geo 671135g.geo                                                                   
element As   
 depth(at/cm2) element>0 element depth(nm)
-0.720751E+04  0.227145E-01  0.227145E-01 -0.144587E+04
-0.691095E+04 -0.243838E-01  0.000000E+00 -0.138637E+04
-0.661439E+04  0.386112E-01  0.386112E-01 -0.132688E+04
-0.631784E+04 -0.129133E+00  0.000000E+00 -0.126739E+04
-0.602128E+04 -0.880175E-01  0.000000E+00 -0.120790E+04
-0.572473E+04 -0.318335E-02  0.000000E+00 -0.114841E+04
-0.542817E+04 -0.278880E-01  0.000000E+00 -0.108892E+04
-0.513161E+04  0.100239E+00  0.100239E+00 -0.102943E+04
-0.483505E+04 -0.138700E-02  0.000000E+00 -0.969937E+03
-0.453849E+04  0.549839E-02  0.549839E-02 -0.910445E+03
-0.424193E+04  0.120962E+00  0.120962E+00 -0.850954E+03
-0.394537E+04 -0.675994E-01  0.000000E+00 -0.791463E+03
-0.364881E+04 -0.611097E-01  0.000000E+00 -0.731971E+03
-0.335226E+04 -0.227072E-01  0.000000E+00 -0.672482E+03
-0.305570E+04 -0.494883E-01  0.000000E+00 -0.612991E+03
-0.275914E+04 -0.445570E-01  0.000000E+00 -0.553499E+03
-0.246258E+04  0.775150E-01  0.775150E-01 -0.494008E+03
-0.216603E+04  0.240780E-01  0.240780E-01 -0.434516E+03
-0.186947E+04  0.209888E+00  0.209888E+00 -0.375025E+03
-0.157291E+04  0.101459E+00  0.101459E+00 -0.315534E+03
-0.127635E+04  0.267602E+00  0.267602E+00 -0.256042E+03
-0.979789E+03  0.495130E+00  0.495130E+00 -0.196551E+03
-0.683230E+03  0.572511E+00  0.572511E+00 -0.137060E+03
-0.386670E+03  0.541426E+00  0.541426E+00 -0.775682E+02
-0.901215E+02  0.967890E+00  0.967890E+00 -0.180789E+02
 0.206438E+03  0.127629E+01  0.127629E+01  0.414125E+02
 0.502696E+03  0.981040E+00  0.981040E+00  0.100844E+03
 0.798522E+03  0.113171E+01  0.113171E+01  0.160188E+03
 0.109401E+04  0.124777E+01  0.124777E+01  0.219465E+03
 0.138913E+04  0.921014E+00  0.921014E+00  0.278667E+03
 0.168390E+04  0.992608E+00  0.992608E+00  0.337799E+03
 0.197826E+04  0.557642E+00  0.557642E+00  0.396851E+03
 0.227219E+04  0.576274E+00  0.576274E+00  0.455813E+03
 0.256580E+04  0.530670E+00  0.530670E+00  0.514713E+03
 0.285911E+04 -0.573513E+00  0.000000E+00  0.573553E+03
 0.315193E+04 -0.489481E+00  0.000000E+00  0.632295E+03
 0.344440E+04 -0.345306E+00  0.000000E+00  0.690966E+03
 0.373649E+04  0.124981E+00  0.124981E+00  0.749561E+03
 0.402829E+04 -0.930356E+00  0.000000E+00  0.808098E+03
 0.431966E+04 -0.756055E+00  0.000000E+00  0.866547E+03
 0.461050E+04  0.456980E-01  0.456980E-01  0.924891E+03
 0.490116E+04 -0.483717E+00  0.000000E+00  0.983200E+03
 0.519142E+04 -0.613199E+00  0.000000E+00  0.104143E+04
 0.548124E+04  0.272797E+00  0.272797E+00  0.109957E+04
 0.577081E+04  0.767297E-02  0.767297E-02  0.115766E+04
 0.605985E+04  0.508488E+00  0.508488E+00  0.121564E+04
 0.634868E+04  0.423399E+00  0.423399E+00  0.127358E+04
 0.663683E+04  0.321804E+00  0.321804E+00  0.133138E+04
 0.692478E+04 -0.684872E-01  0.000000E+00  0.138915E+04
 0.721246E+04  0.343672E+00  0.343672E+00  0.144686E+04
 0.749954E+04  0.177625E+00  0.177625E+00  0.150445E+04
 0.778642E+04  0.660901E+00  0.660901E+00  0.156200E+04
 0.807295E+04 -0.261248E-01  0.000000E+00  0.161948E+04
 0.835902E+04 -0.288249E+00  0.000000E+00  0.167686E+04
 0.864471E+04 -0.600075E+00  0.000000E+00  0.173418E+04
 0.892998E+04 -0.889457E+00  0.000000E+00  0.179140E+04
 0.921495E+04 -0.134518E+01  0.000000E+00  0.184857E+04
 0.949944E+04 -0.669159E+00  0.000000E+00  0.190564E+04
 0.978373E+04  0.402466E+00  0.402466E+00  0.196267E+04
 0.100675E+05 -0.467039E+00  0.000000E+00  0.201959E+04
 0.103509E+05 -0.178873E+01  0.000000E+00  0.207644E+04
 0.106340E+05 -0.710020E+00  0.000000E+00  0.213324E+04
 0.109167E+05 -0.109397E+01  0.000000E+00  0.218995E+04
 0.111990E+05 -0.109318E+01  0.000000E+00  0.224658E+04
 0.114807E+05 -0.982503E+00  0.000000E+00  0.230310E+04
 0.117622E+05 -0.771414E+00  0.000000E+00  0.235957E+04
 0.120435E+05 -0.522080E+00  0.000000E+00  0.241600E+04
 0.123242E+05 -0.544451E+00  0.000000E+00  0.247231E+04
 0.126046E+05 -0.103896E+01  0.000000E+00  0.252855E+04
 0.128846E+05 -0.822105E+00  0.000000E+00  0.258472E+04
 0.131643E+05 -0.154014E+01  0.000000E+00  0.264083E+04
 0.134434E+05  0.243746E-01  0.243746E-01  0.269681E+04
 0.137225E+05  0.223742E+00  0.223742E+00  0.275281E+04
 0.140008E+05 -0.312200E+00  0.000000E+00  0.280865E+04
 0.142789E+05  0.623615E-01  0.623615E-01  0.286442E+04
 0.145565E+05 -0.266363E+00  0.000000E+00  0.292011E+04
 0.148339E+05 -0.721065E-01  0.000000E+00  0.297576E+04
 0.151109E+05 -0.113539E+01  0.000000E+00  0.303132E+04
 0.153874E+05 -0.482909E+00  0.000000E+00  0.308680E+04
 0.156638E+05 -0.145865E+00  0.000000E+00  0.314224E+04
 0.159395E+05 -0.177262E+00  0.000000E+00  0.319755E+04
 0.162148E+05 -0.322358E-01  0.000000E+00  0.325278E+04
 0.164897E+05  0.237241E+00  0.237241E+00  0.330792E+04
 0.167645E+05 -0.686572E+00  0.000000E+00  0.336306E+04
 0.170389E+05  0.280703E+00  0.280703E+00  0.341809E+04
 0.173127E+05 -0.530509E+00  0.000000E+00  0.347301E+04
 0.175861E+05 -0.326938E+00  0.000000E+00  0.352787E+04
 0.178593E+05  0.295422E+00  0.295422E+00  0.358267E+04
 0.181321E+05 -0.396688E+00  0.000000E+00  0.363739E+04
 0.184043E+05 -0.928592E+00  0.000000E+00  0.369200E+04
 0.186764E+05  0.206728E+00  0.206728E+00  0.374659E+04
