NDF v9.6h 11Sep15 rev 12Mar16 run 01/05/2026 17:05:16 Filename: 67010106.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671136.spc                                                                    
str 671136s.str                                                                   
file 671136R1.odf                                                                  
geo 671136g.geo                                                                   
element Fe   
 depth(at/cm2) element>0 element depth(nm)
-0.949116E+04 -0.207562E+00  0.000000E+00 -0.182368E+04
-0.921105E+04  0.915173E-02  0.915173E-02 -0.176985E+04
-0.893094E+04  0.269485E-01  0.269485E-01 -0.171603E+04
-0.865082E+04  0.340826E+00  0.340826E+00 -0.166221E+04
-0.837072E+04 -0.184038E+00  0.000000E+00 -0.160839E+04
-0.809060E+04  0.535930E-02  0.535930E-02 -0.155457E+04
-0.781049E+04 -0.523294E-01  0.000000E+00 -0.150075E+04
-0.753038E+04 -0.608114E-01  0.000000E+00 -0.144692E+04
-0.725026E+04 -0.938149E-01  0.000000E+00 -0.139310E+04
-0.697015E+04 -0.773247E-01  0.000000E+00 -0.133928E+04
-0.669004E+04 -0.117007E-01  0.000000E+00 -0.128546E+04
-0.640992E+04  0.345766E+00  0.345766E+00 -0.123163E+04
-0.612981E+04  0.311658E+00  0.311658E+00 -0.117781E+04
-0.584970E+04  0.176018E+00  0.176018E+00 -0.112399E+04
-0.556959E+04 -0.207966E+00  0.000000E+00 -0.107017E+04
-0.528948E+04  0.129728E+00  0.129728E+00 -0.101635E+04
-0.500937E+04 -0.197835E+00  0.000000E+00 -0.962524E+03
-0.472925E+04  0.858057E-01  0.858057E-01 -0.908701E+03
-0.444914E+04 -0.286535E+00  0.000000E+00 -0.854879E+03
-0.416903E+04  0.215418E+00  0.215418E+00 -0.801057E+03
-0.388891E+04 -0.546087E+00  0.000000E+00 -0.747234E+03
-0.360880E+04 -0.589937E+00  0.000000E+00 -0.693412E+03
-0.332869E+04 -0.397590E+00  0.000000E+00 -0.639590E+03
-0.304857E+04 -0.378438E+00  0.000000E+00 -0.585767E+03
-0.276846E+04 -0.140936E+01  0.000000E+00 -0.531945E+03
-0.248836E+04 -0.856399E+00  0.000000E+00 -0.478125E+03
-0.220824E+04 -0.344172E+00  0.000000E+00 -0.424302E+03
-0.192813E+04 -0.273958E+00  0.000000E+00 -0.370480E+03
-0.164802E+04 -0.423262E+00  0.000000E+00 -0.316658E+03
-0.136790E+04  0.263103E+00  0.263103E+00 -0.262835E+03
-0.108779E+04  0.161713E+01  0.161713E+01 -0.209013E+03
-0.807675E+03  0.326767E+01  0.326767E+01 -0.155191E+03
-0.527562E+03  0.372398E+01  0.372398E+01 -0.101368E+03
-0.247448E+03  0.485678E+01  0.485678E+01 -0.475459E+02
 0.326652E+02  0.651291E+01  0.651291E+01  0.627644E+01
 0.312640E+03  0.686516E+01  0.686516E+01  0.600721E+02
 0.592169E+03  0.957492E+01  0.957492E+01  0.113782E+03
 0.871418E+03  0.864074E+01  0.864074E+01  0.167438E+03
 0.115027E+04  0.724548E+01  0.724548E+01  0.221019E+03
 0.142886E+04  0.103424E+02  0.103424E+02  0.274549E+03
 0.170704E+04  0.100123E+02  0.100123E+02  0.327999E+03
 0.198491E+04  0.108410E+02  0.108410E+02  0.381389E+03
 0.226225E+04  0.107371E+02  0.107371E+02  0.434679E+03
 0.253935E+04  0.117390E+02  0.117390E+02  0.487923E+03
 0.281606E+04  0.129146E+02  0.129146E+02  0.541092E+03
 0.309239E+04  0.102187E+02  0.102187E+02  0.594187E+03
 0.336844E+04  0.108983E+02  0.108983E+02  0.647229E+03
 0.364403E+04  0.106201E+02  0.106201E+02  0.700181E+03
 0.391940E+04  0.127931E+02  0.127931E+02  0.753093E+03
 0.419423E+04  0.118081E+02  0.118081E+02  0.805900E+03
 0.446885E+04  0.134908E+02  0.134908E+02  0.858667E+03
 0.474309E+04  0.112291E+02  0.112291E+02  0.911360E+03
 0.501682E+04  0.119516E+02  0.119516E+02  0.963955E+03
 0.529037E+04  0.113807E+02  0.113807E+02  0.101652E+04
 0.556352E+04  0.119717E+02  0.119717E+02  0.106900E+04
 0.583628E+04  0.119394E+02  0.119394E+02  0.112141E+04
 0.610877E+04  0.101332E+02  0.101332E+02  0.117377E+04
 0.638070E+04  0.119745E+02  0.119745E+02  0.122602E+04
 0.665236E+04  0.112627E+02  0.112627E+02  0.127822E+04
 0.692348E+04  0.124034E+02  0.124034E+02  0.133031E+04
 0.719453E+04  0.111511E+02  0.111511E+02  0.138239E+04
 0.746512E+04  0.101382E+02  0.101382E+02  0.143438E+04
 0.773545E+04  0.101299E+02  0.101299E+02  0.148633E+04
 0.800532E+04  0.105950E+02  0.105950E+02  0.153818E+04
 0.827464E+04  0.111093E+02  0.111093E+02  0.158993E+04
 0.854380E+04  0.105445E+02  0.105445E+02  0.164165E+04
 0.881254E+04  0.103122E+02  0.103122E+02  0.169328E+04
 0.908102E+04  0.113360E+02  0.113360E+02  0.174487E+04
 0.934905E+04  0.118863E+02  0.118863E+02  0.179637E+04
 0.961675E+04  0.105629E+02  0.105629E+02  0.184781E+04
 0.988399E+04  0.103680E+02  0.103680E+02  0.189916E+04
