NDF v9.6h 11Sep15 rev 12Mar16 run 01/05/2026 17:05:16 Filename: 67010111.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671136.spc                                                                    
str 671136s.str                                                                   
file 671136R1.odf                                                                  
geo 671136g.geo                                                                   
element Rb   
 depth(at/cm2) element>0 element depth(nm)
-0.928400E+04 -0.334643E-01  0.000000E+00 -0.178387E+04
-0.900412E+04 -0.487223E-01  0.000000E+00 -0.173009E+04
-0.872423E+04 -0.100568E+00  0.000000E+00 -0.167632E+04
-0.844435E+04  0.550200E-01  0.550200E-01 -0.162254E+04
-0.816446E+04 -0.888731E-02  0.000000E+00 -0.156876E+04
-0.788458E+04 -0.603348E-01  0.000000E+00 -0.151498E+04
-0.760470E+04 -0.266605E-01  0.000000E+00 -0.146120E+04
-0.732481E+04 -0.520939E-02  0.000000E+00 -0.140742E+04
-0.704493E+04 -0.322417E-01  0.000000E+00 -0.135365E+04
-0.676504E+04 -0.229622E-01  0.000000E+00 -0.129987E+04
-0.648516E+04  0.118988E+00  0.118988E+00 -0.124609E+04
-0.620527E+04 -0.100849E+00  0.000000E+00 -0.119231E+04
-0.592539E+04  0.444661E-02  0.444661E-02 -0.113853E+04
-0.564550E+04  0.130934E-01  0.130934E-01 -0.108475E+04
-0.536562E+04  0.165594E+00  0.165594E+00 -0.103097E+04
-0.508574E+04 -0.894145E-01  0.000000E+00 -0.977198E+03
-0.480585E+04  0.260513E-02  0.260513E-02 -0.923420E+03
-0.452597E+04 -0.254209E-01  0.000000E+00 -0.869641E+03
-0.424608E+04 -0.295389E-01  0.000000E+00 -0.815863E+03
-0.396620E+04 -0.455673E-01  0.000000E+00 -0.762084E+03
-0.368631E+04 -0.375471E-01  0.000000E+00 -0.708306E+03
-0.340643E+04 -0.565335E-02  0.000000E+00 -0.654527E+03
-0.312654E+04  0.168024E+00  0.168024E+00 -0.600749E+03
-0.284666E+04  0.151467E+00  0.151467E+00 -0.546970E+03
-0.256677E+04  0.855687E-01  0.855687E-01 -0.493192E+03
-0.228690E+04 -0.101027E+00  0.000000E+00 -0.439415E+03
-0.200701E+04  0.628199E-01  0.628199E-01 -0.385636E+03
-0.172712E+04 -0.968337E-01  0.000000E+00 -0.331858E+03
-0.144724E+04  0.397412E-01  0.397412E-01 -0.278079E+03
-0.116735E+04 -0.143679E+00  0.000000E+00 -0.224301E+03
-0.887468E+03  0.951454E-01  0.951454E-01 -0.170522E+03
-0.607582E+03 -0.284072E+00  0.000000E+00 -0.116744E+03
-0.327697E+03 -0.321826E+00  0.000000E+00 -0.629653E+02
-0.478116E+02 -0.256144E+00  0.000000E+00 -0.918675E+01
 0.232074E+03 -0.291286E+00  0.000000E+00  0.445918E+02
 0.511734E+03 -0.861183E+00  0.000000E+00  0.983271E+02
 0.790936E+03 -0.695743E+00  0.000000E+00  0.151974E+03
 0.106982E+04 -0.591842E+00  0.000000E+00  0.205561E+03
 0.134844E+04 -0.754709E+00  0.000000E+00  0.259096E+03
 0.162663E+04 -0.108463E+01  0.000000E+00  0.312549E+03
 0.190444E+04 -0.106984E+01  0.000000E+00  0.365927E+03
 0.218195E+04 -0.789992E+00  0.000000E+00  0.419251E+03
 0.245911E+04 -0.419678E+00  0.000000E+00  0.472506E+03
 0.273581E+04 -0.677070E+00  0.000000E+00  0.525672E+03
 0.301229E+04 -0.626988E+00  0.000000E+00  0.578796E+03
 0.328840E+04 -0.320306E+00  0.000000E+00  0.631850E+03
 0.356405E+04 -0.642346E+00  0.000000E+00  0.684813E+03
 0.383947E+04  0.229552E+00  0.229552E+00  0.737734E+03
 0.411451E+04 -0.640515E+00  0.000000E+00  0.790581E+03
 0.438917E+04 -0.167916E+01  0.000000E+00  0.843357E+03
 0.466353E+04 -0.438119E+00  0.000000E+00  0.896073E+03
 0.493740E+04 -0.826668E+00  0.000000E+00  0.948696E+03
 0.521112E+04 -0.585693E+00  0.000000E+00  0.100129E+04
 0.548437E+04 -0.761723E+00  0.000000E+00  0.105379E+04
 0.575725E+04 -0.349657E+00  0.000000E+00  0.110622E+04
 0.602984E+04  0.173431E+00  0.173431E+00  0.115860E+04
 0.630195E+04 -0.119119E+01  0.000000E+00  0.121089E+04
 0.657385E+04 -0.875754E+00  0.000000E+00  0.126313E+04
 0.684516E+04 -0.102843E+01  0.000000E+00  0.131526E+04
 0.711643E+04  0.389230E-01  0.389230E-01  0.136739E+04
 0.738697E+04 -0.454879E+00  0.000000E+00  0.141937E+04
 0.765742E+04  0.376149E+00  0.376149E+00  0.147133E+04
 0.792766E+04 -0.739516E+00  0.000000E+00  0.152326E+04
 0.819736E+04 -0.387530E+00  0.000000E+00  0.157508E+04
 0.846675E+04 -0.664751E+00  0.000000E+00  0.162684E+04
 0.873558E+04 -0.374600E+00  0.000000E+00  0.167850E+04
 0.900430E+04 -0.390415E+00  0.000000E+00  0.173013E+04
 0.927257E+04 -0.127868E+01  0.000000E+00  0.178168E+04
 0.954052E+04 -0.375139E+00  0.000000E+00  0.183316E+04
 0.980781E+04 -0.724388E+00  0.000000E+00  0.188452E+04
 0.100750E+05 -0.165457E+00  0.000000E+00  0.193587E+04
 0.103421E+05 -0.775575E+00  0.000000E+00  0.198718E+04
 0.106086E+05 -0.127723E+01  0.000000E+00  0.203838E+04
 0.108748E+05 -0.127898E+01  0.000000E+00  0.208954E+04
 0.111405E+05 -0.105237E+01  0.000000E+00  0.214059E+04
 0.114059E+05 -0.802837E+00  0.000000E+00  0.219159E+04
 0.116710E+05 -0.107681E+01  0.000000E+00  0.224252E+04
 0.119356E+05 -0.119283E+01  0.000000E+00  0.229337E+04
 0.121998E+05 -0.686623E+00  0.000000E+00  0.234412E+04
 0.124639E+05 -0.416283E+00  0.000000E+00  0.239488E+04
 0.127275E+05 -0.106829E+01  0.000000E+00  0.244553E+04
 0.129908E+05 -0.116630E+01  0.000000E+00  0.249611E+04
 0.132537E+05 -0.395291E+00  0.000000E+00  0.254662E+04
 0.135163E+05  0.173622E+00  0.173622E+00  0.259709E+04
 0.137785E+05  0.213793E+00  0.213793E+00  0.264747E+04
 0.140403E+05 -0.918473E+00  0.000000E+00  0.269778E+04
 0.143018E+05  0.195960E-02  0.195960E-02  0.274802E+04
 0.145629E+05 -0.649677E+00  0.000000E+00  0.279818E+04
