NDF v9.6h 11Sep15 rev 12Mar16 run 01/05/2026 17:05:16 Filename: 67010112.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671136.spc                                                                    
str 671136s.str                                                                   
file 671136R1.odf                                                                  
geo 671136g.geo                                                                   
element Se   
 depth(at/cm2) element>0 element depth(nm)
-0.923866E+04 -0.119392E+00  0.000000E+00 -0.177516E+04
-0.895876E+04  0.653183E-01  0.653183E-01 -0.172138E+04
-0.867887E+04 -0.105508E-01  0.000000E+00 -0.166760E+04
-0.839898E+04 -0.716283E-01  0.000000E+00 -0.161382E+04
-0.811908E+04 -0.316509E-01  0.000000E+00 -0.156004E+04
-0.783919E+04 -0.618452E-02  0.000000E+00 -0.150626E+04
-0.755929E+04 -0.382770E-01  0.000000E+00 -0.145248E+04
-0.727940E+04 -0.272604E-01  0.000000E+00 -0.139870E+04
-0.699950E+04  0.141262E+00  0.141262E+00 -0.134492E+04
-0.671961E+04 -0.119727E+00  0.000000E+00 -0.129114E+04
-0.643971E+04  0.527895E-02  0.527895E-02 -0.123736E+04
-0.615982E+04  0.155443E-01  0.155443E-01 -0.118358E+04
-0.587992E+04  0.196593E+00  0.196593E+00 -0.112980E+04
-0.560004E+04 -0.106154E+00  0.000000E+00 -0.107602E+04
-0.532014E+04  0.309135E-02  0.309135E-02 -0.102224E+04
-0.504024E+04 -0.301829E-01  0.000000E+00 -0.968457E+03
-0.476035E+04 -0.350748E-01  0.000000E+00 -0.914676E+03
-0.448045E+04 -0.541096E-01  0.000000E+00 -0.860896E+03
-0.420056E+04 -0.445977E-01  0.000000E+00 -0.807115E+03
-0.392066E+04 -0.674916E-02  0.000000E+00 -0.753335E+03
-0.364077E+04  0.199418E+00  0.199418E+00 -0.699555E+03
-0.336087E+04  0.179720E+00  0.179720E+00 -0.645774E+03
-0.308098E+04  0.101425E+00  0.101425E+00 -0.591994E+03
-0.280109E+04 -0.120190E+00  0.000000E+00 -0.538215E+03
-0.252120E+04  0.742190E-01  0.742190E-01 -0.484435E+03
-0.224130E+04 -0.115475E+00  0.000000E+00 -0.430654E+03
-0.196141E+04  0.464864E-01  0.464864E-01 -0.376874E+03
-0.168151E+04 -0.171495E+00  0.000000E+00 -0.323093E+03
-0.140161E+04  0.111795E+00  0.111795E+00 -0.269313E+03
-0.112172E+04 -0.338698E+00  0.000000E+00 -0.215532E+03
-0.841823E+03 -0.383804E+00  0.000000E+00 -0.161752E+03
-0.561928E+03 -0.306106E+00  0.000000E+00 -0.107972E+03
-0.282033E+03 -0.348447E+00  0.000000E+00 -0.541911E+02
