NDF v9.6h 11Sep15 rev 12Mar16 run 09/05/2026 18:14:18 Filename: 67010106.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 672015.spc                                                                    
str 672015s.str                                                                   
file 672016R1.odf                                                                  
geo 672015g.geo                                                                   
element Cl   
 depth(at/cm2) element>0 element depth(nm)
-0.469422E+04 -0.204673E-01  0.000000E+00 -0.854491E+03
-0.461721E+04  0.531352E-01  0.531352E-01 -0.840473E+03
-0.454020E+04  0.414713E-02  0.414713E-02 -0.826454E+03
-0.446319E+04 -0.828331E-01  0.000000E+00 -0.812435E+03
-0.438617E+04  0.585574E-02  0.585574E-02 -0.798416E+03
-0.430916E+04 -0.501451E-01  0.000000E+00 -0.784397E+03
-0.423214E+04 -0.603988E-01  0.000000E+00 -0.770378E+03
-0.415513E+04 -0.100932E+00  0.000000E+00 -0.756359E+03
-0.407811E+04  0.325474E-01  0.325474E-01 -0.742341E+03
-0.400110E+04  0.597125E-01  0.597125E-01 -0.728322E+03
-0.392408E+04 -0.112173E-01  0.000000E+00 -0.714303E+03
-0.384707E+04 -0.668593E-01  0.000000E+00 -0.700284E+03
-0.377006E+04 -0.223779E-02  0.000000E+00 -0.686265E+03
-0.369305E+04  0.205373E-02  0.205373E-02 -0.672246E+03
-0.361603E+04  0.627350E-02  0.627350E-02 -0.658227E+03
-0.353902E+04  0.402947E-01  0.402947E-01 -0.644209E+03
-0.346200E+04 -0.154628E-01  0.000000E+00 -0.630190E+03
-0.338499E+04 -0.101011E+00  0.000000E+00 -0.616171E+03
-0.330797E+04  0.141788E-01  0.141788E-01 -0.602152E+03
-0.323096E+04 -0.345116E-01  0.000000E+00 -0.588133E+03
-0.315395E+04  0.123684E+00  0.123684E+00 -0.574114E+03
-0.307693E+04 -0.742142E-01  0.000000E+00 -0.560095E+03
-0.299992E+04  0.155707E-01  0.155707E-01 -0.546077E+03
-0.292291E+04  0.826490E-02  0.826490E-02 -0.532058E+03
-0.284589E+04  0.583642E-01  0.583642E-01 -0.518039E+03
-0.276888E+04 -0.477179E-01  0.000000E+00 -0.504020E+03
