NDF v9.6h 11Sep15 rev 12Mar16 run 09/05/2026 18:14:18 Filename: 67010113.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 672015.spc                                                                    
str 672015s.str                                                                   
file 672016R1.odf                                                                  
geo 672015g.geo                                                                   
element P    
 depth(at/cm2) element>0 element depth(nm)
-0.463660E+04 -0.125558E+00  0.000000E+00 -0.844003E+03
-0.455961E+04  0.404905E-01  0.404905E-01 -0.829987E+03
-0.448261E+04  0.742903E-01  0.742903E-01 -0.815972E+03
-0.440562E+04 -0.139564E-01  0.000000E+00 -0.801956E+03
-0.432862E+04 -0.831895E-01  0.000000E+00 -0.787940E+03
-0.425163E+04 -0.278453E-02  0.000000E+00 -0.773925E+03
-0.417463E+04  0.255561E-02  0.255561E-02 -0.759910E+03
-0.409764E+04  0.780707E-02  0.780707E-02 -0.745894E+03
-0.402064E+04  0.501481E-01  0.501481E-01 -0.731879E+03
-0.394364E+04 -0.192446E-01  0.000000E+00 -0.717863E+03
-0.386665E+04 -0.125723E+00  0.000000E+00 -0.703847E+03
-0.378965E+04  0.176487E-01  0.176487E-01 -0.689832E+03
-0.371266E+04 -0.429595E-01  0.000000E+00 -0.675816E+03
-0.363566E+04  0.153967E+00  0.153967E+00 -0.661801E+03
-0.355866E+04 -0.923926E-01  0.000000E+00 -0.647785E+03
-0.348167E+04  0.193833E-01  0.193833E-01 -0.633770E+03
-0.340468E+04  0.102869E-01  0.102869E-01 -0.619754E+03
-0.332768E+04  0.726658E-01  0.726658E-01 -0.605739E+03
-0.325068E+04 -0.594263E-01  0.000000E+00 -0.591723E+03
-0.317369E+04  0.188928E+00  0.188928E+00 -0.577708E+03
-0.309669E+04 -0.472801E-02  0.000000E+00 -0.563692E+03
-0.301970E+04  0.604781E-01  0.604781E-01 -0.549676E+03
-0.294270E+04  0.912321E-01  0.912321E-01 -0.535661E+03
-0.286570E+04 -0.484238E-02  0.000000E+00 -0.521645E+03
-0.278871E+04  0.285815E+00  0.285815E+00 -0.507630E+03
-0.271172E+04  0.155082E+00  0.155082E+00 -0.493615E+03
-0.263472E+04  0.340323E+00  0.340323E+00 -0.479599E+03
-0.255772E+04  0.295577E+00  0.295577E+00 -0.465583E+03
-0.248073E+04  0.250354E+00  0.250354E+00 -0.451568E+03
-0.240373E+04  0.316046E+00  0.316046E+00 -0.437552E+03
-0.232674E+04  0.512210E+00  0.512210E+00 -0.423536E+03
-0.224974E+04  0.392321E+00  0.392321E+00 -0.409521E+03
-0.217274E+04  0.333311E+00  0.333311E+00 -0.395505E+03
-0.209575E+04  0.576162E+00  0.576162E+00 -0.381490E+03
-0.201875E+04  0.541902E+00  0.541902E+00 -0.367475E+03
-0.194176E+04  0.391183E+00  0.391183E+00 -0.353459E+03
-0.186476E+04  0.355308E+00  0.355308E+00 -0.339443E+03
-0.178777E+04 -0.189192E+00  0.000000E+00 -0.325428E+03
-0.171077E+04 -0.390192E+00  0.000000E+00 -0.311412E+03
-0.163377E+04 -0.899731E+00  0.000000E+00 -0.297397E+03
-0.155678E+04 -0.329712E+00  0.000000E+00 -0.283381E+03
-0.147978E+04 -0.749955E-01  0.000000E+00 -0.269365E+03
-0.140279E+04 -0.156889E+00  0.000000E+00 -0.255350E+03
-0.132579E+04  0.371454E+00  0.371454E+00 -0.241335E+03
-0.124880E+04 -0.569376E+00  0.000000E+00 -0.227319E+03
-0.117180E+04 -0.414262E+00  0.000000E+00 -0.213304E+03
-0.109481E+04  0.315614E+00  0.315614E+00 -0.199288E+03
-0.101781E+04 -0.406485E+00  0.000000E+00 -0.185272E+03
-0.940814E+03 -0.327235E+00  0.000000E+00 -0.171257E+03
-0.863818E+03 -0.730036E+00  0.000000E+00 -0.157241E+03
-0.786822E+03 -0.400964E+00  0.000000E+00 -0.143226E+03
-0.709826E+03 -0.111498E+01  0.000000E+00 -0.129210E+03
-0.632834E+03 -0.197966E+01  0.000000E+00 -0.115195E+03
-0.555838E+03 -0.235990E+01  0.000000E+00 -0.101179E+03
-0.478842E+03 -0.181631E+01  0.000000E+00 -0.871637E+02
-0.401846E+03 -0.290051E+01  0.000000E+00 -0.731481E+02
-0.324850E+03 -0.192373E+01  0.000000E+00 -0.591325E+02
-0.247854E+03 -0.248915E+01  0.000000E+00 -0.451169E+02
-0.170858E+03 -0.247654E+01  0.000000E+00 -0.311013E+02
-0.938619E+02 -0.179735E+01  0.000000E+00 -0.170857E+02
-0.168659E+02 -0.104369E+01  0.000000E+00 -0.307011E+01
 0.601268E+02 -0.201547E+01  0.000000E+00  0.109449E+02
 0.137030E+03 -0.105961E+01  0.000000E+00  0.249437E+02
 0.213821E+03 -0.834348E+00  0.000000E+00  0.389219E+02
 0.290507E+03 -0.393061E+00  0.000000E+00  0.528811E+02
 0.367099E+03 -0.725384E+00  0.000000E+00  0.668231E+02
 0.443573E+03  0.572604E+00  0.572604E+00  0.807438E+02
 0.519937E+03  0.152008E+01  0.152008E+01  0.946442E+02
 0.596187E+03  0.879437E+00  0.879437E+00  0.108524E+03
 0.672366E+03 -0.407444E+00  0.000000E+00  0.122391E+03
 0.748430E+03  0.911969E+00  0.911969E+00  0.136237E+03
 0.824353E+03  0.357898E+00  0.357898E+00  0.150057E+03
 0.900168E+03  0.846351E+00  0.846351E+00  0.163858E+03
 0.975915E+03 -0.158350E+00  0.000000E+00  0.177646E+03
 0.105156E+04 -0.580852E+00  0.000000E+00  0.191416E+03
 0.112706E+04  0.708509E+00  0.708509E+00  0.205158E+03
 0.120244E+04 -0.309130E+00  0.000000E+00  0.218880E+03
 0.127778E+04 -0.467023E+00  0.000000E+00  0.232594E+03
 0.135295E+04 -0.247791E+00  0.000000E+00  0.246277E+03
 0.142798E+04  0.196432E+00  0.196432E+00  0.259936E+03
 0.150300E+04 -0.319695E+00  0.000000E+00  0.273592E+03
 0.157785E+04 -0.349794E+00  0.000000E+00  0.287217E+03
 0.165259E+04 -0.888358E-01  0.000000E+00  0.300822E+03
 0.172727E+04  0.705069E+00  0.705069E+00  0.314416E+03
 0.180176E+04 -0.161414E+01  0.000000E+00  0.327976E+03
 0.187621E+04 -0.195166E+01  0.000000E+00  0.341527E+03
 0.195056E+04 -0.236676E+01  0.000000E+00  0.355061E+03
 0.202478E+04 -0.934660E+00  0.000000E+00  0.368572E+03
 0.209886E+04 -0.285521E+00  0.000000E+00  0.382057E+03
 0.217290E+04 -0.109380E+01  0.000000E+00  0.395534E+03
 0.224681E+04 -0.269554E+01  0.000000E+00  0.408988E+03
 0.232057E+04 -0.135978E+01  0.000000E+00  0.422415E+03
 0.239428E+04 -0.240845E+01  0.000000E+00  0.435831E+03
 0.246784E+04 -0.342107E+01  0.000000E+00  0.449222E+03
 0.254129E+04 -0.261973E+01  0.000000E+00  0.462592E+03
 0.261467E+04 -0.165719E+01  0.000000E+00  0.475949E+03
 0.268788E+04 -0.177062E+01  0.000000E+00  0.489276E+03
 0.276103E+04 -0.134238E+01  0.000000E+00  0.502591E+03
 0.283407E+04 -0.190590E+01  0.000000E+00  0.515887E+03
 0.290696E+04 -0.141802E+01  0.000000E+00  0.529155E+03
 0.297980E+04 -0.578471E+00  0.000000E+00  0.542414E+03
 0.305250E+04 -0.452573E+00  0.000000E+00  0.555647E+03
 0.312507E+04 -0.314025E+00  0.000000E+00  0.568858E+03
 0.319756E+04  0.292125E+00  0.292125E+00  0.582053E+03
 0.326993E+04  0.111534E+00  0.111534E+00  0.595226E+03
 0.334220E+04  0.108783E+01  0.108783E+01  0.608383E+03
 0.341433E+04  0.343952E+01  0.343952E+01  0.621512E+03
 0.348640E+04  0.893326E+00  0.893326E+00  0.634631E+03
 0.355835E+04  0.197929E+01  0.197929E+01  0.647727E+03
 0.363017E+04  0.458399E+00  0.458399E+00  0.660801E+03
 0.370189E+04  0.136741E+01  0.136741E+01  0.673856E+03
 0.377349E+04  0.762463E+00  0.762463E+00  0.686890E+03
 0.384500E+04  0.970894E+00  0.970894E+00  0.699907E+03
 0.391640E+04  0.399035E+00  0.399035E+00  0.712905E+03
 0.398768E+04 -0.474190E+00  0.000000E+00  0.725878E+03
 0.405885E+04  0.585935E+00  0.585935E+00  0.738835E+03
 0.412992E+04 -0.702504E+00  0.000000E+00  0.751770E+03
 0.420086E+04 -0.180673E+01  0.000000E+00  0.764684E+03
 0.427169E+04 -0.109265E+01  0.000000E+00  0.777577E+03
 0.434246E+04 -0.131775E+01  0.000000E+00  0.790459E+03
 0.441307E+04 -0.144682E+01  0.000000E+00  0.803314E+03
 0.448358E+04 -0.175034E+00  0.000000E+00  0.816148E+03
 0.455399E+04 -0.322289E+00  0.000000E+00  0.828965E+03
 0.462429E+04  0.184123E+00  0.184123E+00  0.841762E+03
 0.469447E+04 -0.346022E+00  0.000000E+00  0.854536E+03
 0.476455E+04 -0.152802E+01  0.000000E+00  0.867292E+03
 0.483451E+04 -0.536028E+00  0.000000E+00  0.880028E+03
 0.490438E+04  0.880220E+00  0.880220E+00  0.892746E+03
 0.497412E+04  0.172278E+01  0.172278E+01  0.905441E+03
 0.504374E+04  0.245923E+01  0.245923E+01  0.918115E+03
 0.511328E+04  0.199330E+01  0.199330E+01  0.930772E+03
 0.518270E+04  0.188906E+01  0.188906E+01  0.943408E+03
 0.525200E+04  0.125006E+01  0.125006E+01  0.956023E+03
 0.532118E+04  0.914992E+00  0.914992E+00  0.968616E+03
 0.539026E+04  0.144011E+01  0.144011E+01  0.981191E+03
 0.545920E+04  0.141787E+01  0.141787E+01  0.993741E+03
 0.552811E+04  0.302412E+01  0.302412E+01  0.100628E+04
 0.559686E+04  0.321221E+00  0.321221E+00  0.101880E+04
 0.566548E+04  0.194463E+01  0.194463E+01  0.103129E+04
 0.573402E+04  0.117190E+01  0.117190E+01  0.104377E+04
 0.580242E+04  0.130194E+01  0.130194E+01  0.105622E+04
 0.587072E+04  0.272014E+00  0.272014E+00  0.106865E+04
 0.593893E+04  0.121161E+01  0.121161E+01  0.108107E+04
 0.600701E+04  0.111982E+01  0.111982E+01  0.109346E+04
 0.607496E+04  0.775704E+00  0.775704E+00  0.110583E+04
 0.614284E+04  0.168401E+00  0.168401E+00  0.111818E+04
 0.621058E+04  0.669895E+00  0.669895E+00  0.113051E+04
 0.627822E+04  0.981520E+00  0.981520E+00  0.114283E+04
 0.634575E+04  0.261417E+01  0.261417E+01  0.115512E+04
 0.641315E+04  0.751334E+00  0.751334E+00  0.116739E+04
 0.648048E+04  0.316982E+00  0.316982E+00  0.117964E+04
 0.654765E+04 -0.651628E-01  0.000000E+00  0.119187E+04
 0.661471E+04  0.284211E+01  0.284211E+01  0.120408E+04
 0.668170E+04  0.152502E+01  0.152502E+01  0.121627E+04
 0.674854E+04  0.264700E+01  0.264700E+01  0.122844E+04
 0.681528E+04  0.335761E+01  0.335761E+01  0.124059E+04
 0.688193E+04  0.105307E+01  0.105307E+01  0.125272E+04
 0.694844E+04  0.167701E+01  0.167701E+01  0.126483E+04
 0.701476E+04  0.971178E+00  0.971178E+00  0.127713E+04
 0.708065E+04  0.969017E+00  0.969017E+00  0.128936E+04
 0.714638E+04  0.302485E+01  0.302485E+01  0.130155E+04
 0.721204E+04  0.116011E+01  0.116011E+01  0.131374E+04
 0.727758E+04  0.159828E+01  0.159828E+01  0.132590E+04
 0.734302E+04  0.877872E+00  0.877872E+00  0.133804E+04
 0.740832E+04  0.221668E+01  0.221668E+01  0.135016E+04
 0.747351E+04 -0.117257E+00  0.000000E+00  0.136225E+04
 0.753858E+04 -0.600007E+00  0.000000E+00  0.137433E+04
 0.760357E+04  0.436242E+00  0.436242E+00  0.138639E+04
 0.766842E+04  0.220010E+01  0.220010E+01  0.139842E+04
 0.773318E+04  0.965455E+00  0.965455E+00  0.141043E+04
 0.779785E+04 -0.661100E+00  0.000000E+00  0.142243E+04
 0.786231E+04  0.222933E+01  0.222933E+01  0.143439E+04
 0.792677E+04  0.322265E+00  0.322265E+00  0.144635E+04
 0.799108E+04 -0.477103E-01  0.000000E+00  0.145829E+04
 0.805523E+04  0.555883E+00  0.555883E+00  0.147019E+04
 0.811931E+04 -0.938512E+00  0.000000E+00  0.148208E+04
 0.818331E+04  0.664650E+00  0.664650E+00  0.149396E+04
 0.824715E+04  0.161742E+01  0.161742E+01  0.150580E+04
 0.831089E+04  0.331661E+00  0.331661E+00  0.151763E+04
 0.837452E+04  0.105417E+01  0.105417E+01  0.152943E+04
 0.843804E+04  0.211560E+01  0.211560E+01  0.154122E+04
 0.850146E+04 -0.208249E+01  0.000000E+00  0.155299E+04
 0.856474E+04 -0.535604E+00  0.000000E+00  0.156473E+04
 0.862789E+04 -0.987039E+00  0.000000E+00  0.157645E+04
 0.869099E+04  0.526668E+00  0.526668E+00  0.158815E+04
 0.875394E+04 -0.700573E+00  0.000000E+00  0.159983E+04
 0.881675E+04  0.516024E+00  0.516024E+00  0.161149E+04
 0.887949E+04  0.205229E+01  0.205229E+01  0.162313E+04
 0.894210E+04  0.110526E+00  0.110526E+00  0.163475E+04
 0.900462E+04 -0.161912E+01  0.000000E+00  0.164635E+04
 0.906701E+04 -0.661182E+00  0.000000E+00  0.165792E+04
 0.912932E+04 -0.457104E+00  0.000000E+00  0.166948E+04
 0.919141E+04  0.143739E+01  0.143739E+01  0.168101E+04
 0.925350E+04 -0.283111E+00  0.000000E+00  0.169253E+04
 0.931547E+04 -0.676467E+00  0.000000E+00  0.170402E+04
 0.937728E+04  0.978793E-01  0.978793E-01  0.171549E+04
 0.943898E+04  0.876040E+00  0.876040E+00  0.172694E+04
 0.950059E+04 -0.235095E+00  0.000000E+00  0.173837E+04
 0.956207E+04  0.167200E+00  0.167200E+00  0.174978E+04
 0.962345E+04 -0.891826E-01  0.000000E+00  0.176117E+04
 0.968472E+04  0.804343E+00  0.804343E+00  0.177254E+04
 0.974584E+04  0.329574E+00  0.329574E+00  0.178388E+04
 0.980687E+04 -0.242512E+00  0.000000E+00  0.179520E+04
 0.986780E+04  0.854747E+00  0.854747E+00  0.180651E+04
 0.992862E+04  0.129129E+01  0.129129E+01  0.181779E+04
 0.998930E+04  0.527674E+00  0.527674E+00  0.182905E+04
 0.100499E+05  0.588067E+00  0.588067E+00  0.184029E+04
 0.101104E+05  0.960944E+00  0.960944E+00  0.185151E+04
 0.101707E+05  0.166497E+01  0.166497E+01  0.186271E+04
 0.102309E+05  0.588111E+00  0.588111E+00  0.187388E+04
 0.102910E+05  0.542661E+00  0.542661E+00  0.188504E+04
 0.103511E+05  0.149594E+01  0.149594E+01  0.189618E+04
 0.104110E+05  0.111874E+01  0.111874E+01  0.190729E+04
 0.104707E+05 -0.399158E+00  0.000000E+00  0.191838E+04
 0.105304E+05  0.545777E-01  0.545777E-01  0.192945E+04
 0.105899E+05 -0.129629E+00  0.000000E+00  0.194050E+04
 0.106494E+05  0.225119E+01  0.225119E+01  0.195153E+04
 0.107087E+05  0.186301E+01  0.186301E+01  0.196254E+04
 0.107679E+05  0.306446E+01  0.306446E+01  0.197352E+04
 0.108270E+05  0.230034E+01  0.230034E+01  0.198449E+04
 0.108860E+05  0.444260E+00  0.444260E+00  0.199544E+04
 0.109448E+05  0.102752E+01  0.102752E+01  0.200635E+04
 0.110036E+05  0.166028E+01  0.166028E+01  0.201726E+04
 0.110623E+05  0.580855E+00  0.580855E+00  0.202814E+04
 0.111208E+05  0.216354E+01  0.216354E+01  0.203900E+04
 0.111792E+05  0.206150E+01  0.206150E+01  0.204983E+04
 0.112375E+05  0.267492E+01  0.267492E+01  0.206066E+04
 0.112957E+05  0.155401E+01  0.155401E+01  0.207145E+04
 0.113537E+05  0.156716E+01  0.156716E+01  0.208222E+04
 0.114116E+05 -0.522474E-01  0.000000E+00  0.209297E+04
 0.114695E+05  0.139975E+01  0.139975E+01  0.210370E+04
 0.115272E+05  0.521205E+00  0.521205E+00  0.211441E+04
 0.115848E+05  0.171842E+01  0.171842E+01  0.212510E+04
 0.116423E+05  0.202400E+01  0.202400E+01  0.213577E+04
 0.116997E+05  0.106138E+01  0.106138E+01  0.214641E+04
 0.117569E+05  0.221425E+01  0.221425E+01  0.215704E+04
 0.118141E+05  0.191247E+01  0.191247E+01  0.216764E+04
 0.118712E+05 -0.175297E+00  0.000000E+00  0.217823E+04
 0.119281E+05  0.804319E+00  0.804319E+00  0.218879E+04
 0.119848E+05 -0.970912E-01  0.000000E+00  0.219932E+04
 0.120415E+05  0.202858E+01  0.202858E+01  0.220984E+04
 0.120981E+05  0.321262E+01  0.321262E+01  0.222034E+04
 0.121546E+05  0.217442E+01  0.217442E+01  0.223082E+04
 0.122109E+05  0.272027E+01  0.272027E+01  0.224127E+04
 0.122671E+05  0.296922E+01  0.296922E+01  0.225170E+04
 0.123232E+05  0.254967E+01  0.254967E+01  0.226210E+04
 0.123793E+05  0.234619E+01  0.234619E+01  0.227251E+04
 0.124351E+05  0.204323E+01  0.204323E+01  0.228287E+04
 0.124909E+05  0.268257E+01  0.268257E+01  0.229322E+04
 0.125464E+05  0.268467E+01  0.268467E+01  0.230353E+04
 0.126021E+05  0.196995E+01  0.196995E+01  0.231385E+04
 0.126575E+05  0.338741E+01  0.338741E+01  0.232413E+04
 0.127128E+05  0.167411E+01  0.167411E+01  0.233440E+04
 0.127679E+05 -0.749414E-01  0.000000E+00  0.234461E+04
 0.128230E+05  0.950725E+00  0.950725E+00  0.235485E+04
