NDF v9.6h 11Sep15 rev 12Mar16 run 09/05/2026 15:26:19 Filename: 67010111.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 672015.spc                                                                    
str 672015s.str                                                                   
file 672017R1.odf                                                                  
geo 672015g.geo                                                                   
element Ti   
 depth(at/cm2) element>0 element depth(nm)
-0.313201E+04  0.836378E-01  0.836378E-01 -0.570004E+03
-0.305449E+04 -0.467073E-01  0.000000E+00 -0.555897E+03
-0.297698E+04 -0.955843E-03  0.000000E+00 -0.541790E+03
-0.289947E+04  0.336108E-01  0.336108E-01 -0.527683E+03
-0.282195E+04 -0.323342E-01  0.000000E+00 -0.513576E+03
-0.274444E+04  0.580915E-01  0.580915E-01 -0.499469E+03
-0.266692E+04 -0.373688E-01  0.000000E+00 -0.485362E+03
-0.258941E+04  0.767891E-03  0.767891E-03 -0.471255E+03
-0.251190E+04 -0.942006E-02  0.000000E+00 -0.457148E+03
-0.243438E+04 -0.158873E-01  0.000000E+00 -0.443041E+03
-0.235687E+04  0.292569E-01  0.292569E-01 -0.428934E+03
-0.227935E+04  0.301361E-01  0.301361E-01 -0.414827E+03
-0.220184E+04  0.901336E-02  0.901336E-02 -0.400720E+03
-0.212433E+04  0.832726E-01  0.832726E-01 -0.386613E+03
-0.204681E+04  0.657714E-01  0.657714E-01 -0.372506E+03
-0.196930E+04  0.551251E-01  0.551251E-01 -0.358399E+03
-0.189178E+04  0.512969E-01  0.512969E-01 -0.344292E+03
-0.181427E+04  0.140283E-03  0.140283E-03 -0.330185E+03
-0.173676E+04  0.327189E-01  0.327189E-01 -0.316078E+03
-0.165924E+04  0.616419E-01  0.616419E-01 -0.301971E+03
-0.158173E+04 -0.723742E-02  0.000000E+00 -0.287864E+03
-0.150422E+04  0.975605E-01  0.975605E-01 -0.273758E+03
-0.142670E+04  0.466795E-01  0.466795E-01 -0.259650E+03
-0.134919E+04  0.103406E+00  0.103406E+00 -0.245543E+03
-0.127168E+04  0.332749E-01  0.332749E-01 -0.231437E+03
-0.119416E+04  0.201734E-01  0.201734E-01 -0.217329E+03
-0.111665E+04  0.741087E-01  0.741087E-01 -0.203223E+03
-0.103914E+04  0.136550E+00  0.136550E+00 -0.189116E+03
-0.961621E+03  0.849406E-01  0.849406E-01 -0.175008E+03
-0.884108E+03  0.135852E+00  0.135852E+00 -0.160902E+03
-0.806595E+03  0.976731E-01  0.976731E-01 -0.146795E+03
-0.729080E+03  0.526501E-01  0.526501E-01 -0.132688E+03
-0.651567E+03  0.987756E-01  0.987756E-01 -0.118581E+03
-0.574054E+03  0.147676E+00  0.147676E+00 -0.104474E+03
-0.496539E+03  0.109990E+00  0.109990E+00 -0.903666E+02
-0.419026E+03  0.383264E-01  0.383264E-01 -0.762599E+02
-0.341513E+03 -0.793139E-02  0.000000E+00 -0.621531E+02
-0.264001E+03  0.139789E+00  0.139789E+00 -0.480463E+02
-0.186485E+03 -0.577130E-01  0.000000E+00 -0.339390E+02
-0.108972E+03 -0.148716E+00  0.000000E+00 -0.198322E+02
-0.314596E+02  0.210777E+00  0.210777E+00 -0.572544E+01
 0.460563E+02  0.278972E-01  0.278972E-01  0.838193E+01
 0.123493E+03  0.316098E+00  0.316098E+00  0.224748E+02
 0.200818E+03  0.331530E+00  0.331530E+00  0.365475E+02
 0.278052E+03  0.438692E+00  0.438692E+00  0.506036E+02
 0.355175E+03  0.619342E+00  0.619342E+00  0.646394E+02
 0.432206E+03  0.670717E+00  0.670717E+00  0.786586E+02
 0.509144E+03  0.101132E+01  0.101132E+01  0.926607E+02
 0.585971E+03  0.713407E+00  0.713407E+00  0.106643E+03
 0.662654E+03  0.108125E+01  0.108125E+01  0.120598E+03
 0.739260E+03  0.885702E+00  0.885702E+00  0.134540E+03
 0.815775E+03  0.760010E+00  0.760010E+00  0.148465E+03
 0.892204E+03  0.437069E+00  0.437069E+00  0.162375E+03
 0.968531E+03  0.706723E+00  0.706723E+00  0.176266E+03
 0.104468E+04  0.227123E+00  0.227123E+00  0.190125E+03
 0.112077E+04 -0.589005E-03  0.000000E+00  0.203972E+03
 0.119674E+04 -0.272889E+00  0.000000E+00  0.217799E+03
 0.127270E+04 -0.383103E+00  0.000000E+00  0.231623E+03
 0.134848E+04  0.428210E-02  0.428210E-02  0.245414E+03
 0.142414E+04 -0.366054E+00  0.000000E+00  0.259184E+03
 0.149966E+04  0.262258E-01  0.262258E-01  0.272928E+03
 0.157517E+04  0.320537E-01  0.320537E-01  0.286671E+03
 0.165060E+04  0.624586E-01  0.624586E-01  0.300399E+03
 0.172586E+04 -0.374963E+00  0.000000E+00  0.314094E+03
 0.180096E+04  0.371601E+00  0.371601E+00  0.327763E+03
 0.187602E+04 -0.149349E+00  0.000000E+00  0.341423E+03
 0.195107E+04  0.160448E+00  0.160448E+00  0.355082E+03
 0.202588E+04  0.561801E+00  0.561801E+00  0.368696E+03
 0.210047E+04  0.350788E+00  0.350788E+00  0.382272E+03
 0.217522E+04  0.915687E-01  0.915687E-01  0.395875E+03
 0.224986E+04  0.631328E+00  0.631328E+00  0.409459E+03
 0.232425E+04 -0.644373E-01  0.000000E+00  0.422998E+03
 0.239843E+04  0.495794E+00  0.495794E+00  0.436498E+03
 0.247279E+04  0.211991E+00  0.211991E+00  0.450031E+03
 0.254698E+04  0.428122E+00  0.428122E+00  0.463534E+03
 0.262093E+04  0.287644E+00  0.287644E+00  0.476991E+03
 0.269478E+04  0.925730E+00  0.925730E+00  0.490432E+03
 0.276869E+04  0.731433E+00  0.731433E+00  0.503883E+03
 0.284234E+04  0.448225E+00  0.448225E+00  0.517288E+03
 0.291580E+04  0.547192E+00  0.547192E+00  0.530656E+03
 0.298943E+04  0.132179E+00  0.132179E+00  0.544055E+03
 0.306286E+04 -0.315097E+00  0.000000E+00  0.557420E+03
 0.313612E+04  0.445453E+00  0.445453E+00  0.570753E+03
 0.320921E+04 -0.862670E-01  0.000000E+00  0.584054E+03
 0.328238E+04  0.351499E+00  0.351499E+00  0.597371E+03
 0.335541E+04  0.106634E+01  0.106634E+01  0.610662E+03
 0.342821E+04  0.280378E+00  0.280378E+00  0.623911E+03
 0.350095E+04  0.386557E+00  0.386557E+00  0.637149E+03
 0.357368E+04  0.462621E+00  0.462621E+00  0.650385E+03
 0.364616E+04  0.501776E+00  0.501776E+00  0.663576E+03
 0.371855E+04  0.267270E+00  0.267270E+00  0.676750E+03
 0.379097E+04  0.191211E+00  0.191211E+00  0.689931E+03
 0.386326E+04  0.284055E+00  0.284055E+00  0.703088E+03
 0.393526E+04  0.269274E+00  0.269274E+00  0.716191E+03
 0.400732E+04 -0.410578E+00  0.000000E+00  0.729306E+03
 0.407928E+04 -0.471793E+00  0.000000E+00  0.742401E+03
 0.415108E+04 -0.301284E+00  0.000000E+00  0.755468E+03
 0.422275E+04 -0.577769E+00  0.000000E+00  0.768512E+03
 0.429440E+04 -0.579827E+00  0.000000E+00  0.781551E+03
 0.436585E+04 -0.583473E+00  0.000000E+00  0.794554E+03
 0.443719E+04 -0.937982E+00  0.000000E+00  0.807539E+03
 0.450852E+04 -0.392187E+00  0.000000E+00  0.820521E+03
 0.457975E+04 -0.521295E+00  0.000000E+00  0.833484E+03
 0.465073E+04 -0.126508E+01  0.000000E+00  0.846402E+03
 0.472171E+04 -0.121498E+01  0.000000E+00  0.859319E+03
 0.479259E+04 -0.115106E+01  0.000000E+00  0.872219E+03
 0.486332E+04 -0.581734E+00  0.000000E+00  0.885091E+03
 0.493394E+04 -0.793079E+00  0.000000E+00  0.897944E+03
 0.500452E+04 -0.954741E+00  0.000000E+00  0.910788E+03
 0.507490E+04 -0.418237E+00  0.000000E+00  0.923597E+03
 0.514524E+04 -0.105931E+01  0.000000E+00  0.936398E+03
 0.521549E+04 -0.106377E+01  0.000000E+00  0.949184E+03
