NDF v9.6h 11Sep15 rev 12Mar16 run 23/02/2026 10:35:10 Filename: 67010113.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 672015.spc                                                                    
str 672015s.str                                                                   
file 672017R1.odf                                                                  
geo 672015g.geo                                                                   
element Cs   
 depth(at/cm2) element>0 element depth(nm)
-0.469509E+04  0.190683E-01  0.190683E-01 -0.866599E+03
-0.461848E+04  0.103269E-01  0.103269E-01 -0.852458E+03
-0.454187E+04  0.144174E-01  0.144174E-01 -0.838317E+03
-0.446525E+04  0.130164E-01  0.130164E-01 -0.824177E+03
-0.438864E+04  0.146670E-01  0.146670E-01 -0.810036E+03
-0.431203E+04  0.242062E-01  0.242062E-01 -0.795895E+03
-0.423542E+04  0.191808E-01  0.191808E-01 -0.781754E+03
-0.415880E+04  0.141724E-01  0.141724E-01 -0.767613E+03
-0.408219E+04  0.266704E-01  0.266704E-01 -0.753472E+03
-0.400558E+04  0.258621E-01  0.258621E-01 -0.739331E+03
-0.392896E+04  0.160357E-01  0.160357E-01 -0.725190E+03
-0.385235E+04  0.284561E-01  0.284561E-01 -0.711049E+03
-0.377574E+04  0.258424E-01  0.258424E-01 -0.696909E+03
-0.369913E+04  0.166475E-01  0.166475E-01 -0.682768E+03
-0.362251E+04  0.212217E-01  0.212217E-01 -0.668627E+03
-0.354590E+04  0.168361E-01  0.168361E-01 -0.654486E+03
-0.346929E+04  0.190194E-01  0.190194E-01 -0.640345E+03
-0.339267E+04  0.182304E-01  0.182304E-01 -0.626204E+03
-0.331606E+04  0.144780E-01  0.144780E-01 -0.612064E+03
-0.323945E+04  0.172523E-01  0.172523E-01 -0.597923E+03
-0.316284E+04  0.241488E-01  0.241488E-01 -0.583782E+03
-0.308622E+04  0.245232E-01  0.245232E-01 -0.569641E+03
-0.300961E+04  0.142921E-01  0.142921E-01 -0.555500E+03
-0.293300E+04  0.170346E-01  0.170346E-01 -0.541359E+03
-0.285638E+04  0.221120E-01  0.221120E-01 -0.527218E+03
-0.277977E+04  0.218933E-01  0.218933E-01 -0.513078E+03
-0.270316E+04  0.152393E-01  0.152393E-01 -0.498937E+03
-0.262654E+04  0.220416E-01  0.220416E-01 -0.484796E+03
-0.254993E+04  0.154217E-01  0.154217E-01 -0.470655E+03
-0.247332E+04  0.152382E-01  0.152382E-01 -0.456514E+03
-0.239671E+04  0.260948E-01  0.260948E-01 -0.442373E+03
-0.232009E+04  0.235734E-01  0.235734E-01 -0.428232E+03
-0.224348E+04  0.245236E-01  0.245236E-01 -0.414091E+03
-0.216687E+04  0.156337E-01  0.156337E-01 -0.399951E+03
-0.209025E+04  0.194683E-01  0.194683E-01 -0.385810E+03
-0.201364E+04  0.250175E-01  0.250175E-01 -0.371669E+03
-0.193703E+04  0.242308E-01  0.242308E-01 -0.357528E+03
-0.186042E+04  0.251769E-01  0.251769E-01 -0.343387E+03
-0.178380E+04  0.278385E-01  0.278385E-01 -0.329246E+03
-0.170719E+04  0.327786E-01  0.327786E-01 -0.315105E+03
-0.163058E+04  0.239654E-01  0.239654E-01 -0.300965E+03
-0.155396E+04  0.368094E-01  0.368094E-01 -0.286824E+03
-0.147735E+04  0.171768E-01  0.171768E-01 -0.272683E+03
-0.140073E+04  0.243065E-01  0.243065E-01 -0.258541E+03
-0.132412E+04  0.297250E-01  0.297250E-01 -0.244400E+03
-0.124751E+04  0.198545E-01  0.198545E-01 -0.230260E+03
-0.117090E+04  0.337475E-01  0.337475E-01 -0.216119E+03
-0.109428E+04  0.193909E-01  0.193909E-01 -0.201978E+03
-0.101767E+04  0.253432E-01  0.253432E-01 -0.187837E+03
-0.941057E+03  0.239583E-01  0.239583E-01 -0.173696E+03
-0.864445E+03  0.231362E-01  0.231362E-01 -0.159555E+03
-0.787832E+03  0.301525E-01  0.301525E-01 -0.145414E+03
-0.711219E+03  0.304320E-01  0.304320E-01 -0.131274E+03
-0.634606E+03  0.273552E-01  0.273552E-01 -0.117133E+03
-0.557993E+03  0.387562E-01  0.387562E-01 -0.102992E+03
-0.481380E+03  0.361914E-01  0.361914E-01 -0.888509E+02
-0.404767E+03  0.346725E-01  0.346725E-01 -0.747101E+02
-0.328154E+03  0.341778E-01  0.341778E-01 -0.605692E+02
-0.251541E+03  0.264214E-01  0.264214E-01 -0.464284E+02
-0.174928E+03  0.312882E-01  0.312882E-01 -0.322875E+02
-0.983155E+02  0.354517E-01  0.354517E-01 -0.181466E+02
-0.217026E+02  0.245557E-01  0.245557E-01 -0.400576E+01
 0.549103E+02  0.397386E-01  0.397386E-01  0.101351E+02
 0.131504E+03  0.309911E-01  0.309911E-01  0.242723E+02
 0.207935E+03  0.382237E-01  0.382237E-01  0.383797E+02
 0.284303E+03  0.255658E-01  0.255658E-01  0.524753E+02
 0.360609E+03  0.208393E-01  0.208393E-01  0.665595E+02
 0.436794E+03  0.254419E-01  0.254419E-01  0.806215E+02
 0.512931E+03  0.302694E-01  0.302694E-01  0.946744E+02
 0.588846E+03  0.164941E-01  0.164941E-01  0.108687E+03
 0.664718E+03  0.169653E-01  0.169653E-01  0.122691E+03
 0.740499E+03  0.235235E-02  0.235235E-02  0.136678E+03
 0.816209E+03 -0.147252E-01  0.000000E+00  0.150652E+03
 0.891840E+03 -0.190002E-01  0.000000E+00  0.164612E+03
 0.967302E+03 -0.236258E-01  0.000000E+00  0.178540E+03
 0.104271E+04 -0.416516E-01  0.000000E+00  0.192458E+03
 0.111795E+04 -0.643315E-01  0.000000E+00  0.206346E+03
 0.119316E+04 -0.811529E-01  0.000000E+00  0.220227E+03
 0.126828E+04 -0.646390E-01  0.000000E+00  0.234094E+03
 0.134328E+04 -0.967670E-01  0.000000E+00  0.247937E+03
 0.141823E+04 -0.106537E+00  0.000000E+00  0.261771E+03
 0.149300E+04 -0.395540E-01  0.000000E+00  0.275572E+03
 0.156771E+04 -0.485678E-01  0.000000E+00  0.289362E+03
 0.164224E+04  0.239478E-01  0.239478E-01  0.303118E+03
 0.171681E+04  0.609989E-01  0.609989E-01  0.316881E+03
 0.179122E+04  0.118186E+00  0.118186E+00  0.330616E+03
 0.186554E+04  0.190785E+00  0.190785E+00  0.344333E+03
 0.193979E+04  0.244478E+00  0.244478E+00  0.358038E+03
 0.201384E+04  0.342230E+00  0.342230E+00  0.371705E+03
 0.208783E+04  0.335073E+00  0.335073E+00  0.385363E+03
 0.216177E+04  0.424272E+00  0.424272E+00  0.399010E+03
 0.223563E+04  0.416433E+00  0.416433E+00  0.412642E+03
 0.230931E+04  0.409568E+00  0.409568E+00  0.426242E+03
 0.238291E+04  0.360659E+00  0.360659E+00  0.439827E+03
 0.245644E+04  0.393096E+00  0.393096E+00  0.453399E+03
 0.252985E+04  0.299263E+00  0.299263E+00  0.466949E+03
 0.260320E+04  0.236737E+00  0.236737E+00  0.480487E+03
 0.267636E+04  0.161807E+00  0.161807E+00  0.493991E+03
 0.274946E+04  0.107843E+00  0.107843E+00  0.507483E+03
 0.282251E+04  0.129681E+00  0.129681E+00  0.520966E+03
 0.289545E+04  0.334405E-01  0.334405E-01  0.534428E+03
 0.296828E+04  0.573358E-01  0.573358E-01  0.547871E+03
 0.304092E+04  0.234757E-01  0.234757E-01  0.561280E+03
 0.311348E+04 -0.351251E-02  0.000000E+00  0.574673E+03
 0.318608E+04 -0.997616E-01  0.000000E+00  0.588071E+03
 0.325863E+04 -0.814380E-02  0.000000E+00  0.601462E+03
 0.333085E+04 -0.110563E+00  0.000000E+00  0.614793E+03
 0.340309E+04 -0.799842E-01  0.000000E+00  0.628126E+03
 0.347525E+04 -0.324718E-01  0.000000E+00  0.641445E+03
 0.354722E+04 -0.778186E-01  0.000000E+00  0.654730E+03
 0.361915E+04 -0.128176E+00  0.000000E+00  0.668007E+03
 0.369091E+04 -0.523258E-01  0.000000E+00  0.681251E+03
 0.376259E+04 -0.167710E+00  0.000000E+00  0.694482E+03
 0.383433E+04 -0.859066E-01  0.000000E+00  0.707723E+03
 0.390606E+04 -0.134204E+00  0.000000E+00  0.720963E+03
 0.397728E+04 -0.104927E+00  0.000000E+00  0.734108E+03
 0.404836E+04 -0.130100E+00  0.000000E+00  0.747229E+03
 0.411975E+04 -0.327519E-01  0.000000E+00  0.760405E+03
 0.419095E+04 -0.649395E-01  0.000000E+00  0.773547E+03
 0.426190E+04 -0.111460E+00  0.000000E+00  0.786643E+03
 0.433275E+04 -0.979793E-01  0.000000E+00  0.799719E+03
 0.440360E+04 -0.164067E+00  0.000000E+00  0.812796E+03
 0.447443E+04 -0.235576E+00  0.000000E+00  0.825869E+03
 0.454521E+04 -0.119545E+00  0.000000E+00  0.838933E+03
 0.461557E+04 -0.206230E+00  0.000000E+00  0.851921E+03
 0.468591E+04 -0.141670E+00  0.000000E+00  0.864904E+03
 0.475635E+04 -0.347377E-01  0.000000E+00  0.877905E+03
 0.482669E+04 -0.162662E+00  0.000000E+00  0.890889E+03
 0.489672E+04 -0.152663E+00  0.000000E+00  0.903814E+03
 0.496655E+04 -0.147413E+00  0.000000E+00  0.916702E+03
 0.503660E+04 -0.147549E+00  0.000000E+00  0.929633E+03
 0.510640E+04 -0.191013E+00  0.000000E+00  0.942516E+03
 0.517596E+04 -0.209081E+00  0.000000E+00  0.955356E+03
 0.524563E+04 -0.198359E+00  0.000000E+00  0.968214E+03
 0.531534E+04 -0.202280E+00  0.000000E+00  0.981082E+03
 0.538460E+04 -0.308134E+00  0.000000E+00  0.993865E+03
 0.545374E+04 -0.312638E+00  0.000000E+00  0.100663E+04
 0.552311E+04 -0.274944E+00  0.000000E+00  0.101943E+04
 0.559233E+04 -0.303462E+00  0.000000E+00  0.103221E+04
 0.566107E+04 -0.285882E+00  0.000000E+00  0.104489E+04
 0.572984E+04 -0.261944E+00  0.000000E+00  0.105759E+04
 0.579881E+04 -0.288962E+00  0.000000E+00  0.107032E+04
 0.586766E+04 -0.175454E+00  0.000000E+00  0.108302E+04
 0.593594E+04 -0.167430E+00  0.000000E+00  0.109563E+04
 0.600433E+04 -0.254861E+00  0.000000E+00  0.110825E+04
 0.607297E+04 -0.221596E+00  0.000000E+00  0.112092E+04
 0.614142E+04 -0.192192E+00  0.000000E+00  0.113356E+04
 0.620937E+04 -0.901490E-01  0.000000E+00  0.114610E+04
 0.627768E+04 -0.114646E+00  0.000000E+00  0.115871E+04
 0.634561E+04 -0.139131E+00  0.000000E+00  0.117124E+04
 0.641339E+04 -0.602593E-01  0.000000E+00  0.118375E+04
 0.648108E+04 -0.170668E+00  0.000000E+00  0.119625E+04
 0.654881E+04 -0.185652E+00  0.000000E+00  0.120875E+04
 0.661640E+04 -0.115209E+00  0.000000E+00  0.122123E+04
 0.668389E+04 -0.123414E+00  0.000000E+00  0.123368E+04
