NDF v9.6h 11Sep15 rev 12Mar16 run 09/05/2026 18:35:46 Filename: 67010104.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 672015.spc                                                                    
str 672015s.str                                                                   
file 672018R1.odf                                                                  
geo 672015g.geo                                                                   
element C    
 depth(at/cm2) element>0 element depth(nm)
-0.309628E+04  0.764295E+00  0.764295E+00 -0.554040E+03
-0.301899E+04  0.121992E+01  0.121992E+01 -0.540211E+03
-0.294171E+04 -0.335908E+01  0.000000E+00 -0.526382E+03
-0.286442E+04  0.235229E+00  0.235229E+00 -0.512553E+03
-0.278714E+04 -0.230934E+01  0.000000E+00 -0.498724E+03
-0.270986E+04 -0.683488E+01  0.000000E+00 -0.484895E+03
-0.263257E+04 -0.371384E+01  0.000000E+00 -0.471066E+03
-0.255529E+04 -0.529955E+01  0.000000E+00 -0.457237E+03
-0.247800E+04 -0.534502E+01  0.000000E+00 -0.443407E+03
-0.240072E+04 -0.582527E+00  0.000000E+00 -0.429578E+03
-0.232343E+04 -0.768800E+01  0.000000E+00 -0.415749E+03
-0.224615E+04 -0.484639E+01  0.000000E+00 -0.401920E+03
-0.216886E+04 -0.327147E+01  0.000000E+00 -0.388091E+03
-0.209158E+04 -0.105351E+02  0.000000E+00 -0.374262E+03
-0.201429E+04 -0.748469E+01  0.000000E+00 -0.360433E+03
-0.193701E+04 -0.614012E+01  0.000000E+00 -0.346604E+03
-0.185973E+04 -0.449340E+00  0.000000E+00 -0.332775E+03
-0.178244E+04 -0.885286E+01  0.000000E+00 -0.318945E+03
-0.170516E+04  0.385658E-01  0.385658E-01 -0.305116E+03
-0.162787E+04  0.290712E+01  0.290712E+01 -0.291287E+03
-0.155059E+04 -0.355815E+01  0.000000E+00 -0.277458E+03
-0.147330E+04 -0.730510E+01  0.000000E+00 -0.263629E+03
-0.139602E+04 -0.484872E+01  0.000000E+00 -0.249800E+03
-0.131873E+04 -0.257711E+01  0.000000E+00 -0.235971E+03
-0.124145E+04 -0.252273E+01  0.000000E+00 -0.222142E+03
-0.116416E+04 -0.205982E+01  0.000000E+00 -0.208312E+03
-0.108688E+04 -0.456202E+01  0.000000E+00 -0.194483E+03
-0.100959E+04  0.112769E+01  0.112769E+01 -0.180654E+03
-0.932310E+03  0.213409E+01  0.213409E+01 -0.166825E+03
-0.855026E+03 -0.662333E+01  0.000000E+00 -0.152996E+03
-0.777739E+03 -0.290212E+01  0.000000E+00 -0.139167E+03
-0.700455E+03  0.205623E+01  0.205623E+01 -0.125338E+03
-0.623171E+03  0.524603E+01  0.524603E+01 -0.111509E+03
-0.545887E+03  0.486692E+01  0.486692E+01 -0.976796E+02
-0.468603E+03  0.445731E+01  0.445731E+01 -0.838506E+02
-0.391316E+03  0.144932E+02  0.144932E+02 -0.700211E+02
-0.314032E+03  0.297900E+01  0.297900E+01 -0.561921E+02
-0.236748E+03  0.716890E+01  0.716890E+01 -0.423631E+02
-0.159464E+03  0.997774E+01  0.997774E+01 -0.285341E+02
-0.821771E+02  0.108258E+02  0.108258E+02 -0.147046E+02
-0.489316E+01  0.138041E+02  0.138041E+02 -0.875571E+00
