NDF v9.6h 11Sep15 rev 12Mar16 run 03/05/2026 16:03:37 Filename: 67010108.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 672021.spc                                                                    
str 672021s.str                                                                   
file 672021R1.odf                                                                  
geo 672021g.geo                                                                   
element Al   
 depth(at/cm2) element>0 element depth(nm)
-0.394080E+04  0.724845E-01  0.724845E-01 -0.678483E+03
-0.386394E+04  0.393236E+00  0.393236E+00 -0.665250E+03
-0.378708E+04  0.670165E+00  0.670165E+00 -0.652018E+03
-0.371022E+04  0.326639E+00  0.326639E+00 -0.638786E+03
-0.363337E+04  0.514904E+00  0.514904E+00 -0.625553E+03
-0.355651E+04  0.614836E-03  0.614836E-03 -0.612321E+03
-0.347965E+04  0.424633E+00  0.424633E+00 -0.599089E+03
-0.340280E+04  0.145464E+00  0.145464E+00 -0.585856E+03
-0.332594E+04  0.108197E+01  0.108197E+01 -0.572624E+03
-0.324908E+04  0.455575E+00  0.455575E+00 -0.559392E+03
-0.317223E+04  0.127923E+01  0.127923E+01 -0.546159E+03
-0.309537E+04  0.334850E+00  0.334850E+00 -0.532927E+03
-0.301851E+04  0.787502E+00  0.787502E+00 -0.519695E+03
-0.294166E+04  0.681943E+00  0.681943E+00 -0.506463E+03
-0.286480E+04  0.174633E+01  0.174633E+01 -0.493230E+03
-0.278794E+04  0.146638E+01  0.146638E+01 -0.479998E+03
-0.271109E+04  0.141140E+01  0.141140E+01 -0.466766E+03
-0.263423E+04  0.128556E+01  0.128556E+01 -0.453533E+03
-0.255737E+04  0.339359E+01  0.339359E+01 -0.440301E+03
-0.248052E+04  0.246719E+01  0.246719E+01 -0.427069E+03
-0.240366E+04  0.365601E+01  0.365601E+01 -0.413836E+03
-0.232680E+04  0.294753E+01  0.294753E+01 -0.400604E+03
-0.224995E+04  0.232664E+01  0.232664E+01 -0.387372E+03
-0.217309E+04  0.265433E+01  0.265433E+01 -0.374139E+03
-0.209624E+04  0.316698E+01  0.316698E+01 -0.360907E+03
-0.201938E+04  0.195982E+01  0.195982E+01 -0.347675E+03
-0.194252E+04  0.220132E+01  0.220132E+01 -0.334442E+03
-0.186567E+04  0.247326E+01  0.247326E+01 -0.321210E+03
-0.178881E+04 -0.160913E+01  0.000000E+00 -0.307978E+03
-0.171195E+04 -0.846396E+00  0.000000E+00 -0.294745E+03
-0.163510E+04 -0.145956E+00  0.000000E+00 -0.281513E+03
-0.155824E+04 -0.127425E+01  0.000000E+00 -0.268280E+03
-0.148138E+04 -0.347310E+00  0.000000E+00 -0.255048E+03
-0.140453E+04 -0.808744E+00  0.000000E+00 -0.241816E+03
-0.132767E+04 -0.125919E+01  0.000000E+00 -0.228583E+03
-0.125081E+04  0.202764E+01  0.202764E+01 -0.215351E+03
-0.117396E+04  0.121798E+01  0.121798E+01 -0.202119E+03
-0.109710E+04  0.114314E+00  0.114314E+00 -0.188886E+03
-0.102024E+04 -0.867551E+00  0.000000E+00 -0.175654E+03
-0.943387E+03 -0.121588E+01  0.000000E+00 -0.162422E+03
-0.866529E+03  0.110657E+01  0.110657E+01 -0.149189E+03
-0.789673E+03 -0.721693E+00  0.000000E+00 -0.135957E+03
-0.712818E+03  0.304114E+00  0.304114E+00 -0.122725E+03
-0.635959E+03 -0.312528E+01  0.000000E+00 -0.109492E+03
-0.559103E+03 -0.212446E+00  0.000000E+00 -0.962603E+02
-0.482245E+03 -0.519165E+00  0.000000E+00 -0.830276E+02
-0.405389E+03  0.228823E+00  0.228823E+00 -0.697955E+02
-0.328534E+03 -0.870388E-02  0.000000E+00 -0.565634E+02
-0.251675E+03 -0.127917E+01  0.000000E+00 -0.433307E+02
-0.174820E+03 -0.894869E+00  0.000000E+00 -0.300985E+02
-0.979643E+02  0.184505E+01  0.184505E+01 -0.168664E+02
-0.211055E+02  0.135470E+01  0.135470E+01 -0.363372E+01
 0.557499E+02 -0.127020E+00  0.000000E+00  0.959841E+01
 0.132551E+03  0.120916E+01  0.120916E+01  0.228212E+02
 0.209224E+03 -0.342123E+00  0.000000E+00  0.360219E+02
 0.285788E+03  0.215720E+01  0.215720E+01  0.492038E+02
 0.362221E+03  0.485000E+01  0.485000E+01  0.623632E+02
 0.438610E+03  0.471027E+01  0.471027E+01  0.755150E+02
 0.514835E+03  0.273908E+01  0.273908E+01  0.886387E+02
 0.591028E+03  0.148915E+01  0.148915E+01  0.101757E+03
 0.667065E+03  0.931128E+00  0.931128E+00  0.114848E+03
 0.743011E+03  0.136211E+01  0.136211E+01  0.127923E+03
 0.818878E+03  0.119704E+01  0.119704E+01  0.140985E+03
 0.894527E+03  0.111621E+01  0.111621E+01  0.154010E+03
 0.970164E+03 -0.203083E+00  0.000000E+00  0.167032E+03
 0.104564E+04  0.263583E+01  0.263583E+01  0.180027E+03
 0.112106E+04  0.192892E+01  0.192892E+01  0.193012E+03
 0.119636E+04  0.235480E+01  0.235480E+01  0.205977E+03
 0.127159E+04  0.160403E+01  0.160403E+01  0.218928E+03
 0.134664E+04  0.197618E+01  0.197618E+01  0.231850E+03
 0.142162E+04  0.787042E+00  0.787042E+00  0.244759E+03
 0.149645E+04  0.324069E+01  0.324069E+01  0.257642E+03
 0.157120E+04  0.196479E+01  0.196479E+01  0.270512E+03
 0.164588E+04  0.501352E+00  0.501352E+00  0.283370E+03
 0.172044E+04  0.806762E+00  0.806762E+00  0.296207E+03
 0.179490E+04 -0.112727E+01  0.000000E+00  0.309027E+03
 0.186920E+04 -0.357187E+01  0.000000E+00  0.321818E+03
 0.194343E+04  0.203377E+01  0.203377E+01  0.334599E+03
 0.201753E+04  0.540164E+00  0.540164E+00  0.347356E+03
 0.209152E+04 -0.277931E+01  0.000000E+00  0.360095E+03
 0.216542E+04 -0.200416E+01  0.000000E+00  0.372819E+03
 0.223920E+04  0.108762E+01  0.108762E+01  0.385520E+03
 0.231291E+04 -0.123893E+01  0.000000E+00  0.398211E+03
 0.238645E+04 -0.128292E+01  0.000000E+00  0.410873E+03
 0.245987E+04 -0.348039E+01  0.000000E+00  0.423514E+03
 0.253320E+04 -0.309848E+01  0.000000E+00  0.436139E+03
 0.260640E+04 -0.372060E+01  0.000000E+00  0.448741E+03
 0.267952E+04 -0.199970E+01  0.000000E+00  0.461330E+03
 0.275255E+04 -0.210853E+01  0.000000E+00  0.473904E+03
 0.282544E+04  0.314611E+00  0.314611E+00  0.486453E+03
 0.289827E+04 -0.285706E+01  0.000000E+00  0.498992E+03
 0.297089E+04 -0.116064E+01  0.000000E+00  0.511495E+03
 0.304348E+04 -0.115295E+00  0.000000E+00  0.523993E+03
 0.311598E+04 -0.493054E-01  0.000000E+00  0.536476E+03
 0.318835E+04 -0.144053E+01  0.000000E+00  0.548936E+03
 0.326060E+04  0.234061E+01  0.234061E+01  0.561374E+03
 0.333274E+04  0.181658E+00  0.181658E+00  0.573794E+03
 0.340477E+04  0.208800E+01  0.208800E+01  0.586196E+03
 0.347674E+04  0.212735E+01  0.212735E+01  0.598587E+03
 0.354858E+04  0.445399E+01  0.445399E+01  0.610956E+03
 0.362027E+04 -0.136544E+00  0.000000E+00  0.623299E+03
 0.369190E+04  0.440971E+01  0.440971E+01  0.635630E+03
 0.376339E+04  0.118808E+01  0.118808E+01  0.647939E+03
 0.383481E+04  0.537350E+01  0.537350E+01  0.660236E+03
 0.390611E+04  0.180577E+01  0.180577E+01  0.672512E+03
 0.397723E+04  0.280318E+01  0.280318E+01  0.684755E+03
 0.404830E+04  0.317654E+01  0.317654E+01  0.696992E+03
 0.411927E+04  0.187721E+01  0.187721E+01  0.709211E+03
 0.419011E+04  0.222716E+01  0.222716E+01  0.721408E+03
 0.426087E+04  0.402410E+00  0.402410E+00  0.733591E+03
 0.433150E+04  0.328940E+00  0.328940E+00  0.745751E+03
 0.440202E+04  0.222795E+01  0.222795E+01  0.757893E+03
 0.447244E+04  0.837646E+00  0.837646E+00  0.770017E+03
 0.454275E+04 -0.920234E+00  0.000000E+00  0.782122E+03
