NDF v9.6h 11Sep15 rev 12Mar16 run 22/02/2026 18:20:41 Filename: 67010116.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 672015.spc                                                                    
str 672015s.str                                                                   
file 672022R1.odf                                                                  
geo 672015g.geo                                                                   
element F    
 depth(at/cm2) element>0 element depth(nm)
-0.451205E+04  0.140123E+02  0.140123E+02 -0.699428E+03
-0.443708E+04  0.174880E+02  0.174880E+02 -0.687808E+03
-0.436212E+04  0.252045E+02  0.252045E+02 -0.676187E+03
-0.428716E+04  0.265310E+02  0.265310E+02 -0.664567E+03
-0.421219E+04  0.310325E+02  0.310325E+02 -0.652947E+03
-0.413723E+04  0.272003E+02  0.272003E+02 -0.641327E+03
-0.406227E+04  0.289393E+02  0.289393E+02 -0.629706E+03
-0.398730E+04  0.277694E+02  0.277694E+02 -0.618086E+03
-0.391234E+04  0.252926E+02  0.252926E+02 -0.606466E+03
-0.383738E+04  0.263221E+02  0.263221E+02 -0.594845E+03
-0.376241E+04  0.242930E+02  0.242930E+02 -0.583225E+03
-0.368745E+04  0.166032E+02  0.166032E+02 -0.571604E+03
-0.361249E+04  0.159976E+02  0.159976E+02 -0.559984E+03
-0.353753E+04  0.127252E+02  0.127252E+02 -0.548364E+03
-0.346256E+04  0.112934E+02  0.112934E+02 -0.536744E+03
-0.338760E+04  0.681005E+01  0.681005E+01 -0.525123E+03
-0.331263E+04  0.470217E+01  0.470217E+01 -0.513503E+03
-0.323767E+04  0.730576E+00  0.730576E+00 -0.501883E+03
-0.316271E+04  0.691966E+01  0.691966E+01 -0.490262E+03
-0.308774E+04  0.447728E+01  0.447728E+01 -0.478642E+03
-0.301278E+04  0.143750E+01  0.143750E+01 -0.467021E+03
-0.293782E+04  0.113843E+01  0.113843E+01 -0.455401E+03
-0.286286E+04 -0.375586E+01  0.000000E+00 -0.443781E+03
-0.278789E+04 -0.835433E+01  0.000000E+00 -0.432161E+03
-0.271293E+04 -0.813591E+01  0.000000E+00 -0.420540E+03
-0.263796E+04 -0.904863E+01  0.000000E+00 -0.408920E+03
-0.256300E+04 -0.280747E+01  0.000000E+00 -0.397300E+03
-0.248804E+04  0.504505E+00  0.504505E+00 -0.385679E+03
-0.241307E+04 -0.369878E+01  0.000000E+00 -0.374059E+03
-0.233811E+04 -0.293362E+01  0.000000E+00 -0.362439E+03
-0.226315E+04  0.629757E+00  0.629757E+00 -0.350818E+03
-0.218819E+04 -0.311689E+01  0.000000E+00 -0.339198E+03
-0.211322E+04  0.478109E+01  0.478109E+01 -0.327578E+03
-0.203826E+04  0.131807E+01  0.131807E+01 -0.315958E+03
-0.196329E+04  0.158710E+01  0.158710E+01 -0.304337E+03
-0.188833E+04  0.266271E+01  0.266271E+01 -0.292717E+03
-0.181337E+04  0.352323E+01  0.352323E+01 -0.281096E+03
-0.173840E+04  0.100456E+02  0.100456E+02 -0.269476E+03
-0.166344E+04  0.533928E+01  0.533928E+01 -0.257856E+03
-0.158848E+04  0.486188E+01  0.486188E+01 -0.246235E+03
-0.151351E+04  0.703780E+01  0.703780E+01 -0.234615E+03
-0.143855E+04  0.661016E+00  0.661016E+00 -0.222995E+03
-0.136359E+04  0.811483E+01  0.811483E+01 -0.211375E+03
-0.128862E+04  0.801930E+01  0.801930E+01 -0.199754E+03
-0.121366E+04  0.770409E+01  0.770409E+01 -0.188134E+03
-0.113870E+04  0.171730E+02  0.171730E+02 -0.176513E+03
-0.106373E+04  0.105612E+02  0.105612E+02 -0.164893E+03
-0.988770E+03  0.671258E+01  0.671258E+01 -0.153273E+03
-0.913807E+03  0.123364E+02  0.123364E+02 -0.141652E+03
-0.838843E+03  0.820061E+01  0.820061E+01 -0.130032E+03
-0.763882E+03  0.149065E+02  0.149065E+02 -0.118412E+03
-0.688919E+03  0.138828E+02  0.138828E+02 -0.106792E+03
-0.613955E+03  0.125376E+02  0.125376E+02 -0.951713E+02
-0.538991E+03  0.189136E+02  0.189136E+02 -0.835509E+02
-0.464028E+03  0.151473E+02  0.151473E+02 -0.719306E+02
-0.389064E+03  0.100957E+02  0.100957E+02 -0.603102E+02
-0.314100E+03  0.172052E+02  0.172052E+02 -0.486898E+02
-0.239137E+03  0.816573E+01  0.816573E+01 -0.370694E+02
-0.164173E+03  0.141550E+02  0.141550E+02 -0.254490E+02
