NDF v9.6h 11Sep15 rev 12Mar16 run 22/02/2026 18:01:51 Filename: 67010117.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 672015.spc                                                                    
str 672015s.str                                                                   
file 672022R1.odf                                                                  
geo 672015g.geo                                                                   
element Cu   
 depth(at/cm2) element>0 element depth(nm)
-0.368998E+04  0.374193E+00  0.374193E+00 -0.823387E+03
-0.362871E+04  0.367512E+00  0.367512E+00 -0.809716E+03
-0.356745E+04  0.324030E+00  0.324030E+00 -0.796045E+03
-0.350618E+04  0.391091E+00  0.391091E+00 -0.782375E+03
-0.344492E+04  0.380007E+00  0.380007E+00 -0.768704E+03
-0.338365E+04  0.410184E+00  0.410184E+00 -0.755034E+03
-0.332239E+04  0.440258E+00  0.440258E+00 -0.741363E+03
-0.326112E+04  0.392474E+00  0.392474E+00 -0.727692E+03
-0.319986E+04  0.394793E+00  0.394793E+00 -0.714021E+03
-0.313859E+04  0.451673E+00  0.451673E+00 -0.700350E+03
-0.307733E+04  0.363080E+00  0.363080E+00 -0.686680E+03
-0.301606E+04  0.342731E+00  0.342731E+00 -0.673009E+03
-0.295480E+04  0.399313E+00  0.399313E+00 -0.659338E+03
-0.289353E+04  0.415073E+00  0.415073E+00 -0.645668E+03
-0.283227E+04  0.331555E+00  0.331555E+00 -0.631997E+03
-0.277100E+04  0.333872E+00  0.333872E+00 -0.618326E+03
-0.270974E+04  0.430545E+00  0.430545E+00 -0.604655E+03
-0.264847E+04  0.365425E+00  0.365425E+00 -0.590985E+03
-0.258721E+04  0.443792E+00  0.443792E+00 -0.577314E+03
-0.252594E+04  0.387723E+00  0.387723E+00 -0.563643E+03
-0.246468E+04  0.429904E+00  0.429904E+00 -0.549972E+03
-0.240341E+04  0.480843E+00  0.480843E+00 -0.536301E+03
-0.234215E+04  0.393796E+00  0.393796E+00 -0.522631E+03
-0.228089E+04  0.422336E+00  0.422336E+00 -0.508960E+03
-0.221962E+04  0.415289E+00  0.415289E+00 -0.495290E+03
-0.215836E+04  0.355179E+00  0.355179E+00 -0.481619E+03
-0.209709E+04  0.542478E+00  0.542478E+00 -0.467948E+03
-0.203583E+04  0.468943E+00  0.468943E+00 -0.454277E+03
-0.197456E+04  0.496664E+00  0.496664E+00 -0.440607E+03
-0.191330E+04  0.620803E+00  0.620803E+00 -0.426936E+03
-0.185203E+04  0.393652E+00  0.393652E+00 -0.413265E+03
-0.179077E+04  0.455870E+00  0.455870E+00 -0.399595E+03
-0.172950E+04  0.530562E+00  0.530562E+00 -0.385924E+03
-0.166824E+04  0.465001E+00  0.465001E+00 -0.372253E+03
-0.160697E+04  0.616658E+00  0.616658E+00 -0.358582E+03
-0.154571E+04  0.623284E+00  0.623284E+00 -0.344912E+03
-0.148444E+04  0.593713E+00  0.593713E+00 -0.331241E+03
-0.142318E+04  0.835235E+00  0.835235E+00 -0.317570E+03
-0.136191E+04  0.598006E+00  0.598006E+00 -0.303899E+03
-0.130065E+04  0.578477E+00  0.578477E+00 -0.290228E+03
-0.123938E+04  0.584938E+00  0.584938E+00 -0.276558E+03
-0.117812E+04  0.774977E+00  0.774977E+00 -0.262887E+03
-0.111685E+04  0.858397E+00  0.858397E+00 -0.249217E+03
-0.105559E+04  0.855380E+00  0.855380E+00 -0.235546E+03
-0.994324E+03  0.836832E+00  0.836832E+00 -0.221875E+03
-0.933059E+03  0.117166E+01  0.117166E+01 -0.208204E+03
-0.871794E+03  0.887826E+00  0.887826E+00 -0.194533E+03
-0.810528E+03  0.999265E+00  0.999265E+00 -0.180863E+03
-0.749263E+03  0.108438E+01  0.108438E+01 -0.167192E+03
-0.687998E+03  0.124431E+01  0.124431E+01 -0.153521E+03
-0.626736E+03  0.169941E+01  0.169941E+01 -0.139851E+03
-0.565471E+03  0.189486E+01  0.189486E+01 -0.126180E+03
-0.504205E+03  0.239820E+01  0.239820E+01 -0.112509E+03
-0.442940E+03  0.328982E+01  0.328982E+01 -0.988384E+02
-0.381675E+03  0.340625E+01  0.340625E+01 -0.851676E+02
-0.320410E+03  0.396904E+01  0.396904E+01 -0.714968E+02
-0.259145E+03  0.468672E+01  0.468672E+01 -0.578260E+02
-0.197880E+03  0.522238E+01  0.522238E+01 -0.441552E+02
-0.136615E+03  0.624200E+01  0.624200E+01 -0.304844E+02
-0.753521E+02  0.651228E+01  0.651228E+01 -0.168142E+02
-0.140870E+02  0.714185E+01  0.714185E+01 -0.314340E+01
 0.471781E+02  0.678087E+01  0.678087E+01  0.105274E+02
 0.108425E+03  0.706476E+01  0.706476E+01  0.241942E+02
 0.169592E+03  0.700527E+01  0.700527E+01  0.378431E+02
 0.230666E+03  0.678665E+01  0.678665E+01  0.514713E+02
 0.291648E+03  0.696622E+01  0.696622E+01  0.650789E+02
 0.352567E+03  0.677122E+01  0.677122E+01  0.786723E+02
 0.413398E+03  0.590781E+01  0.590781E+01  0.922462E+02
 0.474186E+03  0.586920E+01  0.586920E+01  0.105811E+03
 0.534896E+03  0.551111E+01  0.551111E+01  0.119358E+03
 0.595513E+03  0.536730E+01  0.536730E+01  0.132884E+03
 0.656077E+03  0.485185E+01  0.485185E+01  0.146398E+03
 0.716524E+03  0.461736E+01  0.461736E+01  0.159886E+03
 0.776930E+03  0.415151E+01  0.415151E+01  0.173365E+03
 0.837248E+03  0.490183E+01  0.490183E+01  0.186825E+03
 0.897541E+03  0.461633E+01  0.461633E+01  0.200279E+03
 0.957689E+03  0.426923E+01  0.426923E+01  0.213700E+03
 0.101783E+04  0.423849E+01  0.423849E+01  0.227120E+03
 0.107776E+04  0.366227E+01  0.366227E+01  0.240492E+03
 0.113771E+04  0.309637E+01  0.309637E+01  0.253871E+03
 0.119756E+04  0.311325E+01  0.311325E+01  0.267226E+03
 0.125740E+04  0.298168E+01  0.298168E+01  0.280579E+03
 0.131709E+04  0.372540E+01  0.372540E+01  0.293898E+03
 0.137675E+04  0.409841E+01  0.409841E+01  0.307209E+03
 0.143629E+04  0.354668E+01  0.354668E+01  0.320495E+03
 0.149577E+04  0.359195E+01  0.359195E+01  0.333768E+03
 0.155517E+04  0.397341E+01  0.397341E+01  0.347024E+03
 0.161451E+04  0.344247E+01  0.344247E+01  0.360264E+03
 0.167380E+04  0.434258E+01  0.434258E+01  0.373494E+03
 0.173299E+04  0.382585E+01  0.382585E+01  0.386702E+03
 0.179203E+04  0.376416E+01  0.376416E+01  0.399876E+03
 0.185106E+04  0.378077E+01  0.378077E+01  0.413047E+03
 0.191007E+04  0.375811E+01  0.375811E+01  0.426215E+03
 0.196893E+04  0.444441E+01  0.444441E+01  0.439350E+03
 0.202779E+04  0.369764E+01  0.369764E+01  0.452484E+03
 0.208648E+04  0.348544E+01  0.348544E+01  0.465581E+03
 0.214509E+04  0.359584E+01  0.359584E+01  0.478660E+03
 0.220363E+04  0.261065E+01  0.261065E+01  0.491721E+03
 0.226215E+04  0.336980E+01  0.336980E+01  0.504779E+03
 0.232060E+04  0.316123E+01  0.316123E+01  0.517823E+03
 0.237893E+04  0.291589E+01  0.291589E+01  0.530839E+03
 0.243709E+04  0.392620E+01  0.392620E+01  0.543815E+03
 0.249528E+04  0.285203E+01  0.285203E+01  0.556802E+03
 0.255344E+04  0.213368E+01  0.213368E+01  0.569778E+03
 0.261143E+04  0.264599E+01  0.264599E+01  0.582719E+03
 0.266943E+04  0.188476E+01  0.188476E+01  0.595660E+03
 0.272733E+04  0.253636E+01  0.253636E+01  0.608580E+03
 0.278514E+04  0.218151E+01  0.218151E+01  0.621481E+03
 0.284284E+04  0.178446E+01  0.178446E+01  0.634355E+03
 0.290052E+04  0.240080E+01  0.240080E+01  0.647226E+03
 0.295806E+04  0.169158E+01  0.169158E+01  0.660067E+03
 0.301553E+04  0.815233E+00  0.815233E+00  0.672890E+03
 0.307297E+04  0.156343E+01  0.156343E+01  0.685707E+03
 0.313036E+04  0.169644E+00  0.169644E+00  0.698512E+03
 0.318759E+04  0.797683E+00  0.797683E+00  0.711285E+03
 0.324475E+04  0.296859E+00  0.296859E+00  0.724038E+03
 0.330190E+04  0.551742E+00  0.551742E+00  0.736791E+03
 0.335887E+04  0.811762E+00  0.811762E+00  0.749504E+03
 0.341584E+04  0.113777E+00  0.113777E+00  0.762216E+03
 0.347277E+04 -0.583193E-01  0.000000E+00  0.774919E+03
 0.352950E+04  0.577786E-01  0.577786E-01  0.787578E+03
