NDF v9.6h 11Sep15 rev 12Mar16 run 03/05/2026 20:05:40 Filename: 67010112.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 672015.spc                                                                    
str 672015s.str                                                                   
file 672024R1.odf                                                                  
geo 672015g.geo                                                                   
element K    
 depth(at/cm2) element>0 element depth(nm)
-0.378062E+04  0.365726E-01  0.365726E-01 -0.607151E+03
-0.370705E+04 -0.658346E-01  0.000000E+00 -0.595336E+03
-0.363347E+04 -0.800338E-01  0.000000E+00 -0.583520E+03
-0.355990E+04 -0.686649E-01  0.000000E+00 -0.571705E+03
-0.348633E+04  0.729784E-01  0.729784E-01 -0.559890E+03
-0.341276E+04 -0.151099E-01  0.000000E+00 -0.548075E+03
-0.333919E+04  0.167590E+00  0.167590E+00 -0.536259E+03
-0.326561E+04 -0.347733E-01  0.000000E+00 -0.524444E+03
-0.319204E+04 -0.125610E+00  0.000000E+00 -0.512629E+03
-0.311847E+04  0.667126E-01  0.667126E-01 -0.500814E+03
-0.304490E+04 -0.189089E+00  0.000000E+00 -0.488998E+03
-0.297133E+04 -0.186617E-02  0.000000E+00 -0.477183E+03
-0.289776E+04  0.214589E+00  0.214589E+00 -0.465368E+03
-0.282418E+04  0.808744E-01  0.808744E-01 -0.453552E+03
-0.275061E+04  0.358249E-01  0.358249E-01 -0.441737E+03
-0.267704E+04  0.537186E-01  0.537186E-01 -0.429922E+03
-0.260347E+04  0.110172E+00  0.110172E+00 -0.418106E+03
-0.252990E+04  0.940083E-01  0.940083E-01 -0.406291E+03
-0.245633E+04 -0.292709E-02  0.000000E+00 -0.394476E+03
-0.238276E+04  0.221723E-01  0.221723E-01 -0.382661E+03
-0.230919E+04  0.243049E+00  0.243049E+00 -0.370846E+03
-0.223561E+04  0.509157E-01  0.509157E-01 -0.359030E+03
-0.216204E+04 -0.609016E-01  0.000000E+00 -0.347215E+03
-0.208847E+04 -0.280645E+00  0.000000E+00 -0.335400E+03
-0.201490E+04 -0.285356E+00  0.000000E+00 -0.323584E+03
-0.194133E+04 -0.505035E+00  0.000000E+00 -0.311769E+03
-0.186776E+04 -0.750397E+00  0.000000E+00 -0.299954E+03
-0.179418E+04 -0.966946E+00  0.000000E+00 -0.288138E+03
-0.172061E+04 -0.100125E+01  0.000000E+00 -0.276323E+03
-0.164704E+04 -0.173185E+01  0.000000E+00 -0.264508E+03
-0.157347E+04 -0.203502E+01  0.000000E+00 -0.252693E+03
-0.149990E+04 -0.196097E+01  0.000000E+00 -0.240877E+03
-0.142633E+04 -0.253296E+01  0.000000E+00 -0.229062E+03
-0.135275E+04 -0.287377E+01  0.000000E+00 -0.217247E+03
-0.127918E+04 -0.260918E+01  0.000000E+00 -0.205432E+03
-0.120561E+04 -0.283194E+01  0.000000E+00 -0.193616E+03
-0.113204E+04 -0.238784E+01  0.000000E+00 -0.181801E+03
-0.105847E+04 -0.236392E+01  0.000000E+00 -0.169986E+03
-0.984896E+03 -0.211176E+01  0.000000E+00 -0.158170E+03
-0.911326E+03 -0.208323E+01  0.000000E+00 -0.146355E+03
-0.837755E+03 -0.134474E+01  0.000000E+00 -0.134540E+03
-0.764182E+03 -0.342648E+00  0.000000E+00 -0.122724E+03
-0.690612E+03 -0.612509E+00  0.000000E+00 -0.110909E+03
-0.617041E+03 -0.245321E+00  0.000000E+00 -0.990942E+02
-0.543468E+03  0.105341E+01  0.105341E+01 -0.872786E+02
-0.469897E+03  0.685454E+00  0.685454E+00 -0.754635E+02
-0.396327E+03 -0.568434E-02  0.000000E+00 -0.636484E+02
-0.322753E+03 -0.416852E+00  0.000000E+00 -0.518328E+02
-0.249183E+03 -0.230716E+00  0.000000E+00 -0.400177E+02
-0.175609E+03  0.235880E+00  0.235880E+00 -0.282021E+02
-0.102039E+03 -0.657500E+00  0.000000E+00 -0.163870E+02
-0.284685E+02 -0.301085E+00  0.000000E+00 -0.457191E+01
 0.451051E+02  0.604977E+00  0.604977E+00  0.724369E+01
 0.118586E+03  0.364802E+00  0.364802E+00  0.190444E+02
 0.191986E+03 -0.927988E-01  0.000000E+00  0.308321E+02
 0.265301E+03 -0.629109E+00  0.000000E+00  0.426063E+02
 0.338536E+03 -0.886649E+00  0.000000E+00  0.543675E+02
 0.411674E+03 -0.394053E-01  0.000000E+00  0.661131E+02
 0.484655E+03 -0.660397E+00  0.000000E+00  0.778335E+02
 0.557585E+03 -0.227592E-01  0.000000E+00  0.895458E+02
 0.630435E+03  0.145845E+00  0.145845E+00  0.101245E+03
 0.703165E+03 -0.746487E+00  0.000000E+00  0.112925E+03
 0.775748E+03 -0.836210E+00  0.000000E+00  0.124582E+03
 0.848284E+03 -0.441140E+00  0.000000E+00  0.136231E+03
 0.920757E+03 -0.436358E+00  0.000000E+00  0.147870E+03
 0.993102E+03 -0.113364E+00  0.000000E+00  0.159488E+03
 0.106529E+04 -0.888108E+00  0.000000E+00  0.171081E+03
 0.113748E+04 -0.442532E+00  0.000000E+00  0.182675E+03
 0.120953E+04  0.125766E+01  0.125766E+01  0.194245E+03
 0.128145E+04 -0.140839E+00  0.000000E+00  0.205796E+03
 0.135332E+04 -0.852974E+00  0.000000E+00  0.217337E+03
 0.142509E+04 -0.324546E+00  0.000000E+00  0.228863E+03
 0.149674E+04 -0.108279E+01  0.000000E+00  0.240370E+03
 0.156828E+04  0.638006E+00  0.638006E+00  0.251859E+03
 0.163974E+04 -0.264050E+00  0.000000E+00  0.263335E+03
 0.171114E+04 -0.729615E+00  0.000000E+00  0.274802E+03
 0.178237E+04  0.950583E+00  0.950583E+00  0.286241E+03
 0.185352E+04 -0.664553E+00  0.000000E+00  0.297668E+03
 0.192460E+04 -0.911340E+00  0.000000E+00  0.309082E+03
 0.199559E+04  0.139159E+00  0.139159E+00  0.320484E+03
 0.206646E+04 -0.224034E+00  0.000000E+00  0.331864E+03
 0.213723E+04 -0.499955E+00  0.000000E+00  0.343229E+03
 0.220791E+04  0.110233E+01  0.110233E+01  0.354581E+03
 0.227850E+04  0.210116E+00  0.210116E+00  0.365917E+03
 0.234898E+04  0.112354E+01  0.112354E+01  0.377236E+03
 0.241936E+04  0.696345E+00  0.696345E+00  0.388539E+03
 0.248964E+04  0.519968E+00  0.519968E+00  0.399825E+03
 0.255983E+04  0.365718E-01  0.365718E-01  0.411098E+03
 0.262992E+04 -0.851376E+00  0.000000E+00  0.422355E+03
 0.269993E+04 -0.149512E-02  0.000000E+00  0.433597E+03
 0.276983E+04  0.693915E+00  0.693915E+00  0.444822E+03
 0.283961E+04  0.570626E+00  0.570626E+00  0.456030E+03
 0.290930E+04  0.102325E+01  0.102325E+01  0.467222E+03
 0.297890E+04  0.642544E+00  0.642544E+00  0.478398E+03
 0.304839E+04  0.347472E-01  0.347472E-01  0.489559E+03
 0.311781E+04  0.363391E+00  0.363391E+00  0.500707E+03
 0.318712E+04 -0.164893E+00  0.000000E+00  0.511838E+03
 0.325626E+04 -0.570790E+00  0.000000E+00  0.522942E+03
 0.332537E+04 -0.116711E+00  0.000000E+00  0.534040E+03
 0.339441E+04 -0.391158E+00  0.000000E+00  0.545128E+03
 0.346328E+04 -0.129240E+00  0.000000E+00  0.556188E+03
 0.353209E+04 -0.717438E+00  0.000000E+00  0.567238E+03
 0.360082E+04 -0.231104E+01  0.000000E+00  0.578277E+03
 0.366942E+04 -0.180872E+01  0.000000E+00  0.589293E+03
 0.373793E+04 -0.158154E+01  0.000000E+00  0.600295E+03
