 File:671121.spo  Solution Type:Thick  fitting 1231 channels (  70-1300)
 Channel#, E(keV),   Data,        Fit, Residual,    Data-Fit
   70,   0.420,      627.,        1.85,   -0.01,      625.15
   71,   0.441,      568.,        3.22,   -0.04,      564.78
   72,   0.461,      567.,        5.22,   -0.02,      561.78
   73,   0.481,      558.,        7.86,   -0.05,      550.14
   74,   0.501,      535.,       10.92,   -0.06,      524.08
   75,   0.521,      549.,       13.93,   -0.06,      535.07
   76,   0.541,      530.,       16.32,   -0.11,      513.68
   77,   0.561,      546.,       17.47,   -0.07,      528.53
   78,   0.581,      507.,       17.12,   -0.01,      489.88
   79,   0.601,      468.,       15.43,   -0.02,      452.57
   80,   0.621,      521.,       12.89,    0.02,      508.11
   81,   0.641,      492.,       10.18,    0.00,      481.82
   82,   0.661,      472.,        8.06,   -0.02,      463.94
   83,   0.682,      490.,        7.14,    0.02,      482.86
   84,   0.702,      452.,        7.82,   -0.02,      444.18
   85,   0.722,      450.,       10.69,   -0.13,      439.31
   86,   0.742,      443.,       16.40,   -0.07,      426.60
   87,   0.762,      455.,       25.75,   -0.15,      429.25
   88,   0.782,      434.,       39.03,   -0.15,      394.97
   89,   0.802,      506.,       55.83,    0.02,      450.17
   90,   0.822,      495.,       74.24,    0.04,      420.76
   91,   0.842,      489.,       91.15,    0.12,      397.85
   92,   0.862,      559.,      102.98,    0.26,      456.02
   93,   0.882,      504.,      107.02,    0.08,      396.98
   94,   0.903,      496.,      102.49,    0.02,      393.51
   95,   0.923,      487.,       91.13,   -0.02,      395.87
   96,   0.943,      445.,       76.28,   -0.39,      368.72
   97,   0.963,      445.,       61.65,   -0.24,      383.35
   98,   0.983,      402.,       50.09,   -0.17,      351.91
   99,   1.003,      395.,       42.71,   -0.26,      352.29
  100,   1.023,      429.,       38.95,    0.04,      390.05
  101,   1.043,      424.,       37.29,   -0.04,      386.71
  102,   1.063,      395.,       36.13,    0.12,      358.87
  103,   1.083,      412.,       34.27,    0.16,      377.73
  104,   1.103,      377.,       31.05,   -0.08,      345.95
  105,   1.123,      389.,       26.51,   -0.27,      362.49
  106,   1.144,      376.,       21.18,   -0.34,      354.82
  107,   1.164,      351.,       15.85,   -0.30,      335.15
  108,   1.184,      365.,       11.07,   -0.29,      353.93
  109,   1.204,      360.,        7.23,   -0.27,      352.77
  110,   1.224,      392.,        4.39,   -0.38,      387.61
  111,   1.244,      341.,        2.50,   -0.10,      338.50
  112,   1.264,      376.,        1.34,   -0.15,      374.66
  113,   1.284,      358.,        0.70,    0.27,      357.30
  114,   1.304,      356.,        0.40,    0.22,      355.60
