 File:Análise amostras  Solution Type:Thick  fitting 1231 channels (  70-1300)
 Channel#, E(keV),   Data,        Fit, Residual,    Data-Fit
   70,   0.421,      957.,       85.00,   -0.05,      872.00
   71,   0.441,     1076.,      147.97,   -0.02,      928.03
   72,   0.461,     1095.,      241.81,    0.02,      853.19
   73,   0.481,     1163.,      366.86,    0.07,      796.14
   74,   0.502,     1330.,      512.74,    0.07,      817.26
   75,   0.522,     1521.,      656.87,   -0.01,      864.13
   76,   0.542,     1598.,      768.99,   -0.01,      829.01
   77,   0.562,     1517.,      821.38,   -0.04,      695.62
   78,   0.582,     1402.,      800.59,   -0.09,      601.41
   79,   0.602,     1412.,      713.77,   -0.18,      698.23
   80,   0.622,     1190.,      585.61,   -0.23,      604.39
   81,   0.642,     1083.,      447.62,   -0.22,      635.38
   82,   0.662,      933.,      325.94,   -0.12,      607.06
   83,   0.682,      879.,      233.76,   -0.06,      645.24
   84,   0.702,      834.,      171.28,    0.02,      662.72
   85,   0.722,      804.,      130.62,    0.06,      673.38
   86,   0.742,      781.,      102.60,    0.08,      678.40
   87,   0.763,      706.,       80.45,    0.09,      625.55
   88,   0.783,      701.,       61.27,    0.05,      639.73
   89,   0.803,      670.,       44.89,    0.01,      625.11
   90,   0.823,      652.,       32.13,   -0.08,      619.87
   91,   0.843,      655.,       23.00,   -0.03,      632.00
   92,   0.863,      651.,       17.00,    0.02,      634.00
   93,   0.883,      629.,       13.09,    0.13,      615.91
   94,   0.903,      655.,       10.36,    0.13,      644.64
   95,   0.923,      628.,        8.12,    0.16,      619.88
   96,   0.943,      620.,        6.12,    0.06,      613.88
   97,   0.963,      575.,        4.34,   -0.09,      570.66
   98,   0.983,      630.,        2.97,   -0.26,      627.03
   99,   1.003,      577.,        2.05,   -0.21,      574.95
  100,   1.024,      545.,        1.49,   -0.18,      543.51
  101,   1.044,      586.,        1.21,   -0.11,      584.79
  102,   1.064,      601.,        1.08,   -0.14,      599.92
  103,   1.084,      596.,        0.97,   -0.11,      595.03
  104,   1.104,      574.,        0.86,    0.03,      573.14
  105,   1.124,      601.,        0.72,    0.02,      600.28
  106,   1.144,      549.,        0.55,    0.22,      548.45
  107,   1.164,      573.,        0.38,    0.11,      572.62
  108,   1.184,      574.,        0.24,    0.33,      573.76
  109,   1.204,      600.,        0.14,    0.20,      599.86
  110,   1.224,      548.,        0.07,    0.18,      547.93
  111,   1.244,      606.,        0.03,    0.00,      605.97
  112,   1.264,      552.,        0.00,   -0.15,      552.00
  113,   1.285,      536.,        0.00,   -0.40,      536.00
  114,   1.305,      526.,        0.00,   -0.29,      526.00
  115,   1.325,      522.,        0.01,   -0.55,      521.99
  116,   1.345,      539.,        0.01,   -0.77,      538.99
  117,   1.365,      584.,        0.05,   -0.53,      583.95
  118,   1.385,      564.,        0.13,   -0.28,      563.87
  119,   1.405,      517.,        0.25,    0.14,      516.75
  120,   1.425,      553.,        0.47,    0.34,      552.53
  121,   1.445,      586.,        0.81,   -0.05,      585.19
  122,   1.465,      565.,        1.31,    0.20,      563.69
  123,   1.485,      563.,        1.96,    0.54,      561.04
  124,   1.505,      557.,        2.71,    0.51,      554.29
  125,   1.525,      602.,        3.44,    0.53,      598.56
  126,   1.546,      576.,        4.02,    0.04,      571.98
  127,   1.566,      550.,        4.30,   -0.50,      545.70
  128,   1.586,      584.,        4.22,   -0.93,      579.78
  129,   1.606,      539.,        3.80,   -1.57,      535.20
  130,   1.626,      555.,        3.12,   -1.69,      551.88
  131,   1.646,      538.,        2.35,   -1.87,      535.65
  132,   1.666,      571.,        1.66,   -2.42,      569.34
  133,   1.686,      627.,        1.11,   -1.86,      625.89
  134,   1.706,      628.,        0.82,   -1.21,      627.18
  135,   1.726,      612.,        0.77,    0.00,      611.23
  136,   1.746,      670.,        1.09,    0.94,      668.91
  137,   1.766,      706.,        1.77,    1.07,      704.23
  138,   1.786,      778.,        3.16,    1.30,      774.84
  139,   1.807,      750.,        5.40,    1.99,      744.60
  140,   1.827,      763.,        8.78,    1.65,      754.22
  141,   1.847,      765.,       13.56,    1.52,      751.44
  142,   1.867,      803.,       19.86,    0.77,      783.14
  143,   1.887,      770.,       27.70,    0.00,      742.30
  144,   1.907,      816.,       37.05,   -0.41,      778.95
  145,   1.927,      814.,       48.10,   -0.58,      765.90
  146,   1.947,      806.,       61.36,   -1.45,      744.64
  147,   1.967,      880.,       77.67,   -1.76,      802.33
  148,   1.987,      913.,       97.80,   -2.15,      815.20
  149,   2.007,      903.,      122.53,   -2.35,      780.47
  150,   2.027,      943.,      154.04,   -2.19,      788.96
  151,   2.047,     1070.,      201.25,   -2.40,      868.75
  152,   2.068,     1174.,      291.46,   -2.14,      882.54
  153,   2.088,     1472.,      490.39,   -1.61,      981.61
  154,   2.108,     1868.,      931.36,   -0.93,      936.64
  155,   2.128,     2944.,     1845.62,   -0.73,     1098.38
  156,   2.148,     4750.,     3575.79,   -0.11,     1174.21
  157,   2.168,     7992.,     6540.36,    0.47,     1451.64
  158,   2.188,    12616.,    11121.50,    1.34,     1494.50
  159,   2.208,    19192.,    17472.28,    2.36,     1719.72
  160,   2.228,    26952.,    25299.09,    3.05,     1652.91
  161,   2.248,    35472.,    33733.60,    3.05,     1738.40
  162,   2.268,    43552.,    41416.83,    2.48,     2135.17
  163,   2.288,    48352.,    46839.09,    1.70,     1512.91
  164,   2.308,    49632.,    48837.23,    0.45,      794.77
  165,   2.329,    46976.,    47032.56,   -0.66,      -56.56
  166,   2.349,    41696.,    41977.60,   -2.13,     -281.60
  167,   2.369,    33952.,    34936.33,   -3.16,     -984.33
  168,   2.389,    26608.,    27401.72,   -3.57,     -793.72
  169,   2.409,    19896.,    20599.19,   -3.42,     -703.19
  170,   2.429,    14584.,    15191.54,   -2.61,     -607.54
  171,   2.449,    11048.,    11266.94,   -1.31,     -218.94
  172,   2.469,     8360.,     8538.03,   -0.97,     -178.03
  173,   2.489,     6912.,     6602.75,    0.18,      309.25
  174,   2.509,     5462.,     5135.26,    1.30,      326.74
  175,   2.529,     4250.,     3958.01,    2.41,      291.99
  176,   2.549,     3346.,     3015.69,    2.63,      330.31
  177,   2.569,     2659.,     2309.09,    3.02,      349.91
  178,   2.590,     2315.,     1838.64,    2.13,      476.36
  179,   2.610,     1948.,     1579.13,    1.09,      368.87
  180,   2.630,     1864.,     1481.35,    0.62,      382.65
  181,   2.650,     1942.,     1485.36,   -0.05,      456.64
  182,   2.670,     1996.,     1532.76,    0.22,      463.24
  183,   2.690,     2156.,     1573.78,   -0.15,      582.22
  184,   2.710,     2147.,     1571.05,   -0.16,      575.95
  185,   2.730,     2166.,     1502.74,    0.58,      663.26
  186,   2.750,     1979.,     1365.03,    0.60,      613.97
  187,   2.770,     1812.,     1171.28,    1.35,      640.72
  188,   2.790,     1553.,      946.99,    0.38,      606.01
  189,   2.810,     1460.,      721.42,   -0.02,      738.58
  190,   2.830,     1235.,      519.15,   -0.49,      715.85
  191,   2.851,     1110.,      355.40,   -0.41,      754.60
  192,   2.871,      975.,      235.65,    0.45,      739.35
  193,   2.891,      971.,      158.18,    1.74,      812.82
  194,   2.911,      962.,      118.18,    2.55,      843.82
  195,   2.931,      970.,      111.18,    3.09,      858.82
  196,   2.951,     1025.,      134.12,    3.33,      890.88
  197,   2.971,     1105.,      184.74,    3.81,      920.26
  198,   2.991,     1157.,      259.40,    2.84,      897.60
  199,   3.011,     1258.,      351.26,    2.24,      906.74
  200,   3.031,     1326.,      448.91,    1.57,      877.09
  201,   3.051,     1453.,      537.40,    0.25,      915.60
  202,   3.071,     1419.,      601.45,   -0.14,      817.55
  203,   3.091,     1516.,      630.30,   -0.10,      885.70
  204,   3.112,     1463.,      620.95,   -0.85,      842.05
  205,   3.132,     1439.,      579.67,   -0.41,      859.33
  206,   3.152,     1450.,      520.25,   -0.25,      929.75
  207,   3.172,     1363.,      459.46,    0.25,      903.54
  208,   3.192,     1255.,      412.38,    0.27,      842.62
  209,   3.212,     1304.,      388.65,    0.74,      915.35
  210,   3.232,     1290.,      390.67,    0.78,      899.33
  211,   3.252,     1262.,      413.67,   -0.17,      848.33
  212,   3.272,     1323.,      448.12,   -0.46,      874.88
  213,   3.292,     1365.,      482.18,   -0.47,      882.82
  214,   3.312,     1367.,      505.90,   -0.52,      861.10
  215,   3.332,     1377.,      512.72,   -0.50,      864.28
  216,   3.352,     1383.,      500.65,    0.40,      882.35
  217,   3.373,     1339.,      471.94,    0.63,      867.06
  218,   3.393,     1344.,      430.83,    0.61,      913.17
  219,   3.413,     1250.,      382.82,    0.76,      867.18
  220,   3.433,     1230.,      334.11,    0.61,      895.89
  221,   3.453,     1182.,      292.16,   -0.24,      889.84
  222,   3.473,     1130.,      267.55,   -0.12,      862.45
  223,   3.493,     1140.,      275.36,   -0.51,      864.64
  224,   3.513,     1174.,      335.32,   -0.36,      838.68
  225,   3.533,     1304.,      471.22,   -0.02,      832.78
  226,   3.553,     1586.,      706.22,   -0.05,      879.78
  227,   3.573,     1932.,     1055.36,    0.21,      876.64
  228,   3.593,     2338.,     1514.29,   -0.54,      823.71
  229,   3.613,     2986.,     2050.21,    0.18,      935.79
  230,   3.634,     3484.,     2598.71,    0.46,      885.29
  231,   3.654,     3948.,     3072.73,    0.26,      875.27
  232,   3.674,     4138.,     3384.13,   -0.43,      753.87
  233,   3.694,     4354.,     3470.91,   -1.19,      883.09
  234,   3.714,     4186.,     3319.37,   -1.96,      866.63
  235,   3.734,     3846.,     2972.51,   -2.03,      873.49
  236,   3.754,     3365.,     2519.96,   -2.02,      845.04
  237,   3.774,     2873.,     2074.92,   -1.59,      798.08
  238,   3.794,     2630.,     1747.83,   -2.06,      882.17
  239,   3.814,     2527.,     1624.34,   -2.85,      902.66
  240,   3.834,     2734.,     1750.68,   -2.97,      983.32
  241,   3.854,     3122.,     2126.10,   -2.94,      995.90
  242,   3.874,     3651.,     2699.83,   -1.95,      951.17
  243,   3.895,     4326.,     3375.75,   -1.15,      950.25
  244,   3.915,     5126.,     4026.53,   -0.19,     1099.47
  245,   3.935,     5692.,     4519.43,    0.03,     1172.57
  246,   3.955,     5974.,     4748.52,   -0.30,     1225.48
  247,   3.975,     5972.,     4662.86,    0.45,     1309.14
  248,   3.995,     5628.,     4278.55,    1.15,     1349.45
  249,   4.015,     5036.,     3670.72,    1.61,     1365.28
  250,   4.035,     4310.,     2947.46,    2.16,     1362.54
  251,   4.055,     3629.,     2218.55,    1.77,     1410.45
  252,   4.075,     2984.,     1570.05,    1.03,     1413.95
  253,   4.095,     2550.,     1052.70,    0.48,     1497.30
  254,   4.115,     2278.,      684.40,    1.16,     1593.60
  255,   4.135,     1984.,      462.82,    1.99,     1521.18
  256,   4.156,     1953.,      382.55,    2.97,     1570.45
  257,   4.176,     2052.,      454.59,    4.66,     1597.41
  258,   4.196,     2356.,      729.42,    4.32,     1626.58
  259,   4.216,     2957.,     1330.84,    2.53,     1626.16
  260,   4.236,     4170.,     2505.25,    1.40,     1664.75
  261,   4.256,     6414.,     4684.21,   -0.35,     1729.79
  262,   4.276,     9984.,     8541.54,   -1.43,     1442.46
  263,   4.296,    16392.,    14997.62,   -0.91,     1394.38
  264,   4.316,    26368.,    25109.43,   -0.24,     1258.57
  265,   4.336,    40576.,    39792.62,    1.05,      783.38
  266,   4.356,    60208.,    59384.91,    2.57,      823.09
  267,   4.376,    84864.,    83166.63,    3.93,     1697.37
  268,   4.396,   110624.,   109055.14,    4.67,     1568.86
  269,   4.417,   135552.,   133707.89,    4.68,     1844.11
  270,   4.437,   154880.,   153148.98,    3.93,     1731.02
  271,   4.457,   164928.,   163794.41,    2.32,     1133.59
  272,   4.477,   163840.,   163532.11,   -0.18,      307.89
  273,   4.497,   151744.,   152400.78,   -2.97,     -656.78
  274,   4.517,   130912.,   132580.67,   -5.58,    -1668.67
  275,   4.537,   105696.,   107698.88,   -7.27,    -2002.88
  276,   4.557,    79648.,    81762.29,   -8.05,    -2114.29
  277,   4.577,    56176.,    58165.54,   -7.35,    -1989.54
  278,   4.597,    37840.,    39110.54,   -5.92,    -1270.54
  279,   4.617,    25152.,    25546.99,   -4.06,     -394.99
  280,   4.637,    17112.,    17505.40,   -2.26,     -393.40
  281,   4.657,    15188.,    14570.52,   -0.95,      617.48
  282,   4.678,    16864.,    16255.00,   -0.15,      609.00
  283,   4.698,    22624.,    22137.47,   -0.07,      486.53
  284,   4.718,    32128.,    31758.50,   -1.72,      369.50
  285,   4.738,    44720.,    44377.55,   -2.65,      342.45
  286,   4.758,    59536.,    58754.05,   -3.76,      781.95
  287,   4.778,    74720.,    73111.84,   -3.67,     1608.16
  288,   4.798,    87200.,    85367.13,   -1.48,     1832.87
  289,   4.818,    96000.,    93575.17,    1.11,     2424.83
  290,   4.838,    99616.,    96436.35,    4.55,     3179.65
  291,   4.858,    97280.,    93645.80,    7.77,     3634.20
  292,   4.878,    90592.,    85941.49,   10.13,     4650.51
  293,   4.898,    79360.,    74837.36,   11.79,     4522.64
  294,   4.918,    66592.,    62173.33,   12.53,     4418.67
  295,   4.939,    53968.,    49675.44,   11.79,     4292.56
  296,   4.959,    42976.,    38671.58,   10.38,     4304.42
