 File:672018.spo  Solution Type:Thick  fitting  891 channels ( 110-1000)
 Channel#, E(keV),   Data,        Fit, Residual,    Data-Fit
  110,   0.609,      142.,        3.24,    1.18,      138.76
  111,   0.619,      118.,        2.87,    0.94,      115.13
  112,   0.629,      131.,        2.49,    0.80,      128.51
  113,   0.639,      115.,        2.11,    0.55,      112.89
  114,   0.649,      118.,        1.76,   -0.36,      116.24
  115,   0.659,      137.,        1.43,   -0.98,      135.57
  116,   0.669,      122.,        1.15,   -1.64,      120.85
  117,   0.679,      121.,        0.92,   -2.29,      120.08
  118,   0.689,      132.,        0.74,   -3.00,      131.26
  119,   0.699,      125.,        0.64,   -3.92,      124.36
  120,   0.709,      114.,        0.58,   -4.10,      113.42
  121,   0.719,      124.,        0.59,   -3.83,      123.41
  122,   0.729,      127.,        0.59,   -4.42,      126.41
  123,   0.739,      156.,        0.63,   -4.38,      155.37
  124,   0.750,      140.,        0.80,   -3.45,      139.20
  125,   0.760,      155.,        1.00,   -2.44,      154.00
  126,   0.770,      146.,        1.30,   -1.14,      144.70
  127,   0.780,      162.,        1.70,   -1.01,      160.30
  128,   0.790,      164.,        2.17,   -0.92,      161.83
  129,   0.800,      171.,        2.83,   -0.55,      168.17
  130,   0.810,      181.,        3.66,   -1.14,      177.34
  131,   0.820,      204.,        4.77,   -1.16,      199.23
  132,   0.830,      226.,        6.30,   -2.16,      219.70
  133,   0.840,      195.,        8.44,   -1.55,      186.56
  134,   0.850,      197.,       11.49,   -1.53,      185.51
  135,   0.860,      223.,       15.83,   -1.17,      207.17
  136,   0.870,      234.,       22.00,   -0.35,      212.00
  137,   0.880,      229.,       30.65,   -0.16,      198.35
  138,   0.890,      233.,       42.55,    0.69,      190.45
  139,   0.900,      297.,       58.57,    0.71,      238.43
  140,   0.910,      337.,       79.60,    1.37,      257.40
  141,   0.920,      347.,      106.42,    2.47,      240.58
  142,   0.931,      417.,      139.64,    3.32,      277.36
  143,   0.941,      465.,      179.49,    3.27,      285.51
  144,   0.951,      473.,      225.71,    3.16,      247.29
  145,   0.961,      570.,      277.44,    3.66,      292.56
  146,   0.971,      606.,      333.13,    4.40,      272.87
  147,   0.981,      710.,      390.55,    4.11,      319.45
  148,   0.991,      749.,      446.97,    3.04,      302.03
  149,   1.001,      797.,      499.29,    2.53,      297.71
  150,   1.011,      832.,      544.18,    2.57,      287.82
  151,   1.021,      840.,      578.75,    1.44,      261.25
  152,   1.031,      892.,      600.61,    1.47,      291.39
  153,   1.041,      885.,      608.23,    0.33,      276.77
  154,   1.051,      874.,      601.31,    0.39,      272.69
  155,   1.061,      821.,      580.43,   -0.50,      240.57
  156,   1.071,      822.,      547.53,   -0.78,      274.47
  157,   1.081,      820.,      505.26,   -1.67,      314.74
  158,   1.091,      727.,      456.94,   -1.59,      270.06
  159,   1.101,      697.,      406.22,   -1.70,      290.78
  160,   1.112,      627.,      356.66,   -1.61,      270.34
  161,   1.122,      628.,      311.47,   -1.22,      316.53
  162,   1.132,      556.,      273.25,   -0.25,      282.75
  163,   1.142,      555.,      243.83,    0.76,      311.17
  164,   1.152,      496.,      224.19,    2.01,      271.81
  165,   1.162,      539.,      214.40,    2.70,      324.60
  166,   1.172,      491.,      213.91,    2.86,      277.09
  167,   1.182,      515.,      221.29,    2.73,      293.71
  168,   1.192,      550.,      234.73,    3.13,      315.27
  169,   1.202,      555.,      251.93,    1.77,      303.07
  170,   1.212,      566.,      270.51,    1.34,      295.49
  171,   1.222,      635.,      288.10,    0.54,      346.90
  172,   1.232,      651.,      302.55,    0.68,      348.45
  173,   1.242,      606.,      312.13,   -0.14,      293.87
  174,   1.252,      601.,      315.69,    0.28,      285.31
  175,   1.262,      607.,      312.66,    0.09,      294.34
  176,   1.272,      549.,      303.18,    0.39,      245.82
  177,   1.282,      561.,      288.05,    0.00,      272.95
  178,   1.293,      539.,      268.62,    0.55,      270.38
  179,   1.303,      511.,      246.63,   -0.80,      264.37
  180,   1.313,      514.,      224.23,   -0.58,      289.77
  181,   1.323,      505.,      203.64,   -0.40,      301.36
  182,   1.333,      463.,      186.89,   -0.22,      276.11
  183,   1.343,      489.,      176.05,   -0.13,      312.95
  184,   1.353,      451.,      172.76,    1.01,      278.24
  185,   1.363,      475.,      178.20,    0.94,      296.80
  186,   1.373,      477.,      193.21,    2.48,      283.79
  187,   1.383,      522.,      217.95,    2.66,      304.05
  188,   1.393,      538.,      251.89,    2.62,      286.11
  189,   1.403,      554.,      293.97,    1.89,      260.03
  190,   1.413,      618.,      342.37,    2.38,      275.63
  191,   1.423,      676.,      394.67,    1.62,      281.33
  192,   1.433,      695.,      447.98,    1.69,      247.02
  193,   1.443,      815.,      499.11,    1.35,      315.89
  194,   1.453,      756.,      544.75,    0.72,      211.25
  195,   1.463,      822.,      581.80,   -0.16,      240.20
  196,   1.474,      830.,      607.72,   -0.37,      222.28
  197,   1.484,      889.,      620.71,   -1.02,      268.29
